channel_id,channel_label,strategy,timeframe_minutes,signal_time_utc,entry_time_utc,exit_time_utc,direction,entry_price,stop_price,target_price,exit_price,stop_distance,gross_r,fee_r,net_r,win,exit_reason,holding_5m_bars,signal_atr,signal_adx,signal_rsi,month,phase
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-02T19:30:00+00:00,2025-01-02T19:30:00+00:00,2025-01-03T01:30:00+00:00,-1,97565.6,98069.2589808018,96558.28203839643,96872.8,503.658980801792,1.3755338957663594,0.19302584428303737,1.182508051483322,True,TIME_EXIT,72,457.87180072890175,17.09038804481048,62.36067318795188,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-03T02:30:00+00:00,2025-01-03T02:30:00+00:00,2025-01-03T05:10:00+00:00,-1,97222.5,97515.55020559144,96636.39958881712,96636.59958881712,293.0502055914389,1.9993175230858802,0.3307609001631092,1.6685566229227708,True,TARGET,32,266.409277810399,18.74525687926392,57.48081392056848,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-03T05:15:00+00:00,2025-01-03T05:15:00+00:00,2025-01-03T06:50:00+00:00,1,96734.09999999999,96495.78173694384,97210.73652611228,96495.58173694384,238.3182630561452,-1.0008392139042837,0.40540258908193916,-1.406241802986223,False,STOP,19,216.65296641467745,14.994215917893312,41.93402856873728,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-03T07:15:00+00:00,2025-01-03T07:15:00+00:00,2025-01-03T07:45:00+00:00,1,96506.2,96284.60932987268,96949.38134025462,96284.40932987268,221.59067012731322,-1.0009025650759065,0.4350151773517954,-1.4359177424277019,False,STOP,6,201.4460637521029,19.57615635039878,36.64210384598807,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-04T09:30:00+00:00,2025-01-04T09:30:00+00:00,2025-01-04T09:50:00+00:00,1,97835.9,97640.2282,98227.24359999999,97640.0282,195.6718,-1.001022119692227,0.4994994889401539,-1.500521608632381,False,STOP,4,159.85343706209517,15.96943719030426,39.16649929531903,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-04T10:00:00+00:00,2025-01-04T10:00:00+00:00,2025-01-04T14:40:00+00:00,1,97644.5,97449.211,98035.078,98034.878,195.28900000000002,1.9989758767774781,0.5009994879383888,1.4979763888390893,True,TARGET,56,168.82719828313313,19.655926818665453,32.623414387279325,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-04T14:45:00+00:00,2025-01-04T14:45:00+00:00,2025-01-04T15:30:00+00:00,-1,98012.8,98208.8256,97620.7488,97620.9488,196.0256,1.9989797250971537,0.49900051013745145,1.4999792149597022,True,TARGET,9,149.80727019981603,19.137348797897452,58.03675951398684,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-04T15:45:00+00:00,2025-01-04T15:45:00+00:00,2025-01-04T18:00:00+00:00,1,97601.5,97405.7029193931,97993.0941612138,97992.8941612138,195.797080606899,1.9989785343102282,0.49948240687487033,1.499496127435358,True,TARGET,27,177.99734600627178,18.926558475838775,36.37675567867793,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-04T20:15:00+00:00,2025-01-04T20:15:00+00:00,2025-01-04T20:40:00+00:00,-1,98252.8,98449.3056,97859.78880000001,98449.5056,196.50560000000002,-1.0010177826993283,0.5005005088913497,-1.501518291590678,False,STOP,5,174.77471639092167,19.418944832890237,67.58619890970334,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-05T02:00:00+00:00,2025-01-05T02:00:00+00:00,2025-01-05T04:30:00+00:00,1,98086.8,97890.62640000001,98479.1472,98478.94720000001,196.17360000000002,1.9989804948270646,0.5009994902474134,1.497981004579651,True,TARGET,30,151.70288840598008,17.88713025437911,43.508851190639604,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-05T16:15:00+00:00,2025-01-05T16:15:00+00:00,2025-01-05T17:50:00+00:00,-1,98148.8,98388.4897645224,97669.42047095521,97669.62047095521,239.6897645223935,1.999165588065916,0.4084830673957721,1.590682520670144,True,TARGET,19,217.8997859294486,21.15502479807068,62.21631668692607,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-07T10:30:00+00:00,2025-01-07T10:30:00+00:00,2025-01-07T11:05:00+00:00,1,101496.7,101293.70659999999,101902.6868,101293.5066,202.9934,-1.0009852537077744,0.499499507373146,-1.5004847610809204,False,STOP,7,170.0455019893651,12.622198662217755,41.09936058698385,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-07T11:15:00+00:00,2025-01-07T11:15:00+00:00,2025-01-07T11:35:00+00:00,1,101347.4,101144.7052,101752.78959999999,101144.5052,202.6948,-1.0009867051349841,0.4994995066474325,-1.5004862117824165,False,STOP,4,164.8925903318647,15.20768484920485,36.03518801268642,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-08T17:00:00+00:00,2025-01-08T17:00:00+00:00,2025-01-08T17:10:00+00:00,1,94744.09999999999,94195.47163501906,95841.35672996187,94195.27163501906,548.6283649809405,-1.0003645454970185,0.17219249285587235,-1.172557038352891,False,STOP,2,498.7530590735823,20.20163418390771,40.394760422722335,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-08T23:15:00+00:00,2025-01-08T23:15:00+00:00,2025-01-09T02:10:00+00:00,-1,94987.1,95548.35295649948,93864.59408700105,93864.79408700105,561.2529564994762,1.9996436544383769,0.1682413356580486,1.8314023187803283,True,TARGET,35,510.22996045406927,15.079431977226804,56.00968066366973,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-09T02:15:00+00:00,2025-01-09T02:15:00+00:00,2025-01-09T07:35:00+00:00,1,94055.5,93580.15986438836,95006.18027122326,93579.95986438837,475.3401356116318,-1.000420751342079,0.19736967889630572,-1.1977904302383848,False,STOP,64,432.12739601057433,16.78393777857398,37.446190269092504,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-10T01:15:00+00:00,2025-01-10T01:15:00+00:00,2025-01-10T02:25:00+00:00,-1,92792.5,93253.85132501199,91869.79734997603,93254.05132501198,461.35132501198945,-1.0004335091049954,0.2016321848866231,-1.2020656939916186,False,STOP,14,419.4102954654449,16.36933920215788,55.395863741805876,2025-01,development
15m_range_reversal,15分钟区间反转,range_reversal,15,2025-01-10T02:45:00+00:00,2025-01-10T02:45:00+00:00,2025-01-10T04:05:00+00:00,-1,93269.7,93703.2193673833,92402.6612652334,93703.41936738329,433.5193673833015,-1.000461340403777,0.21564563596771064,-1.2161069763714876,False,STOP,16,394.10851580300135,17.379319506213847,60.90877475420272,2025-01,development
