entry_time_utc,exit_time_utc,month,direction,family,entry,exit,stop,target,risk_abs,net_R,win,exit_reason,bars
2026-05-05T03:10:00+00:00,2026-05-05T13:05:00+00:00,2026-05,LONG,趋势回踩,80633.7,81535.86438476545,81329.44981061631,81536.06438476544,347.0632249097868,2.3657925808373723,True,TP,119
2026-05-06T08:50:00+00:00,2026-05-06T11:20:00+00:00,2026-05,LONG,趋势回踩,81878.0,82794.0892671526,81525.58105109516,82794.28926715259,352.41894890484156,2.365801342719923,True,TP,30
2026-05-08T02:35:00+00:00,2026-05-08T08:45:00+00:00,2026-05,SHORT,趋势回踩,79507.8,79850.21884063234,79850.01884063234,78618.03101435593,342.2188406323343,-1.233414996300972,False,SL,74
2026-05-09T18:20:00+00:00,2026-05-10T17:55:00+00:00,2026-05,LONG,趋势回踩,80814.59999999999,81511.71071446818,81511.91071446818,81718.98882519285,347.84185584340844,1.7707689536599114,True,TRAIL,283
2026-05-12T16:45:00+00:00,2026-05-12T17:15:00+00:00,2026-05,SHORT,趋势回踩,79944.1,80288.39676587467,80288.19676587467,79049.44840872586,344.0967658746733,-1.2334118083870065,False,SL,6
2026-05-13T13:25:00+00:00,2026-05-13T15:25:00+00:00,2026-05,SHORT,趋势回踩,80105.1,79208.84666793639,79413.90778703192,79208.6466679364,344.7897431013902,2.368389359220336,True,TP,24
2026-05-14T11:55:00+00:00,2026-05-14T12:35:00+00:00,2026-05,SHORT,趋势回踩,79216.40000000001,79557.56459489405,79557.36459489405,78329.8920532755,340.96459489404054,-1.2334171450328486,False,SL,8
2026-05-16T05:30:00+00:00,2026-05-16T07:10:00+00:00,2026-05,SHORT,趋势回踩,78949.8,78066.47555696787,79289.6170934739,78066.27555696787,339.8170934738994,2.3683808752118227,True,TP,20
2026-05-16T09:05:00+00:00,2026-05-16T10:30:00+00:00,2026-05,SHORT,趋势回踩,78359.8,77683.86718721259,77683.66718721259,77482.87820955037,337.27761171139656,1.7727562056666692,True,TRAIL,17
2026-05-22T19:00:00+00:00,2026-05-22T19:45:00+00:00,2026-05,SHORT,趋势回踩,76361.3,75702.61133507318,75702.41133507318,75506.74329630654,328.67565526671524,1.7727406941243444,True,TRAIL,9
2026-05-22T22:00:00+00:00,2026-05-23T07:35:00+00:00,2026-05,SHORT,趋势回踩,75867.90000000001,75213.46865934359,75213.2686593436,75018.86490441537,326.55195984024255,1.7727367387718451,True,TRAIL,115
2026-05-26T19:10:00+00:00,2026-05-27T13:35:00+00:00,2026-05,SHORT,趋势回踩,75835.90000000001,75181.74477279444,75181.54477279444,74987.22301438595,326.4142252361746,1.7727364804658803,True,TRAIL,221
2026-05-27T22:05:00+00:00,2026-05-28T03:15:00+00:00,2026-05,SHORT,趋势回踩,74512.5,73678.83309985661,74833.21803851669,73678.63309985661,320.7180385166893,2.3683458439271314,True,TP,62
2026-05-29T04:05:00+00:00,2026-05-29T05:00:00+00:00,2026-05,SHORT,趋势回踩,73204.7,73519.98899741669,73519.78899741669,72385.4686067166,315.0889974166872,-1.2334652910822819,False,SL,11
2026-05-29T14:05:00+00:00,2026-05-29T15:00:00+00:00,2026-05,SHORT,趋势回踩,72925.7,73239.78812383747,73239.58812383747,72109.59087802257,313.8881238374698,-1.233467718262147,False,SL,11
2026-06-02T02:40:00+00:00,2026-06-02T03:00:00+00:00,2026-06,SHORT,趋势回踩,70571.0,70874.95300908125,70874.75300908125,69781.24217638873,303.7530090812571,-1.233488967628823,False,SL,4
2026-06-02T07:20:00+00:00,2026-06-02T09:30:00+00:00,2026-06,SHORT,趋势回踩,69999.8,69396.00182624912,69395.80182624912,69216.43443936353,301.2944463986442,1.7726854219247252,True,TRAIL,26
2026-06-02T12:50:00+00:00,2026-06-02T14:15:00+00:00,2026-06,SHORT,趋势回踩,69024.3,68428.9189722276,68428.71897222761,68251.85119799782,297.09569307776025,1.7726760453186352,True,TRAIL,17
2026-06-02T16:35:00+00:00,2026-06-02T19:30:00+00:00,2026-06,SHORT,趋势回踩,67589.0,66832.81354927184,67005.8035233531,66832.61354927185,290.9178656646749,2.3682819973238276,True,TP,35
2026-06-02T23:15:00+00:00,2026-06-02T23:45:00+00:00,2026-06,SHORT,趋势回踩,66502.6,66789.04177585657,66788.84177585658,65758.37138277292,286.2417758565679,-1.2335292278281023,False,SL,6
2026-06-03T23:05:00+00:00,2026-06-04T00:25:00+00:00,2026-06,SHORT,趋势回踩,64455.3,63734.18258723422,64732.72977414069,63733.982587234226,277.429774140683,2.368248590142276,True,TP,16
2026-06-04T10:45:00+00:00,2026-06-04T11:05:00+00:00,2026-06,SHORT,趋势回踩,62379.100000000006,62647.7933808605,62647.593380860504,61681.01720976271,268.4933808604992,-1.233575392024321,False,SL,4
2026-06-05T14:20:00+00:00,2026-06-05T14:35:00+00:00,2026-06,SHORT,趋势回踩,60531.9,60912.11026729684,60911.910267296844,59543.8733050282,380.010267296846,-1.1603167345108927,False,SL,3
2026-06-10T22:15:00+00:00,2026-06-10T22:30:00+00:00,2026-06,SHORT,趋势回踩,61102.0,61365.19647889627,61364.996478896275,60418.209154869684,262.9964788962748,-1.233590953374227,False,SL,3
