rank,score_train_only,diagnostic_qualified,family,direction,train_trades,train_win_rate,train_ratio,test_trades,test_win_rate,test_ratio,total_net_R,max_drawdown_R,first_half_trades,first_half_win_rate,first_half_net_R,second_half_trades,second_half_win_rate,second_half_net_R,config
1,690.3187936780034,False,趋势回踩,双向,15.0,0.6666666666666666,1.6781137635575847,25.0,0.28,1.7255009272250093,7.281262688487653,2.46693300934443,7.0,0.5714285714285714,5.170508286716714,8.0,0.75,9.360763828823263,"{""family_mask"": 1, ""direction"": 0, ""rr"": 2.6, ""sl_atr"": 0.995960977679367, ""min_stop_pct"": 0.004304206377123488, ""max_hold"": 288, ""cooldown"": 10, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 31.222232128720716, ""adx_range_max"": 17.68417806388294, ""rsi_long_min"": 40.88118637957586, ""rsi_long_max"": 73.10933202643793, ""volz_break"": 0.8489611135854283, ""body_min"": 0.2947536747606919, ""close_loc_min"": 0.6751774353415394, ""eff_min"": 0.20576142875234493, ""atr_rank_min"": 0.37791344563643037, ""squeeze_rank_max"": 0.3163156785082504, ""vwap_dev_entry"": 1.7151422715826243, ""pull_idx"": 5, ""don_idx"": 0, ""trail_trigger"": 2.189758314490689, ""trail_lock"": 2.004677420942996}"
2,501.07806952210433,False,趋势回踩,双向,15.0,0.6666666666666666,1.400625062913548,19.0,0.3157894736842105,1.3637975920312824,5.320073352450078,1.2599024779633385,7.0,0.5714285714285714,2.9198882096737053,8.0,0.75,8.423084673664945,"{""family_mask"": 1, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 0.9759477895003575, ""min_stop_pct"": 0.0038655754913534896, ""max_hold"": 576, ""cooldown"": 23, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 33.7314910132651, ""adx_range_max"": 21.595059806908807, ""rsi_long_min"": 45.003533244113534, ""rsi_long_max"": 69.73596159968622, ""volz_break"": 1.1305574626151809, ""body_min"": 0.32694736480984243, ""close_loc_min"": 0.592640465417027, ""eff_min"": 0.24814277341173607, ""atr_rank_min"": 0.4979495974207506, ""squeeze_rank_max"": 0.35838662331565907, ""vwap_dev_entry"": 1.5731940196720025, ""pull_idx"": 8, ""don_idx"": 1, ""trail_trigger"": 1.9056580411020598, ""trail_lock"": 1.8459207135708924}"
3,487.32830844777277,False,趋势回踩+压缩突破,双向,16.0,0.6875,1.3162659962223298,21.0,0.23809523809523808,1.3657547252454667,1.1750816627780245,1.2835374229349341,7.0,0.5714285714285714,2.487826463050661,9.0,0.7777777777777778,9.638632871044667,"{""family_mask"": 3, ""direction"": 0, ""rr"": 2.4, ""sl_atr"": 2.422689860993133, ""min_stop_pct"": 0.0035427495103898914, ""max_hold"": 576, ""cooldown"": 23, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 31.27547403565251, ""adx_range_max"": 19.899124619293293, ""rsi_long_min"": 53.887727430002684, ""rsi_long_max"": 69.66924432628025, ""volz_break"": 0.7680485403311126, ""body_min"": 0.4776999572888069, ""close_loc_min"": 0.606496167372783, ""eff_min"": 0.18075580158829715, ""atr_rank_min"": 0.2817001793485615, ""squeeze_rank_max"": 0.17314459629516624, ""vwap_dev_entry"": 2.125884043547009, ""pull_idx"": 5, ""don_idx"": 1, ""trail_trigger"": 1.9343059812478323, ""trail_lock"": 1.8449154871177942}"
4,425.9961637999492,False,趋势回踩+压缩突破,双向,16.0,0.625,1.5091029710494184,11.0,0.45454545454545453,1.6046339815381174,13.55896051485973,2.5524441699988967,8.0,0.5,2.806568891234641,8.0,0.75,8.662371893360147,"{""family_mask"": 3, ""direction"": 0, ""rr"": 2.6, ""sl_atr"": 2.4020753506052666, ""min_stop_pct"": 0.0036109543288627773, ""max_hold"": 288, ""cooldown"": 22, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 30.744725863971535, ""adx_range_max"": 19.4774648157884, ""rsi_long_min"": 46.14043951938697, ""rsi_long_max"": 75.33665038557263, ""volz_break"": 1.6137107912868747, ""body_min"": 0.23964562558052327, ""close_loc_min"": 0.8277076490383386, ""eff_min"": 0.3544495631949916, ""atr_rank_min"": 0.2111292666083215, ""squeeze_rank_max"": 0.26466623290453245, ""vwap_dev_entry"": 1.001260612307703, ""pull_idx"": 5, ""don_idx"": 1, ""trail_trigger"": 1.9891033929238577, ""trail_lock"": 1.8707760565857703}"
5,419.4928474693698,False,三策略组合,双向,20.0,0.6,1.5768423888453251,27.0,0.37037037037037035,1.5947382292225547,13.053403931657225,3.946976624237518,7.0,0.7142857142857143,7.314246431030538,13.0,0.5384615384615384,7.053773336729143,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.8, ""sl_atr"": 2.1836012573118952, ""min_stop_pct"": 0.0031777974379753027, ""max_hold"": 288, ""cooldown"": 25, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""adx_trend_min"": 20.819365389014617, ""adx_range_max"": 19.589456255431177, ""rsi_long_min"": 43.31236608267226, ""rsi_long_max"": 71.96528164034096, ""volz_break"": -0.28311879136717216, ""body_min"": 0.3718795228724381, ""close_loc_min"": 0.5978215428477823, ""eff_min"": 0.4546904411808838, ""atr_rank_min"": 0.15262745234963937, ""squeeze_rank_max"": 0.32602021954685206, ""vwap_dev_entry"": 1.092050077895514, ""pull_idx"": 4, ""don_idx"": 1, ""trail_trigger"": 2.2423051573905584, ""trail_lock"": 2.1600735404642277}"
6,389.3833756757922,False,趋势回踩+压缩突破,双向,16.0,0.625,1.4454741408017493,11.0,0.45454545454545453,1.4819157778124497,12.3286733689803,2.557695657605059,7.0,0.5714285714285714,3.388484990326634,9.0,0.6666666666666666,7.2420506733712795,"{""family_mask"": 3, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 2.446991430935176, ""min_stop_pct"": 0.003595449741422063, ""max_hold"": 432, ""cooldown"": 21, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 34.47340809955262, ""adx_range_max"": 18.125509749672837, ""rsi_long_min"": 48.2527216478337, ""rsi_long_max"": 75.90896498339161, ""volz_break"": 0.2752516417308665, ""body_min"": 0.44882199192013716, ""close_loc_min"": 0.6349013423808862, ""eff_min"": 0.2035153255472124, ""atr_rank_min"": 0.29836867191613914, ""squeeze_rank_max"": 0.3153090806891524, ""vwap_dev_entry"": 0.806148597840114, ""pull_idx"": 7, ""don_idx"": 1, ""trail_trigger"": 2.0433310248229395, ""trail_lock"": 1.9064953390542179}"
7,376.0892764821048,False,趋势回踩+震荡反转,双向,15.0,0.6,1.6509150247273632,13.0,0.46153846153846156,1.5826669401075908,13.48952753396925,2.377080745061763,7.0,0.5714285714285714,4.481913590250391,8.0,0.625,6.048042682436625,"{""family_mask"": 5, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 2.1081152290625074, ""min_stop_pct"": 0.005317092384195952, ""max_hold"": 576, ""cooldown"": 27, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""adx_trend_min"": 15.93141848188915, ""adx_range_max"": 24.64731970773242, ""rsi_long_min"": 40.375430931029754, ""rsi_long_max"": 58.16502208606754, ""volz_break"": 0.24706504694658687, ""body_min"": 0.23961621236039743, ""close_loc_min"": 0.6767000375129953, ""eff_min"": 0.4629490689187131, ""atr_rank_min"": 0.7720707352684678, ""squeeze_rank_max"": 0.3000203835367775, ""vwap_dev_entry"": 0.8760403180765313, ""pull_idx"": 0, ""don_idx"": 0, ""trail_trigger"": 2.073097011822206, ""trail_lock"": 1.7518039067621651}"
8,366.6324805568587,False,三策略组合,双向,15.0,0.6,1.8477533657125604,31.0,0.45161290322580644,1.7455929499443068,18.34021991641621,2.249316755568385,8.0,0.5,3.3093829827379198,7.0,0.7142857142857143,7.113951301461778,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 1.3044702475786627, ""min_stop_pct"": 0.008042725144668313, ""max_hold"": 432, ""cooldown"": 3, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 16.713031965530316, ""adx_range_max"": 12.342765056402495, ""rsi_long_min"": 42.41075973608322, ""rsi_long_max"": 65.62424494835189, ""volz_break"": 0.6406191187637313, ""body_min"": 0.5997453174545667, ""close_loc_min"": 0.6302278153468731, ""eff_min"": 0.23461972996774358, ""atr_rank_min"": 0.5776426465069274, ""squeeze_rank_max"": 0.5167441811645345, ""vwap_dev_entry"": 1.0427908411788158, ""pull_idx"": 3, ""don_idx"": 0, ""trail_trigger"": 1.93374593988309, ""trail_lock"": 1.8605311609445632}"
9,366.08747840540997,False,趋势回踩,双向,15.0,0.6,1.6011340753740324,21.0,0.2857142857142857,1.6542504669441769,4.237599528121767,2.4656046128416484,7.0,0.5714285714285714,3.996227227573282,8.0,0.625,6.371619809438499,"{""family_mask"": 1, ""direction"": 0, ""rr"": 2.6, ""sl_atr"": 1.6770615985394712, ""min_stop_pct"": 0.004316512954674717, ""max_hold"": 432, ""cooldown"": 27, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 32.18060433400913, ""adx_range_max"": 20.15724102313991, ""rsi_long_min"": 47.3122749287315, ""rsi_long_max"": 73.47258558195169, ""volz_break"": 0.791518666239925, ""body_min"": 0.270465149973516, ""close_loc_min"": 0.6411077319705131, ""eff_min"": 0.2137021402894927, ""atr_rank_min"": 0.4188969516667831, ""squeeze_rank_max"": 0.35067990721825015, ""vwap_dev_entry"": 1.0965824714414478, ""pull_idx"": 5, ""don_idx"": 0, ""trail_trigger"": 2.0653676941288133, ""trail_lock"": 2.0085837065441954}"
10,362.57347661714965,False,趋势回踩,双向,17.0,0.6470588235294118,1.3476220119829856,23.0,0.34782608695652173,1.4186498522819586,7.0075856102472205,1.311298546407718,10.0,0.6,5.209177512460995,7.0,0.7142857142857143,6.152409434576378,"{""family_mask"": 1, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 2.4034925658556503, ""min_stop_pct"": 0.0032263043154945542, ""max_hold"": 216, ""cooldown"": 24, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 21.10718516127566, ""adx_range_max"": 22.321811948272952, ""rsi_long_min"": 39.29338857716345, ""rsi_long_max"": 68.06947642542721, ""volz_break"": 1.4032135925112459, ""body_min"": 0.400781776124138, ""close_loc_min"": 0.6608141047755753, ""eff_min"": 0.4403957939450726, ""atr_rank_min"": 0.561342756430938, ""squeeze_rank_max"": 0.3919991833771891, ""vwap_dev_entry"": 0.5968926945209735, ""pull_idx"": 4, ""don_idx"": 0, ""trail_trigger"": 1.9394565565452875, ""trail_lock"": 1.8197747876984338}"
