month,signal_i,exit_i,day,net_r,win,probability,online_percentile,meta_probability,meta_decision,expected_utility,brier_penalty,utility,utility_pass,selected,allocation_rule,first_reject_stage,monthly_cap_enabled,cross_trade_cluster_dedup
2025-12,81058,81084,2025-12-11,1.890496985958381,True,0.4283965626961125,0.8113207547169812,0.3596012992306042,NEUTRAL,0.3494256299575372,0.046093411762780645,0.30333221819475653,True,True,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,SELECTED,False,False
2026-01,86524,86538,2026-01-02,1.8837997881465247,True,0.3799471579399241,0.8695652173913043,0.3184094017426857,NEUTRAL,0.13013779587024232,0.044346237169198166,0.08579155870104416,True,True,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,SELECTED,False,False
2026-01,87305,87322,2026-01-05,1.8321953397565938,True,0.3676039281546235,0.84,0.3207056607446053,NEUTRAL,0.10575717534776785,0.044346237169198166,0.061410938178569685,True,True,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,SELECTED,False,False
2026-01,89702,89704,2026-01-14,-1.2643270542932266,False,0.38449573646316254,0.9032258064516129,0.32779272559141814,NEUTRAL,0.14630270538101053,0.044346237169198166,0.10195646821181237,True,True,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,SELECTED,False,False
2026-01,89703,89704,2026-01-14,-1.2651195544318625,False,0.4076751046207133,0.9375,0.32664491718586686,NEUTRAL,0.19430826771212917,0.044346237169198166,0.149962030542931,True,False,POSITION_OVERLAP_ONLY,POSITION_OVERLAP,False,False
2026-01,93990,93995,2026-01-30,-0.09074335126279931,False,0.40297311424849513,0.925,0.3114158059888896,NEUTRAL,0.17371693818909506,0.044346237169198166,0.1293707010198969,True,True,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,SELECTED,False,False
2026-01,94026,94032,2026-01-30,-0.08164347753032455,False,0.5012431359502408,1.0,0.32051698077526813,NEUTRAL,0.3870429626214231,0.044346237169198166,0.34269672545222496,True,False,DAILY_RISK_ONLY,DAILY_CAP,False,False
2026-04,112113,112118,2026-04-08,1.8527370445175673,True,0.40490301077025725,0.8571428571428571,0.3518636909468548,NEUTRAL,0.3812806734483217,0.0458821100747641,0.3353985633735576,True,True,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,SELECTED,False,False
2026-04,113727,113733,2026-04-14,1.8619666030568092,True,0.39266361597202326,0.84375,0.3510697966783391,NEUTRAL,0.3582124325276514,0.0458821100747641,0.3123303224528873,True,True,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,SELECTED,False,False
2026-04,114531,114542,2026-04-17,-1.194673848969825,False,0.40732464617868314,0.8823529411764706,0.3509815937402566,NEUTRAL,0.3852058138681698,0.0458821100747641,0.3393237037934057,True,True,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,SELECTED,False,False
2026-04,114532,114542,2026-04-17,-1.1947261496607022,False,0.417591333705021,0.8857142857142857,0.34988247301672326,NEUTRAL,0.40347055703114615,0.0458821100747641,0.35758844695638203,True,False,POSITION_OVERLAP_ONLY,POSITION_OVERLAP,False,False
2026-04,114535,114542,2026-04-17,-1.202651479906994,False,0.3978680131787214,0.8055555555555556,0.3496244403721945,NEUTRAL,0.36692501391459115,0.0458821100747641,0.32104290383982703,True,False,POSITION_OVERLAP_ONLY,POSITION_OVERLAP,False,False
2026-04,115862,115867,2026-04-22,-0.17090486016205067,False,0.40304352194945436,0.8292682926829268,0.35110008728673864,NEUTRAL,0.3773805856169948,0.0458821100747641,0.33149847554223066,True,True,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,SELECTED,False,False
2026-04,116169,116215,2026-04-23,-1.2384774891627814,False,0.40080574991716356,0.8222222222222222,0.34705600601907366,NEUTRAL,0.3707652701525427,0.0458821100747641,0.32488316007777857,True,True,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,SELECTED,False,False
