expert_id,expert,policy_key,tier,month,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,sample_state,effective_win_rate,month_validation_passed
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2025-11,3,1,0.3333333333333333,1.7126581552271538,0.18629248840145973,9.193382781684578,4.596691390842289,1.3400731784242343,0.37258497680291947,0.4466910594747448,LOW_CONFIDENCE_OBSERVATION,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2025-09,1,0,0.0,0.0,1.2867426162505466,0.0,0.0,-1.2867426162505466,1.2867426162505466,-1.2867426162505466,INSUFFICIENT_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
