expert_id,expert,policy_key,tier,trades,wins,raw_win_rate,beta_prior_wins,beta_prior_losses,posterior_mean_win_rate,wilson_95_lower
0,趋势回踩重新站稳多头,e024946a7a7bbea6,CANDIDATE,4,2,0.5,4.0,4.0,0.5,0.15003570882017145
1,趋势反抽失败空头,da51c7f197a1b096,CANDIDATE,3,1,0.3333333333333333,4.0,4.0,0.45454545454545453,0.061490315276160515
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,3,1,0.3333333333333333,4.0,4.0,0.45454545454545453,0.061490315276160515
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,1,0,0.0,4.0,4.0,0.4444444444444444,0.0
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,3,0,0.0,4.0,4.0,0.36363636363636365,0.0
8,缩量回踩恢复多头,612581c35b84da3c,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
9,缩量反抽恢复空头,b55421f3522a3f16,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
10,欧美时段顺势延续多头,792c97e8b4c0b8eb,REJECTED,3,1,0.3333333333333333,4.0,4.0,0.45454545454545453,0.061490315276160515
11,欧美时段顺势延续空头,1de21fc96eaf5c68,REJECTED,3,1,0.3333333333333333,4.0,4.0,0.45454545454545453,0.061490315276160515
12,区间扫低立即收回多头,52f3fa47b619e482,REJECTED,3,1,0.3333333333333333,4.0,4.0,0.45454545454545453,0.061490315276160515
13,区间扫高立即跌回空头,77df21d40787c7a0,REJECTED,4,1,0.25,4.0,4.0,0.4166666666666667,0.045586062644636216
14,扫低后确认K多头,2a8da9b9f57c9899,REJECTED,3,1,0.3333333333333333,4.0,4.0,0.45454545454545453,0.061490315276160515
15,扫高后确认K空头,2605712f51fd787a,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
16,区间二次测试不破多头,5911315f52956132,REJECTED,3,1,0.3333333333333333,4.0,4.0,0.45454545454545453,0.061490315276160515
17,区间二次测试不破空头,add1fc0880238799,REJECTED,4,1,0.25,4.0,4.0,0.4166666666666667,0.045586062644636216
18,扫低后站回VWAP多头,8faa2dfdd58009bb,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
19,扫高后跌破VWAP空头,98c02f47708ca242,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
20,BTC弱于ETH背离修复多头,afac444025613291,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
21,BTC强于ETH背离修复空头,fca571982b7c88a0,CANDIDATE,6,3,0.5,4.0,4.0,0.5,0.1876128068994087
22,压缩后首次放量突破多头,637dd7099e42148f,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
23,压缩后首次放量突破空头,59bcc3e64f2c7f94,REJECTED,3,0,0.0,4.0,4.0,0.36363636363636365,0.0
24,向下假突破回区间多头,d5f361a753574b48,REJECTED,1,0,0.0,4.0,4.0,0.4444444444444444,0.0
25,向上假突破回区间空头,5f2fe4ee3fec03dd,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
26,资金费率极端回归多头,fcc89570f6af5d59,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
27,资金费率极端回归空头,ab1a7bf6d11e9bd8,REJECTED,3,0,0.0,4.0,4.0,0.36363636363636365,0.0
28,合约溢价极端修复多头,48c0a571f023845e,REJECTED,1,0,0.0,4.0,4.0,0.4444444444444444,0.0
29,合约溢价极端修复空头,9cc0c5de692aa62f,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
30,欧美开盘区间突破多头,f9b0b97528e653e7,REJECTED,6,2,0.3333333333333333,4.0,4.0,0.42857142857142855,0.09676933255921684
31,欧美开盘区间突破空头,8f89911d444a7852,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
32,BTC强于ETH且溢价回落空头,ad7bf81694ad15d4,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
33,BTC强于ETH且主动卖盘空头,16e8ea0e0b751d8b,REJECTED,3,1,0.3333333333333333,4.0,4.0,0.45454545454545453,0.061490315276160515
34,BTC强于ETH欧美盘修复空头,d9d64c6080c7757b,REJECTED,3,0,0.0,4.0,4.0,0.36363636363636365,0.0
35,ETH先跌BTC滞后补跌空头,1988519d498cd703,REJECTED,2,0,0.0,4.0,4.0,0.4,0.0
36,BTC弱于ETH且溢价回升多头,d9882e2d61ed9961,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
37,ETH先涨BTC滞后补涨多头,6387acc3c2ec918d,REJECTED,1,1,1.0,4.0,4.0,0.5555555555555556,0.20654329147389294
38,跨资产背离后VWAP失守空头,47d7edd201629376,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
39,跨资产背离后VWAP收回多头,1d3bb2983569000d,REJECTED,0,0,0.0,4.0,4.0,0.5,0.0
