entry_time_utc,exit_time_utc,month,direction,entry,exit,stop,target,risk_abs,net_R,win,exit_reason,bars
2026-05-04T14:55:00+00:00,2026-05-04T15:15:00+00:00,2026-05,SHORT,80159.90000000001,79589.68609026374,80540.17593982418,79589.48609026374,380.2759398241718,1.2894297675468325,True,TP,4
2026-05-04T21:25:00+00:00,2026-05-05T02:35:00+00:00,2026-05,SHORT,80157.40000000001,80537.86407993567,80537.66407993567,79587.00388009653,380.2640799356542,-1.2118202488481162,False,SL,62
2026-05-05T05:25:00+00:00,2026-05-05T11:25:00+00:00,2026-05,SHORT,81010.7,80900.3,81395.01209708449,80434.23185437327,384.3120970844846,0.07661611545243993,True,TIME,72
2026-05-06T11:25:00+00:00,2026-05-06T13:00:00+00:00,2026-05,SHORT,82642.8,82054.91793994352,83034.85470670433,82054.71793994353,392.05470670432084,1.2894455606364392,True,TP,19
2026-05-07T06:45:00+00:00,2026-05-07T07:15:00+00:00,2026-05,SHORT,81258.1,81643.78575165219,81643.5857516522,80679.87137252172,385.4857516521873,-1.2118131280491402,False,SL,6
2026-05-08T14:20:00+00:00,2026-05-08T15:20:00+00:00,2026-05,SHORT,80217.5,79646.87621251657,80598.04919165562,79646.67621251657,380.5491916556175,1.289430145002731,True,TP,12
2026-05-08T17:50:00+00:00,2026-05-08T23:50:00+00:00,2026-05,SHORT,80147.7,80116.59999999999,80527.9180635682,79577.3729046477,380.2180635682058,-0.12895797095973188,False,TIME,72
2026-05-11T10:10:00+00:00,2026-05-11T14:30:00+00:00,2026-05,SHORT,80986.90000000001,80410.8012135813,81371.09919094581,80410.6012135813,384.199190945797,1.289435135436829,True,TP,52
2026-05-12T18:55:00+00:00,2026-05-13T00:55:00+00:00,2026-05,SHORT,80641.0,80673.59999999999,81023.5582567705,80067.16261484424,382.5582567705005,-0.2960524259915141,False,TIME,72
2026-05-14T13:05:00+00:00,2026-05-14T14:15:00+00:00,2026-05,SHORT,79757.2,80135.76554898176,80135.56554898176,79189.65167652737,378.3655489817552,-1.2118228865978453,False,SL,14
2026-05-15T00:35:00+00:00,2026-05-15T02:00:00+00:00,2026-05,SHORT,81486.6,80906.94538180596,81873.1697454627,80906.74538180596,386.5697454626968,1.289438326081438,True,TP,17
2026-05-15T07:30:00+00:00,2026-05-15T13:00:00+00:00,2026-05,SHORT,80773.5,80198.9197537071,81156.68683086193,80198.7197537071,383.18683086193386,1.2894337608227258,True,TP,66
2026-05-19T07:20:00+00:00,2026-05-19T13:20:00+00:00,2026-05,SHORT,77102.8,76764.0,77468.5731937493,76554.14020937606,365.7731937492982,0.7159261653807438,True,TIME,72
2026-05-19T17:05:00+00:00,2026-05-19T23:05:00+00:00,2026-05,SHORT,76865.0,76776.59999999999,77229.6450811535,76318.03237826975,364.64508115350316,0.031754713277303996,True,TIME,72
2026-05-20T08:45:00+00:00,2026-05-20T14:10:00+00:00,2026-05,SHORT,77443.90000000001,76893.01296459204,77811.29135693864,76892.81296459204,367.39135693864085,1.2894113320275824,True,TP,65
2026-05-21T00:55:00+00:00,2026-05-21T06:55:00+00:00,2026-05,SHORT,77928.90000000001,77591.9,78298.59217531106,77374.36173703343,369.6921753110571,0.7012309627107787,True,TIME,72
2026-05-25T05:00:00+00:00,2026-05-25T06:05:00+00:00,2026-05,SHORT,77306.0,77672.93716548801,77672.73716548801,76755.89425176798,366.73716548800945,-1.21183963855794,False,SL,13
2026-05-25T16:50:00+00:00,2026-05-25T22:30:00+00:00,2026-05,SHORT,77664.0,77111.5467477144,78032.43550152374,77111.3467477144,368.43550152373115,1.2894128740227984,True,TP,68
2026-05-26T10:50:00+00:00,2026-05-26T12:05:00+00:00,2026-05,SHORT,77439.3,76888.44569788435,77806.66953474378,76888.24569788435,367.3695347437684,1.2894112997069744,True,TP,15
2026-05-26T14:30:00+00:00,2026-05-26T14:35:00+00:00,2026-05,SHORT,77537.2,76985.64904803282,77905.03396797812,76985.44904803282,367.833967978118,1.2894119867455374,True,TP,1
2026-05-27T07:35:00+00:00,2026-05-27T13:15:00+00:00,2026-05,SHORT,75865.1,75325.447599787,76225.001600142,75325.247599787,359.90160014200006,1.2894000088635735,True,TP,68
2026-05-27T20:20:00+00:00,2026-05-27T21:40:00+00:00,2026-05,SHORT,75263.40000000001,74728.02925673964,75620.44716217359,74727.82925673964,357.04716217358185,1.289395568443656,True,TP,16
2026-05-28T21:45:00+00:00,2026-05-29T02:50:00+00:00,2026-05,SHORT,73800.0,73275.04271325363,74150.10485783091,73274.84271325363,350.1048578309139,1.2893844666610204,True,TP,61
2026-05-29T06:25:00+00:00,2026-05-29T12:25:00+00:00,2026-05,SHORT,73732.90000000001,73294.09999999999,74082.6865384231,73208.22019236536,349.7865384231013,1.0443126303453318,True,TIME,72
2026-06-03T06:40:00+00:00,2026-06-03T09:20:00+00:00,2026-06,SHORT,67290.7,66812.06245665022,67609.92502889984,66811.86245665023,319.22502889984366,1.2893292344272402,True,TP,32
2026-06-04T12:40:00+00:00,2026-06-04T12:45:00+00:00,2026-06,SHORT,63527.600000000006,63871.47539634781,63871.27539634781,63012.086905478296,343.67539634780496,-1.1859299163606776,False,SL,1
2026-06-04T23:05:00+00:00,2026-06-05T01:00:00+00:00,2026-06,SHORT,63735.0,63281.66458001147,64037.35694665902,63281.464580011474,302.35694665901804,1.2892942993572072,True,TP,23
2026-06-05T05:00:00+00:00,2026-06-05T05:40:00+00:00,2026-06,SHORT,63391.0,62940.1124610015,63691.725025998996,62939.912461001506,300.72502599899497,1.2892907116060635,True,TP,8
2026-06-08T07:50:00+00:00,2026-06-08T09:15:00+00:00,2026-06,SHORT,63218.0,63518.104321713574,63517.90432171358,62768.143517429635,299.9043217135764,-1.2119611074546799,False,SL,17
2026-06-08T11:40:00+00:00,2026-06-08T12:00:00+00:00,2026-06,SHORT,63598.3,63145.93732806769,63900.008447954875,63145.73732806769,301.70844795487517,1.2892928782904347,True,TP,4
2026-06-09T04:50:00+00:00,2026-06-09T08:05:00+00:00,2026-06,SHORT,63267.0,62816.994836707214,63567.136775528525,62816.79483670722,300.1367755285215,1.2892894087804314,True,TP,39
2026-06-09T17:20:00+00:00,2026-06-09T19:30:00+00:00,2026-06,SHORT,61733.8,62026.86334309844,62026.663343098444,61294.50498535234,292.863343098442,-1.2119771324562045,False,SL,26
2026-06-10T07:35:00+00:00,2026-06-10T08:40:00+00:00,2026-06,SHORT,61686.100000000006,61247.34441536172,61978.73705642553,61247.14441536172,292.637056425526,1.2892723397339998,True,TP,13
2026-06-10T12:50:00+00:00,2026-06-10T13:35:00+00:00,2026-06,SHORT,61636.3,61928.900807446254,61928.70080744626,61197.69878883062,292.4008074462552,-1.2119782121843565,False,SL,9
2026-06-10T15:55:00+00:00,2026-06-10T16:25:00+00:00,2026-06,SHORT,62604.600000000006,62151.15359087629,62907.03093941581,62150.95359087629,302.43093941580725,1.2930837469330647,True,TP,6
2026-06-11T06:25:00+00:00,2026-06-11T10:55:00+00:00,2026-06,SHORT,62845.3,63143.636249533374,63143.43624953338,62398.09562569995,298.1362495333712,-1.211965060349675,False,SL,54
2026-06-11T17:50:00+00:00,2026-06-11T18:00:00+00:00,2026-06,SHORT,63436.600000000006,63737.74135036556,63737.541350365565,62985.18797445167,300.9413503655562,-1.2119588105712307,False,SL,2
2026-06-11T19:35:00+00:00,2026-06-12T01:35:00+00:00,2026-06,SHORT,63633.600000000006,63344.5,63935.47590958075,63180.78613562889,301.87590958074384,0.7473632139555039,True,TIME,72
2026-06-12T09:35:00+00:00,2026-06-12T12:35:00+00:00,2026-06,SHORT,63826.9,63372.91062575861,64129.69291616093,63372.71062575861,302.79291616092536,1.289295251283329,True,TP,36
2026-06-12T15:15:00+00:00,2026-06-12T15:40:00+00:00,2026-06,SHORT,64228.100000000006,63771.255713394654,64532.796191070236,63771.05571339466,304.69619107023135,1.2892993751211856,True,TP,5
2026-06-15T00:15:00+00:00,2026-06-15T06:15:00+00:00,2026-06,SHORT,65699.1,65830.2,66010.774549474,65231.58817578902,311.6745494739928,-0.6316353078306715,False,TIME,72
2026-06-15T11:10:00+00:00,2026-06-15T11:15:00+00:00,2026-06,SHORT,65899.7,66212.52618692863,66212.32618692864,65430.76071960703,312.6261869286457,-1.211933983344067,False,SL,1
2026-06-15T13:25:00+00:00,2026-06-15T14:00:00+00:00,2026-06,SHORT,66801.6,66326.44285953461,67118.50476031026,66326.24285953461,316.9047603102586,1.2893246495748554,True,TP,7
2026-06-15T16:00:00+00:00,2026-06-15T17:30:00+00:00,2026-06,SHORT,67119.90000000001,66642.47785802552,67438.31476131633,66642.27785802553,318.41476131632066,1.2893276409306682,True,TP,18
2026-06-16T06:40:00+00:00,2026-06-16T08:50:00+00:00,2026-06,SHORT,66360.90000000001,66675.91409916239,66675.71409916239,65888.67885125645,314.8140991623744,-1.2119295394555132,False,SL,26
2026-06-17T16:05:00+00:00,2026-06-17T16:25:00+00:00,2026-06,SHORT,65760.7,66072.86677712706,66072.66677712706,65292.7498343094,311.9667771270667,-1.2119353349014648,False,SL,4
2026-06-18T00:20:00+00:00,2026-06-18T04:05:00+00:00,2026-06,SHORT,64600.5,64141.00573990428,64906.96284006382,64140.80573990428,306.46284006381444,1.2893031570923694,True,TP,45
2026-06-18T19:45:00+00:00,2026-06-18T20:00:00+00:00,2026-06,SHORT,62886.8,63185.333123682765,63185.13312368277,62439.300314475855,298.3331236827635,-1.2119646178782453,False,SL,3
2026-06-19T21:15:00+00:00,2026-06-19T23:55:00+00:00,2026-06,SHORT,63216.600000000006,63516.69768017601,63516.49768017601,62766.753479736,299.8976801760066,-1.2119611222160147,False,SL,32
2026-06-22T00:40:00+00:00,2026-06-22T01:20:00+00:00,2026-06,SHORT,63883.9,64187.163321619126,64186.96332161913,63429.305017571314,303.0633216191269,-1.2119541596707457,False,SL,8
2026-06-22T11:50:00+00:00,2026-06-22T12:20:00+00:00,2026-06,SHORT,64631.100000000006,64937.90800509927,64937.70800509927,64171.1879923511,306.60800509927003,-1.211946534081863,False,SL,6
2026-06-22T14:00:00+00:00,2026-06-22T14:30:00+00:00,2026-06,SHORT,65390.4,64925.28486434024,65700.61009043983,64925.08486434024,310.2100904398383,1.2893110364672649,True,TP,6
2026-06-23T16:15:00+00:00,2026-06-23T18:40:00+00:00,2026-06,SHORT,62649.4,62203.7896369963,62946.606908669135,62203.5896369963,297.2069086691313,1.2892828430572874,True,TP,29
2026-06-23T22:15:00+00:00,2026-06-24T00:35:00+00:00,2026-06,SHORT,62685.9,62983.48006304149,62983.28006304149,62239.82990543777,297.38006304148837,-1.2119667653131372,False,SL,28
2026-06-24T20:20:00+00:00,2026-06-24T20:45:00+00:00,2026-06,SHORT,60617.200000000004,60904.96624249094,60904.76624249094,60185.850636263596,287.5662424909369,-1.2119897057220328,False,SL,5
2026-06-25T07:45:00+00:00,2026-06-25T10:40:00+00:00,2026-06,SHORT,61818.9,61379.19941944462,62112.16705370358,61378.999419444626,293.26705370358144,1.2892738071690129,True,TP,35
2026-06-25T21:45:00+00:00,2026-06-25T21:55:00+00:00,2026-06,SHORT,59890.5,60174.818810096636,60174.61881009664,59464.32178485504,284.11881009663813,-1.2119981404418785,False,SL,2
2026-06-26T04:00:00+00:00,2026-06-26T04:15:00+00:00,2026-06,SHORT,59845.9,60140.941654213195,60140.7416542132,59403.63751868021,294.84165421319625,-1.2041550777068244,False,SL,3
2026-06-29T03:10:00+00:00,2026-06-29T05:05:00+00:00,2026-06,SHORT,59978.100000000006,59551.49842911456,60262.6343805903,59551.29842911456,284.5343805902952,1.2892528871549704,True,TP,23
2026-06-29T10:20:00+00:00,2026-06-29T11:35:00+00:00,2026-06,SHORT,60214.100000000006,59785.81906890047,60499.753954066364,59785.61906890047,285.6539540663575,1.2892556406887132,True,TP,15
2026-06-29T17:20:00+00:00,2026-06-29T23:20:00+00:00,2026-06,SHORT,60415.100000000006,60222.899999999994,60701.70748910318,59985.18876634524,286.60748910317335,0.4601449892767349,True,TIME,72
