rank,score,qualified,may_trades,may_win_rate,may_ratio,june_trades,june_win_rate,june_ratio,net_R,max_drawdown_R,config
11,254.73148055807957,False,23.0,0.6086956521739131,1.456450038614354,28.0,0.25,1.467726319217365,0.8958924495837282,16.021954008141662,"{""direction"": 0, ""trigger"": 3, ""rr"": 2.0, ""sl_atr"": 1.4175740291130323, ""min_stop_pct"": 0.004531103083504869, ""max_hold"": 192, ""cooldown"": 27, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""adx_min"": 14.180974499758474, ""rsi_long_min"": 51.199651414692994, ""rsi_long_max"": 69.11081870143703, ""volz_min"": 0.26685551351964465, ""body_min"": 0.2833048498951456, ""close_loc_min"": 0.7833912483145831, ""ret3_min"": 0.00010044248350984464, ""bb_min"": 0.49346450851778734, ""bb_max"": 0.6126516407092684, ""pull_idx"": 6, ""don_idx"": 1, ""score_need"": 4, ""weights"": [0, 0, 0, 1, 0, 1, 1, 2, 1, 1, 1, 0, 2, 1, 1, 0]}"
12,253.37738364474427,False,23.0,0.6521739130434783,1.2612367840176573,33.0,0.3333333333333333,1.2001002586449012,1.9762527345858965,11.46899925251818,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 0.98533191770128, ""min_stop_pct"": 0.003959253237161852, ""max_hold"": 144, ""cooldown"": 21, ""session_start"": 8, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 20.4547136037639, ""rsi_long_min"": 51.40523310479581, ""rsi_long_max"": 81.92976639602242, ""volz_min"": -0.8816882954278574, ""body_min"": 0.5626570817664279, ""close_loc_min"": 0.7239301709155364, ""ret3_min"": 0.002710556522228098, ""bb_min"": 0.15440762335045166, ""bb_max"": 0.9313065157810974, ""pull_idx"": 7, ""don_idx"": 0, ""score_need"": 3, ""weights"": [1, 2, 2, 2, 0, 1, 0, 2, 1, 0, 1, 2, 1, 0, 1, 0]}"
13,251.94361201597542,False,24.0,0.6666666666666666,1.1802008188094628,23.0,0.5217391304347826,1.2043491345989301,16.968516356211534,4.607975436930246,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 1.5722721134650461, ""min_stop_pct"": 0.0032903514802690046, ""max_hold"": 72, ""cooldown"": 28, ""session_start"": 7, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 15.63496266087892, ""rsi_long_min"": 42.92253710942426, ""rsi_long_max"": 79.78318991582779, ""volz_min"": -0.06347241124780245, ""body_min"": 0.5737676132103141, ""close_loc_min"": 0.5874771419908649, ""ret3_min"": 0.00015239035614711492, ""bb_min"": 0.16168735484662056, ""bb_max"": 0.9572072756046133, ""pull_idx"": 3, ""don_idx"": 0, ""score_need"": 2, ""weights"": [1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2]}"
14,249.6249802482153,False,30.0,0.7,1.057244454339426,48.0,0.3958333333333333,1.063772806924109,5.787919442766593,10.249851530439848,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.5, ""sl_atr"": 1.9736037249823948, ""min_stop_pct"": 0.004603099894421989, ""max_hold"": 192, ""cooldown"": 3, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""adx_min"": 21.258566463587318, ""rsi_long_min"": 30.30100109581287, ""rsi_long_max"": 79.97332219253732, ""volz_min"": -0.17337459373755548, ""body_min"": 0.32367068776339425, ""close_loc_min"": 0.4841004389831478, ""ret3_min"": 6.754588923700306e-05, ""bb_min"": 0.0535041323504817, ""bb_max"": 0.5519712669337093, ""pull_idx"": 3, ""don_idx"": 0, ""score_need"": 6, ""weights"": [1, 1, 0, 2, 0, 0, 2, 1, 0, 1, 0, 1, 1, 2, 1, 2]}"
15,237.45748188139873,False,26.0,0.5769230769230769,2.067647648307909,28.0,0.25,1.203620426074789,-4.63234847114664,15.32314830123219,"{""direction"": 2, ""trigger"": 3, ""rr"": 1.5, ""sl_atr"": 1.090369534657275, ""min_stop_pct"": 0.005418778403110799, ""max_hold"": 72, ""cooldown"": 7, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_min"": 19.46598111071175, ""rsi_long_min"": 37.81112856115354, ""rsi_long_max"": 58.01245766761673, ""volz_min"": -1.164194526899965, ""body_min"": 0.3409185497785572, ""close_loc_min"": 0.751723249493545, ""ret3_min"": 0.002445911930809395, ""bb_min"": 0.26841672351202456, ""bb_max"": 1.0506481389495375, ""pull_idx"": 6, ""don_idx"": 0, ""score_need"": 2, ""weights"": [1, 0, 1, 2, 1, 2, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1]}"
16,236.0422063523423,False,21.0,0.6190476190476191,1.4332180429214143,27.0,0.5925925925925926,1.0040539059587512,13.475908143224949,3.7796216356575316,"{""direction"": 2, ""trigger"": 3, ""rr"": 1.5, ""sl_atr"": 1.2465257760993378, ""min_stop_pct"": 0.005462710986621001, ""max_hold"": 72, ""cooldown"": 9, ""session_start"": 3, ""session_end"": 23, ""weekday_mask"": 31, ""adx_min"": 10.153783234170444, ""rsi_long_min"": 41.90179834109436, ""rsi_long_max"": 63.42771101713929, ""volz_min"": -0.7113953201856389, ""body_min"": 0.55556568557475, ""close_loc_min"": 0.5578904775750557, ""ret3_min"": -0.0013483301603560466, ""bb_min"": 0.16465320973896908, ""bb_max"": 1.2063395089969053, ""pull_idx"": 4, ""don_idx"": 1, ""score_need"": 2, ""weights"": [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0]}"
17,230.12106734767616,False,20.0,0.6,1.6212601818376975,14.0,0.35714285714285715,1.1415484450170288,4.094629142232602,5.362174998827636,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.6, ""sl_atr"": 1.357857527375957, ""min_stop_pct"": 0.004560151455938381, ""max_hold"": 72, ""cooldown"": 24, ""session_start"": 8, ""session_end"": 24, ""weekday_mask"": 127, ""adx_min"": 17.488699328415045, ""rsi_long_min"": 40.51464240777134, ""rsi_long_max"": 66.65870574164633, ""volz_min"": 0.665189457119894, ""body_min"": 0.4923144051790359, ""close_loc_min"": 0.777940523060805, ""ret3_min"": -0.001592921885095948, ""bb_min"": 0.16749110235504205, ""bb_max"": 1.1385446346378578, ""pull_idx"": 2, ""don_idx"": 1, ""score_need"": 7, ""weights"": [1, 1, 0, 1, 2, 1, 1, 2, 1, 1, 2, 0, 0, 0, 1, 1]}"
18,224.35253938141585,False,23.0,0.6956521739130435,1.0336023718917982,29.0,0.3103448275862069,1.2721852593783622,1.5880394580576462,11.86621602579045,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 2.05310559499375, ""min_stop_pct"": 0.004087375357503795, ""max_hold"": 144, ""cooldown"": 26, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_min"": 27.613662099287946, ""rsi_long_min"": 31.65699699741854, ""rsi_long_max"": 80.47886305662723, ""volz_min"": 0.10172554817460377, ""body_min"": 0.23777085341264032, ""close_loc_min"": 0.6292722155658779, ""ret3_min"": 0.00010397139719364257, ""bb_min"": 0.07286375194215056, ""bb_max"": 1.1365970588523167, ""pull_idx"": 5, ""don_idx"": 1, ""score_need"": 4, ""weights"": [0, 0, 2, 2, 2, 0, 1, 2, 0, 0, 1, 2, 1, 0, 1, 0]}"
19,221.79466110539965,False,20.0,0.6,1.5355719419576737,10.0,0.4,1.1258487303235916,6.517533919647989,4.0462053865711995,"{""direction"": 1, ""trigger"": 3, ""rr"": 1.6, ""sl_atr"": 0.7191651498181882, ""min_stop_pct"": 0.004500097117460636, ""max_hold"": 72, ""cooldown"": 9, ""session_start"": 10, ""session_end"": 24, ""weekday_mask"": 127, ""adx_min"": 21.811722452256554, ""rsi_long_min"": 46.124117107593456, ""rsi_long_max"": 63.69944748832616, ""volz_min"": -0.7107298943725968, ""body_min"": 0.4297424692193481, ""close_loc_min"": 0.8198413518974543, ""ret3_min"": -0.00019698807026527487, ""bb_min"": 0.29849189068741955, ""bb_max"": 0.829678306805732, ""pull_idx"": 1, ""don_idx"": 0, ""score_need"": 3, ""weights"": [1, 1, 2, 2, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1]}"
20,215.5113524526452,False,24.0,0.5833333333333334,1.527842272205293,45.0,0.3333333333333333,1.5457117221745462,5.478645200492611,12.513704663272819,"{""direction"": 0, ""trigger"": 3, ""rr"": 2.0, ""sl_atr"": 1.5802348864565277, ""min_stop_pct"": 0.005369107508140521, ""max_hold"": 288, ""cooldown"": 26, ""session_start"": 3, ""session_end"": 18, ""weekday_mask"": 31, ""adx_min"": 19.41881148792516, ""rsi_long_min"": 39.526843398678444, ""rsi_long_max"": 65.04917895006861, ""volz_min"": -0.6231710236430293, ""body_min"": 0.42720038194071186, ""close_loc_min"": 0.6291019575247628, ""ret3_min"": -0.0002922393196843802, ""bb_min"": 0.12174947371997118, ""bb_max"": 1.0923295987925, ""pull_idx"": 1, ""don_idx"": 0, ""score_need"": 2, ""weights"": [0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]}"
