rank,score_train_only,diagnostic_qualified,family,direction,may_trades,may_win_rate,may_ratio,june_trades,june_win_rate,june_ratio,total_net_R,may_max_drawdown_R,first_half_trades,first_half_win_rate,first_half_ratio,first_half_net_R,second_half_trades,second_half_win_rate,second_half_ratio,second_half_net_R,config
70,367.10502298245876,False,趋势回踩+流动性扫单,双向,19.0,0.631578947368421,1.5149933502667763,14.0,0.21428571428571427,1.5008883294493167,5.910251791336183,2.468188380510536,5.0,0.4,1.6682690923662382,0.4152633139133677,14.0,0.7142857142857143,1.4841722205152013,13.382872323371657,"{""family_mask"": 3, ""direction"": 0, ""rr"": 3.0, ""sl_atr"": 2.01994229228477, ""min_stop_pct"": 0.004282348806249454, ""max_hold"": 216, ""cooldown"": 11, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""htf_mode"": 0, ""adx_min"": 35.30993738885047, ""rsi_long_min"": 53.82639089658495, ""rsi_long_max"": 71.77890282361969, ""relvol_min"": 0.7546045686483212, ""body_min"": 0.521826008681535, ""close_loc_min"": 0.6749511062201159, ""wick_min"": 0.5348037420179057, ""eff_min"": 0.17764443254186973, ""chop_max"": 65.38508125008289, ""atr_rank_min"": 0.7209973358367516, ""vwap_dev_max"": 2.6653679958029293, ""pull_idx"": 6, ""sweep_idx"": 0, ""retest_idx"": 17, ""trail_trigger"": 1.7851389437524285, ""trail_lock"": 1.5845207874124703}"
71,357.1288194039966,False,三结构组合,双向,22.0,0.5454545454545454,1.5418935619683916,29.0,0.41379310344827586,1.1882605425157104,7.07282520845523,3.683646319389638,12.0,0.5,1.3626768110718297,2.671198273667904,10.0,0.6,1.7209278026319261,7.767783699598441,"{""family_mask"": 7, ""direction"": 0, ""rr"": 3.0, ""sl_atr"": 1.144839917569379, ""min_stop_pct"": 0.004402501687754167, ""max_hold"": 432, ""cooldown"": 25, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""htf_mode"": 2, ""adx_min"": 18.125282326435517, ""rsi_long_min"": 47.043172477016, ""rsi_long_max"": 65.63394425705677, ""relvol_min"": 1.2541430980881856, ""body_min"": 0.433878520089809, ""close_loc_min"": 0.5818383780156663, ""wick_min"": 0.3731438615789869, ""eff_min"": 0.31363683746333154, ""chop_max"": 55.06223483360506, ""atr_rank_min"": 0.14983065183435693, ""vwap_dev_max"": 2.716278361288648, ""pull_idx"": 4, ""sweep_idx"": 1, ""retest_idx"": 16, ""trail_trigger"": 1.8327838465610924, ""trail_lock"": 1.6807359398107393}"
72,352.5594030879144,False,三结构组合,双向,17.0,0.5882352941176471,1.2606909492181504,15.0,0.5333333333333333,1.3287472149695998,11.185655530738268,2.4280912302865154,9.0,0.5555555555555556,1.2302928465334715,2.6108680815828533,8.0,0.625,1.291054531568789,4.193767499842988,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.0, ""sl_atr"": 1.3533032905754834, ""min_stop_pct"": 0.004694781838152315, ""max_hold"": 576, ""cooldown"": 8, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""htf_mode"": 2, ""adx_min"": 26.573536996402666, ""rsi_long_min"": 52.01813044737942, ""rsi_long_max"": 65.9034561356013, ""relvol_min"": 1.632310124674354, ""body_min"": 0.532197914855669, ""close_loc_min"": 0.5920801044711462, ""wick_min"": 0.40614864646216486, ""eff_min"": 0.3254196780417397, ""chop_max"": 61.724348733565996, ""atr_rank_min"": 0.49148072804419873, ""vwap_dev_max"": 2.618119839050546, ""pull_idx"": 2, ""sweep_idx"": 2, ""retest_idx"": 13, ""trail_trigger"": 1.7041571697163955, ""trail_lock"": 1.6333149434174992}"
73,351.3594081723757,False,扫单反转+突破回踩,双向,17.0,0.5882352941176471,1.3948920339958701,23.0,0.43478260869565216,1.2928394179931388,8.15127655195763,2.3714000947107214,6.0,0.5,1.360965415650343,1.2832200504498616,11.0,0.6363636363636364,1.40932927731278,6.952959697596348,"{""family_mask"": 6, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 1.316394943076215, ""min_stop_pct"": 0.005414191018442576, ""max_hold"": 576, ""cooldown"": 33, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""htf_mode"": 2, ""adx_min"": 24.236956192161912, ""rsi_long_min"": 44.8993518790803, ""rsi_long_max"": 73.23263772185967, ""relvol_min"": 0.9790465857004287, ""body_min"": 0.42530485668070384, ""close_loc_min"": 0.8629037285762923, ""wick_min"": 0.6046779102776304, ""eff_min"": 0.17434437318040555, ""chop_max"": 58.928845933996456, ""atr_rank_min"": 0.3505501808928232, ""vwap_dev_max"": 2.821573476763252, ""pull_idx"": 1, ""sweep_idx"": 0, ""retest_idx"": 14, ""trail_trigger"": 1.793302939581021, ""trail_lock"": 1.5970735430623508}"
74,329.29125599060063,False,流动性扫单反转,双向,15.0,0.6,1.3562576977625056,10.0,0.2,1.1435510571761076,0.7270280007669716,2.4216019610465267,6.0,0.5,1.35467522572996,1.2885028105359693,9.0,0.6666666666666666,1.3575150684574622,6.222014468349556,"{""family_mask"": 2, ""direction"": 0, ""rr"": 2.0, ""sl_atr"": 2.2940745098516038, ""min_stop_pct"": 0.004755566028587462, ""max_hold"": 288, ""cooldown"": 17, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""htf_mode"": 2, ""adx_min"": 19.6705996164636, ""rsi_long_min"": 48.64225803835734, ""rsi_long_max"": 62.45186715514585, ""relvol_min"": 0.8464381127461711, ""body_min"": 0.478136947507829, ""close_loc_min"": 0.6113003102334695, ""wick_min"": 0.3043520777125056, ""eff_min"": 0.16720562784790877, ""chop_max"": 53.85819126068006, ""atr_rank_min"": 0.18145984453584685, ""vwap_dev_max"": 1.9345246306094244, ""pull_idx"": 6, ""sweep_idx"": 0, ""retest_idx"": 14, ""trail_trigger"": 1.7424650244918332, ""trail_lock"": 1.5545888583265195}"
75,307.64502256656795,False,三结构组合,双向,15.0,0.6,1.583574027538207,13.0,0.46153846153846156,1.5495237423139765,13.952661662944744,3.9982432601436155,7.0,0.42857142857142855,1.5798473134286046,0.9855607561076762,8.0,0.75,1.5852640564478921,10.012603051543932,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.8, ""sl_atr"": 1.4768717158025886, ""min_stop_pct"": 0.0030111850523199543, ""max_hold"": 288, ""cooldown"": 53, ""session_start"": 0, ""session_end"": 11, ""weekday_mask"": 127, ""htf_mode"": 1, ""adx_min"": 22.164671034317163, ""rsi_long_min"": 44.252040385726254, ""rsi_long_max"": 68.93950182394454, ""relvol_min"": 1.2323317027062528, ""body_min"": 0.47210802878002134, ""close_loc_min"": 0.7374527133493779, ""wick_min"": 0.5247176071357129, ""eff_min"": 0.20855607328990972, ""chop_max"": 60.776144665785935, ""atr_rank_min"": 0.15099052284256806, ""vwap_dev_max"": 2.8616800803829583, ""pull_idx"": 0, ""sweep_idx"": 0, ""retest_idx"": 17, ""trail_trigger"": 2.1710090137507114, ""trail_lock"": 1.7158295913863002}"
76,302.1511817529675,False,三结构组合,双向,18.0,0.6111111111111112,1.2976574680753419,22.0,0.45454545454545453,1.3589827595361634,10.898096767991403,3.3682166514944125,6.0,0.5,1.234381804748164,0.8716460659269696,12.0,0.6666666666666666,1.3217522089794245,8.13952387211372,"{""family_mask"": 7, ""direction"": 0, ""rr"": 2.0, ""sl_atr"": 2.1527136466989827, ""min_stop_pct"": 0.004180343862004471, ""max_hold"": 216, ""cooldown"": 29, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""htf_mode"": 1, ""adx_min"": 24.305615006839957, ""rsi_long_min"": 42.37689688756403, ""rsi_long_max"": 71.45982316066335, ""relvol_min"": 1.0683200632931547, ""body_min"": 0.390111997072524, ""close_loc_min"": 0.8014918829170988, ""wick_min"": 0.5360637404020234, ""eff_min"": 0.28584422304127566, ""chop_max"": 65.46531963950002, ""atr_rank_min"": 0.7005497364171424, ""vwap_dev_max"": 2.743426064122925, ""pull_idx"": 7, ""sweep_idx"": 0, ""retest_idx"": 6, ""trail_trigger"": 1.7729223130409075, ""trail_lock"": 1.6554864466226018}"
77,297.54193305851726,False,扫单反转+突破回踩,双向,15.0,0.5333333333333333,1.685949036107611,22.0,0.4090909090909091,1.5477788218769057,9.389253611725728,2.533134601198256,6.0,0.5,1.6855364305764642,2.603320292192464,9.0,0.5555555555555556,1.6861432309525215,5.610607420174313,"{""family_mask"": 6, ""direction"": 0, ""rr"": 2.4, ""sl_atr"": 1.1233337954702, ""min_stop_pct"": 0.0037687214750039286, ""max_hold"": 288, ""cooldown"": 13, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""htf_mode"": 1, ""adx_min"": 22.960878046877248, ""rsi_long_min"": 45.30673071347573, ""rsi_long_max"": 69.50667804271615, ""relvol_min"": 1.104290341784982, ""body_min"": 0.6119352176469031, ""close_loc_min"": 0.7428459506382985, ""wick_min"": 0.5400708806624062, ""eff_min"": 0.2020552916772098, ""chop_max"": 54.27447292406531, ""atr_rank_min"": 0.3407820789300695, ""vwap_dev_max"": 2.075238564948336, ""pull_idx"": 5, ""sweep_idx"": 1, ""retest_idx"": 7, ""trail_trigger"": 2.2657093998624145, ""trail_lock"": 1.8222832020221844}"
78,296.4099374231486,False,扫单反转+突破回踩,双向,15.0,0.5333333333333333,1.687293984673176,15.0,0.26666666666666666,1.6556734673361448,3.2933013337532393,4.134659822192358,5.0,0.6,1.6919163917407638,4.132025758686979,10.0,0.5,1.6783589529933969,4.444293938315246,"{""family_mask"": 6, ""direction"": 0, ""rr"": 3.0, ""sl_atr"": 2.271884819603892, ""min_stop_pct"": 0.002651918783694978, ""max_hold"": 288, ""cooldown"": 26, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""htf_mode"": 2, ""adx_min"": 19.939665660010572, ""rsi_long_min"": 50.797153060015084, ""rsi_long_max"": 68.31322220683836, ""relvol_min"": 0.9779817615082105, ""body_min"": 0.4014324342087704, ""close_loc_min"": 0.7852688129830747, ""wick_min"": 0.6710834914604258, ""eff_min"": 0.2889774639994048, ""chop_max"": 64.8201092214999, ""atr_rank_min"": 0.1386358975547543, ""vwap_dev_max"": 2.287977574063993, ""pull_idx"": 6, ""sweep_idx"": 0, ""retest_idx"": 6, ""trail_trigger"": 2.198489058708613, ""trail_lock"": 1.8635076094848495}"
79,294.66157401964153,False,扫单反转+突破回踩,双向,20.0,0.55,1.3696313151363337,16.0,0.375,1.2726137632815149,4.576087125579767,4.871994460147636,7.0,0.5714285714285714,1.3905521545511037,3.1206476019857403,13.0,0.5384615384615384,1.3576685918471145,4.26687493130905,"{""family_mask"": 6, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 1.617543737881149, ""min_stop_pct"": 0.004610213612390664, ""max_hold"": 216, ""cooldown"": 50, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""htf_mode"": 1, ""adx_min"": 28.884205387778056, ""rsi_long_min"": 53.27894546153159, ""rsi_long_max"": 68.91104511041324, ""relvol_min"": 0.8979197915553772, ""body_min"": 0.4911603087385792, ""close_loc_min"": 0.6056926891774495, ""wick_min"": 0.2647703380659205, ""eff_min"": 0.3378426451222407, ""chop_max"": 64.92965420214176, ""atr_rank_min"": 0.1525620624200737, ""vwap_dev_max"": 1.955335351811161, ""pull_idx"": 4, ""sweep_idx"": 0, ""retest_idx"": 8, ""trail_trigger"": 1.7567494786944358, ""trail_lock"": 1.622952609883974}"
