expert,family,tier,month,calibration_mean,eval_mean,probability_drift,calibration_utility_mean,eval_utility_mean,utility_drift
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-05,0.1713142371435226,0.17158002836112804,0.0002657912176054489,-0.494420158306898,-0.4938757094315293,0.0005444488753686971
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-06,0.37209476259721985,0.3840484625276982,0.011953699930478345,-0.05488186745676967,-0.030231856657455407,0.024650010799314264
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-07,0.22713178223193906,0.22898410315223533,0.0018523209202962743,-0.47140729173200663,-0.46814303985050537,0.0032642518815012567
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-08,0.19330343585576343,0.20427026652882435,0.010966830673060923,-0.6942257487515828,-0.6704301231820957,0.02379562556948711
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-09,0.1299133533607879,0.12957427411804903,-0.0003390792427388767,-0.7717570195219218,-0.7727791867935974,-0.0010221672716755892
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-10,0.20659531514873383,0.20130988887657691,-0.005285426272156918,-0.4028140817630547,-0.41357882340533275,-0.01076474164227803
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-11,0.34264459770777395,0.33209413665664783,-0.010550461051126114,-0.10892306137729536,-0.13010971325811546,-0.021186651880820098
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2025-12,0.2962977899076659,0.28939865489890926,-0.006899135008756663,-0.2619323455505278,-0.276512884960823,-0.01458053941029519
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2026-01,0.2755351397372885,0.25878172137007305,-0.016753418367215445,-0.2699707721484496,-0.3033990561896613,-0.033428284041211676
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2026-02,0.21811666474896255,0.2025236917107702,-0.015592973038192348,-0.4271135498884876,-0.4625458966959305,-0.035432346807442894
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2026-03,0.2424235601052774,0.23772987684952943,-0.004693683255747982,-0.40655174081881584,-0.4160686053342637,-0.009516864515447865
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2026-04,0.198274951577338,0.20096526663197983,0.0026903150546418453,-0.5044321092335036,-0.49888998438365106,0.005542124849852503
趋势回踩重新站稳多头,趋势回踩,CANDIDATE,2026-05,0.1856364878295121,0.16710490697246963,-0.018531580857042457,-0.5640825177636694,-0.6021689272398273,-0.038086409476157934
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-05,0.1794892596835189,0.16737626690078192,-0.012112992782736975,-0.5206721474006233,-0.54493876474087,-0.02426661734024671
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-06,0.3916488956686067,0.3851294053678805,-0.006519490300726238,0.05861090360462586,0.0458969078479645,-0.012713995756661364
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-07,0.26595769391798263,0.2567786111416626,-0.009179082776320013,-0.24172410261977229,-0.2592188587570618,-0.017494756137289513
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-08,0.18398908087808458,0.17424467126370957,-0.009744409614375005,-0.48037676437533344,-0.49730722167559954,-0.0169304573002661
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-09,0.18654849191229653,0.16461737816493455,-0.02193111374736198,-0.47041377124851624,-0.5132575131212497,-0.04284374187273343
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-10,0.1549158542133652,0.15531608567448196,0.0004002314611167568,-0.5712423145240495,-0.5698047258393706,0.0014375886846789143
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-11,0.2789122286425587,0.2796621613064262,0.0007499326638674697,-0.22759213800246347,-0.22613363966963235,0.0014584983328311263
趋势反抽失败空头,趋势回踩,CANDIDATE,2025-12,0.2536030875099096,0.26032574791280183,0.006722660402892211,-0.27249527114368494,-0.25930433749668497,0.01319093364699997
趋势反抽失败空头,趋势回踩,CANDIDATE,2026-01,0.12115524684291376,0.1213286972545663,0.00017345041165253705,-0.5339100069812038,-0.5333465334056174,0.0005634735755863929
趋势反抽失败空头,趋势回踩,CANDIDATE,2026-02,0.28856364594648426,0.29864525524816465,0.010081609301680394,-0.2440036594107589,-0.22498611718878186,0.019017542221977046
趋势反抽失败空头,趋势回踩,CANDIDATE,2026-03,0.29885141832674433,0.3024043885343271,0.003552970207582773,-0.2071805830959273,-0.19974948600969344,0.007431097086233851
趋势反抽失败空头,趋势回踩,CANDIDATE,2026-04,0.3138511666683107,0.27691964088648874,-0.03693152578182196,-0.20598279236956896,-0.28260743958237383,-0.07662464721280488
趋势反抽失败空头,趋势回踩,CANDIDATE,2026-05,0.27807578380925624,0.2824401581889627,0.004364374379706437,-0.21592657153188974,-0.20802260165267727,0.007903969879212464
EMA21回踩收回多头,均线回踩,REJECTED,2025-05,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-06,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-07,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-08,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-09,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-10,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-11,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2025-12,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2026-01,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2026-02,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2026-03,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2026-04,0.0,0.0,0.0,0.0,0.0,0.0
EMA21回踩收回多头,均线回踩,REJECTED,2026-05,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,REJECTED,2025-05,0.0,0.0,0.0,0.0,0.0,0.0
