signal_i,exit_i,direction,expert_id,expert,family,setup_group,base_probability,probability,online_percentile,router,micro,meta_probability,meta_decision,expected_utility,utility,net_r,win,reason,day,cycle,policy_key,month,tier
38519,38587,1,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,0.04426435207371476,0.4418285731800433,0.9952038369304557,0.8691553654374757,0.5328118088073177,0.38221698032487944,NEUTRAL,0.17093505463275138,0.09272612604042306,-0.7575122510686786,False,4,2025-06-08,643,e024946a7a7bbea6,2025-06,CANDIDATE
39312,39378,1,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,0.03866323038579837,0.44648749043764546,0.9896907216494846,0.8538499948295741,0.6889489342339976,0.37493012958238314,NEUTRAL,0.17543623212495085,0.09722730353262253,-0.7139105949517568,False,4,2025-06-11,677,e024946a7a7bbea6,2025-06,CANDIDATE
43101,43144,1,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,0.02731728432635586,0.45837657467407483,0.9966216216216216,0.8591408058886378,0.7552478003618104,0.37215222739764614,NEUTRAL,0.19756522979523616,0.11935630120290784,1.7127474626624966,True,1,2025-06-25,728,e024946a7a7bbea6,2025-06,CANDIDATE
97869,97897,1,0,趋势回踩重新站稳多头,趋势回踩,趋势回踩,0.18666094230978833,0.4474282200481289,0.9801324503311258,0.864978671639417,0.6891919585927107,0.318408905960323,NEUTRAL,0.16740119441465007,0.09357518777344945,1.7124550554222264,True,1,2026-02-14,1514,e024946a7a7bbea6,2026-02,CANDIDATE
39701,39710,-1,1,趋势反抽失败空头,趋势回踩,趋势反抽,0.131986780486596,0.4219035495638404,0.9691780821917808,0.9052900714623986,0.8830962467211367,0.38877691553202887,NEUTRAL,0.19809949100816304,0.1154149328143255,-0.1861981010035239,False,2,2025-06-12,489,da51c7f197a1b096,2025-06,CANDIDATE
39964,39986,-1,1,趋势反抽失败空头,趋势回踩,趋势反抽,0.1942507850036972,0.4115983404334488,0.8947368421052632,0.8789140002188361,0.7140928641285791,0.3912464619310391,NEUTRAL,0.17970617882266482,0.09702162062882727,1.714741469113497,True,1,2025-06-13,497,da51c7f197a1b096,2025-06,CANDIDATE
113231,113260,-1,1,趋势反抽失败空头,趋势回踩,趋势反抽,0.6312931206345062,0.4257213899620677,0.9895104895104895,0.8790274347219713,0.6890869323363702,0.3352260466438771,NEUTRAL,0.11463049516353996,0.03322323088066964,-1.2870177022047267,False,2,2026-04-12,1730,da51c7f197a1b096,2026-04,CANDIDATE
70609,70630,1,4,VWAP重新站回多头,VWAP回归,VWAP收回,0.12993511434850943,0.4404605690265261,0.9090909090909091,0.6737165409245155,0.6809472569499044,0.418100499263417,NEUTRAL,0.3120679894241406,0.21107589677342356,-0.18628122977660072,False,2,2025-11-02,900,acb95ebbfdc22945,2025-11,REJECTED
72749,72773,1,4,VWAP重新站回多头,VWAP回归,VWAP收回,0.17473636400436254,0.43212756598888297,0.9440559440559441,0.8690481517489197,0.5886412636812264,0.4496852836851903,NEUTRAL,0.31614883612309463,0.2151567434723776,-0.18630374702631888,False,2,2025-11-10,922,acb95ebbfdc22945,2025-11,REJECTED
77435,77440,1,4,VWAP重新站回多头,VWAP回归,VWAP收回,0.18057167382529993,0.4311767167788411,0.9519230769230769,0.8697536257369503,0.657275833825149,0.45225911993519813,NEUTRAL,0.3159761338424708,0.21498404119175377,1.7126581552271538,True,1,2025-11-28,979,acb95ebbfdc22945,2025-11,REJECTED
96357,96374,1,10,欧美时段顺势延续多头,时段延续,时段延续,0.21399270343484056,0.48872497384202124,0.8953488372093024,0.45184727141354863,0.7665706466878255,0.38317448948588106,NEUTRAL,0.29083123238328346,0.20232564820602114,-1.256824068753823,False,2,2026-02-08,1056,792c97e8b4c0b8eb,2026-02,REJECTED
