expert_id,expert,family,tier,selected_research,selected_qualified,candidate_shadow_only,policy_key,selection_status,rejection_reason,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,shrunk_win_rate,wilson_lower,active_months,positive_months,worst_month_R,max_single_month_profit_share,max_trades_single_month
23,压缩后首次放量突破空头,波动扩张,REJECTED,False,False,False,3efd7aa105a06c7b,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
24,向下假突破回区间多头,假突破反转,REJECTED,False,False,False,542ba276eec5abee,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
25,向上假突破回区间空头,假突破反转,REJECTED,False,False,False,5f2fe4ee3fec03dd,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
26,资金费率极端回归多头,衍生品反转,REJECTED,False,False,False,fcc89570f6af5d59,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
27,资金费率极端回归空头,衍生品反转,REJECTED,False,False,False,b02aa80e33f81c12,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,1,0,0.0,0.0,1.3040993432837082,0.0,0.0,-1.3040993432837082,1.3040993432837082,-1.3040993432837082,0.4444444444444444,0.0,1,0,-1.3040993432837082,0.0,1
28,合约溢价极端修复多头,基差反转,REJECTED,False,False,False,61c7503426bc984b,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
29,合约溢价极端修复空头,基差反转,REJECTED,False,False,False,9cc0c5de692aa62f,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
30,欧美开盘区间突破多头,开盘突破,REJECTED,False,False,False,7ec50392647cebba,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,1,0,0.0,0.0,0.8159975125742809,0.0,0.0,-0.8159975125742809,0.8159975125742809,-0.8159975125742809,0.4444444444444444,0.0,1,0,-0.8159975125742809,0.0,1
31,欧美开盘区间突破空头,开盘突破,REJECTED,False,False,False,8f89911d444a7852,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
32,BTC强于ETH且溢价回落空头,跨资产衍生品,REJECTED,False,False,False,ad7bf81694ad15d4,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
33,BTC强于ETH且主动卖盘空头,跨资产订单流,REJECTED,False,False,False,42cf6b5ef39eefab,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足,1,1,1.0,1.7144577334199718,0.0,999.0,999.0,1.7144577334199718,0.0,1.7144577334199718,0.5555555555555556,0.5,1,1,0.0,1.0,1
34,BTC强于ETH欧美盘修复空头,跨资产时段,REJECTED,False,False,False,b64b02e61a1dfe58,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,1,0,0.0,0.0,0.24328401878864367,0.0,0.0,-0.24328401878864367,0.24328401878864367,-0.24328401878864367,0.4444444444444444,0.0,1,0,-0.24328401878864367,0.0,1
35,ETH先跌BTC滞后补跌空头,跨资产领先滞后,REJECTED,False,False,False,2ab044d21e95dd83,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
36,BTC弱于ETH且溢价回升多头,跨资产衍生品,REJECTED,False,False,False,d9882e2d61ed9961,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
37,ETH先涨BTC滞后补涨多头,跨资产领先滞后,REJECTED,False,False,False,b021b98c7d027d39,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足,1,1,1.0,1.7125413489195278,0.0,999.0,999.0,1.7125413489195278,0.0,1.7125413489195278,0.5555555555555556,0.5,1,1,0.0,1.0,1
38,跨资产背离后VWAP失守空头,跨资产VWAP,REJECTED,False,False,False,47d7edd201629376,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
39,跨资产背离后VWAP收回多头,跨资产VWAP,REJECTED,False,False,False,1d3bb2983569000d,NO_WATCH_OR_QUALIFIED_EXPERTS,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
