expert_id,expert,family,tier,selected_research,selected_qualified,candidate_shadow_only,policy_key,selection_status,selection_reason,mature_policy_available,mature_policy_protected,selected_cluster_robust,rejection_reason,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,shrunk_win_rate,wilson_lower,active_months,positive_months,worst_month_R,max_single_month_profit_share,max_trades_single_month
10,欧美时段顺势延续多头,时段延续,REJECTED,False,False,False,792c97e8b4c0b8eb,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足,3,1,0.3333333333333333,1.7124662965841884,0.7217092497815238,2.3727925021088296,1.1863962510544148,0.2690477970211407,1.4434184995630477,0.08968259900704689,0.45454545454545453,0.13564322306091547,1,1,0.0,1.0,3
11,欧美时段顺势延续空头,时段延续,REJECTED,False,False,False,1de21fc96eaf5c68,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足,3,1,0.3333333333333333,1.7147203332269656,0.7364959219251979,2.328214294445368,1.164107147222684,0.24172848937656988,1.2867753638267085,0.08057616312552329,0.45454545454545453,0.13564322306091547,1,1,0.0,1.0,3
12,区间扫低立即收回多头,流动性反转,REJECTED,False,False,False,52f3fa47b619e482,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,True,活跃月份不足,3,1,0.3333333333333333,1.6952141234818747,0.20383827705439583,8.31646611214975,4.158233056074875,1.287537569373083,0.40767655410879167,0.4291791897910277,0.45454545454545453,0.13564322306091547,1,1,0.0,1.0,3
13,区间扫高立即跌回空头,流动性反转,REJECTED,False,False,False,77df21d40787c7a0,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,盈利因子不足|累计净R不足,4,1,0.25,1.6971219202291914,0.5707180076475533,2.9736610681421647,0.9912203560473881,-0.015032102713468692,1.3044368488991718,-0.003758025678367173,0.4166666666666667,0.1,2,1,-1.3044368488991718,1.0,3
14,扫低后确认K多头,流动性确认,REJECTED,False,False,False,2a8da9b9f57c9899,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足,3,1,0.3333333333333333,1.6952172522010793,0.7535713398396482,2.249577661169815,1.1247888305849074,0.1880745725217829,1.3032730625724,0.06269152417392763,0.45454545454545453,0.13564322306091547,1,1,0.0,1.0,3
15,扫高后确认K空头,流动性确认,REJECTED,False,False,False,2605712f51fd787a,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
16,区间二次测试不破多头,二次测试,REJECTED,False,False,False,5911315f52956132,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足,3,1,0.3333333333333333,1.6953878014577437,0.7534230715560302,2.2502467278527747,1.1251233639263873,0.18854165834568337,1.5068461431120603,0.06284721944856113,0.45454545454545453,0.13564322306091547,1,1,0.0,1.0,3
17,区间二次测试不破空头,二次测试,REJECTED,False,False,False,add1fc0880238799,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,盈利因子不足|累计净R不足,4,1,0.25,1.6971258918416485,0.9375424739284869,1.8101856065574908,0.6033952021858302,-1.115501529943812,1.5082074631929385,-0.278875382485953,0.4166666666666667,0.1,2,1,-1.3043699315826711,1.0,3
18,扫低后站回VWAP多头,流动性VWAP,REJECTED,False,False,False,8faa2dfdd58009bb,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
19,扫高后跌破VWAP空头,流动性VWAP,REJECTED,False,False,False,98c02f47708ca242,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
20,BTC弱于ETH背离修复多头,跨资产背离,REJECTED,False,False,False,afac444025613291,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
21,BTC强于ETH背离修复空头,跨资产背离,CANDIDATE,False,False,True,fca571982b7c88a0,NO_WATCH_OR_QUALIFIED_EXPERTS,preferred_seed_anchor,False,False,True,收缩后胜率不足,6,3,0.5,1.8684002111775857,0.8471456269773373,2.205524235359795,2.205524235359795,3.063763752600745,1.346763031962187,0.5106272921001241,0.5,0.3110177634953864,3,2,-1.346763031962187,0.571367077380594,3
22,压缩后首次放量突破多头,波动扩张,REJECTED,False,False,False,637dd7099e42148f,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
23,压缩后首次放量突破空头,波动扩张,REJECTED,False,False,False,59bcc3e64f2c7f94,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,3,0,0.0,0.0,0.733009114998414,0.0,0.0,-2.199027344995242,2.199027344995242,-0.733009114998414,0.36363636363636365,0.0,1,0,-2.199027344995242,0.0,3
24,向下假突破回区间多头,假突破反转,REJECTED,False,False,False,d5f361a753574b48,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,1,0,0.0,0.0,1.3031140960605154,0.0,0.0,-1.3031140960605154,1.3031140960605154,-1.3031140960605154,0.4444444444444444,0.0,1,0,-1.3031140960605154,0.0,1
25,向上假突破回区间空头,假突破反转,REJECTED,False,False,False,5f2fe4ee3fec03dd,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
26,资金费率极端回归多头,衍生品反转,REJECTED,False,False,False,fcc89570f6af5d59,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
27,资金费率极端回归空头,衍生品反转,REJECTED,False,False,False,ab1a7bf6d11e9bd8,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,3,0,0.0,0.0,0.9372401560973608,0.0,0.0,-2.811720468292082,2.811720468292082,-0.9372401560973608,0.36363636363636365,0.0,1,0,-2.811720468292082,0.0,3
28,合约溢价极端修复多头,基差反转,REJECTED,False,False,False,48c0a571f023845e,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,1,0,0.0,0.0,0.20363843820611607,0.0,0.0,-0.20363843820611607,0.20363843820611607,-0.20363843820611607,0.4444444444444444,0.0,1,0,-0.20363843820611607,0.0,1
29,合约溢价极端修复空头,基差反转,REJECTED,False,False,False,9cc0c5de692aa62f,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
30,欧美开盘区间突破多头,开盘突破,REJECTED,False,False,False,f9b0b97528e653e7,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,6,2,0.3333333333333333,1.4955536215401288,1.303233364445384,1.1475716186690712,0.5737858093345356,-2.2218262147012777,3.9098741446512353,-0.37030436911687964,0.42857142857142855,0.17738489439831545,2,1,-3.9098741446512353,1.0,3
31,欧美开盘区间突破空头,开盘突破,REJECTED,False,False,False,8f89911d444a7852,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
32,BTC强于ETH且溢价回落空头,跨资产衍生品,REJECTED,False,False,False,ad7bf81694ad15d4,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
33,BTC强于ETH且主动卖盘空头,跨资产订单流,REJECTED,False,False,False,16e8ea0e0b751d8b,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,True,活跃月份不足,3,1,0.3333333333333333,1.7144577334199718,0.6820153980073186,2.513810888184044,1.256905444092022,0.3504269374053345,1.3640307960146374,0.1168089791351115,0.45454545454545453,0.13564322306091547,1,1,0.0,1.0,3
34,BTC强于ETH欧美盘修复空头,跨资产时段,REJECTED,False,False,False,d9d64c6080c7757b,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,3,0,0.0,0.0,1.2815182689432856,0.0,0.0,-3.8445548068298567,3.8445548068298567,-1.2815182689432856,0.36363636363636365,0.0,1,0,-3.8445548068298567,0.0,3
35,ETH先跌BTC滞后补跌空头,跨资产领先滞后,REJECTED,False,False,False,1988519d498cd703,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,2,0,0.0,0.0,1.284461255634109,0.0,0.0,-2.568922511268218,2.568922511268218,-1.284461255634109,0.4,0.0,1,0,-2.568922511268218,0.0,2
36,BTC弱于ETH且溢价回升多头,跨资产衍生品,REJECTED,False,False,False,d9882e2d61ed9961,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
37,ETH先涨BTC滞后补涨多头,跨资产领先滞后,REJECTED,False,False,False,6387acc3c2ec918d,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足,1,1,1.0,1.7125413489195278,0.0,999.0,999.0,1.7125413489195278,0.0,1.7125413489195278,0.5555555555555556,0.5,1,1,0.0,1.0,1
38,跨资产背离后VWAP失守空头,跨资产VWAP,REJECTED,False,False,False,47d7edd201629376,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
39,跨资产背离后VWAP收回多头,跨资产VWAP,REJECTED,False,False,False,1d3bb2983569000d,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
