channel_id,channel_label,source_component_id,source_component_label,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,27,12,15,0.4444444444444444,2.0298134406645576,1.1324165431662498,1.7924618400479877,1.43396947203839,7.371513140480937,3.427843249085159,0.27301900520299766,-1.0887781067471263
60m_long_recovery_rr2_0,多头独立策略·趋势恢复 RR2.0,60m_long_recovery_rr2_0,多头独立策略·趋势恢复 RR2.0,1,1,0,1.0,1.8939628855290167,0.0,999.0,999.0,1.8939628855290167,0.0,1.8939628855290167,1.8939628855290167
60m_long_recovery_rr2_5,多头独立策略·趋势恢复 RR2.5,60m_long_recovery_rr2_5,多头独立策略·趋势恢复 RR2.5,1,1,0,1.0,2.3937128855290153,0.0,999.0,999.0,2.3937128855290153,0.0,2.3937128855290153,2.3937128855290153
60m_short_continuation_rr2_5,空头独立策略·下跌延续 RR2.5,60m_short_continuation_rr2_5,空头独立策略·下跌延续 RR2.5,15,5,10,0.3333333333333333,2.361670296759706,1.0542427047768508,2.2401580642282894,1.1200790321141445,1.2659244360300206,3.419821139055657,0.08439496240200137,-1.0873185283797053
60m_short_continuation_rr3_0,空头独立策略·下跌延续 RR3.0,60m_short_continuation_rr3_0,空头独立策略·下跌延续 RR3.0,15,5,10,0.3333333333333333,2.252291712397355,1.0542427047768508,2.1364072069856936,1.0682036034928468,0.7190315142182682,4.154975107233161,0.047935434281217874,-1.0873185283797053
60m_short_persistence_baseline_rr2_5,空头冻结基线·趋势持续性 RR2.5,60m_short_persistence_baseline_rr2_5,空头冻结基线·趋势持续性 RR2.5,7,4,3,0.5714285714285714,2.3470141636585233,1.107248565139182,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.8666158513166496,2.240169625334335
60m_split_portfolio_balanced,多空分离组合·均衡版（多2.0/空2.5）,60m_long_recovery_rr2_0,多头独立策略·趋势恢复 RR2.0,1,1,0,1.0,1.8939628855290167,0.0,999.0,999.0,1.8939628855290167,0.0,1.8939628855290167,1.8939628855290167
60m_split_portfolio_balanced,多空分离组合·均衡版（多2.0/空2.5）,60m_short_continuation_rr2_5,空头独立策略·下跌延续 RR2.5,15,5,10,0.3333333333333333,2.361670296759706,1.0542427047768508,2.2401580642282894,1.1200790321141445,1.2659244360300206,3.419821139055657,0.08439496240200137,-1.0873185283797053
60m_split_portfolio_frozen,多空分离组合·冻结基线,60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,27,12,15,0.4444444444444444,2.0298134406645576,1.1324165431662498,1.7924618400479877,1.43396947203839,7.371513140480937,3.427843249085159,0.27301900520299766,-1.0887781067471263
60m_split_portfolio_frozen,多空分离组合·冻结基线,60m_short_persistence_baseline_rr2_5,空头冻结基线·趋势持续性 RR2.5,7,4,3,0.5714285714285714,2.3470141636585233,1.107248565139182,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.8666158513166496,2.240169625334335
60m_split_portfolio_growth,多空分离组合·进取版（多2.5/空3.0）,60m_long_recovery_rr2_5,多头独立策略·趋势恢复 RR2.5,1,1,0,1.0,2.3937128855290153,0.0,999.0,999.0,2.3937128855290153,0.0,2.3937128855290153,2.3937128855290153
60m_split_portfolio_growth,多空分离组合·进取版（多2.5/空3.0）,60m_short_continuation_rr3_0,空头独立策略·下跌延续 RR3.0,15,5,10,0.3333333333333333,2.252291712397355,1.0542427047768508,2.1364072069856936,1.0682036034928468,0.7190315142182682,4.154975107233161,0.047935434281217874,-1.0873185283797053
