channel_id,long_component_id,short_component_id,long_component_signals,short_component_signals,conflict_timestamps,portfolio_signals
60m_split_portfolio_frozen,60m_long_quality_baseline_rr2_5,60m_short_persistence_baseline_rr2_5,28,7,0,35
60m_split_portfolio_balanced,60m_long_recovery_rr2_0,60m_short_continuation_rr2_5,2,15,0,17
60m_split_portfolio_growth,60m_long_recovery_rr2_5,60m_short_continuation_rr3_0,2,15,0,17
