month,bars,trend_regime_bars,range_regime_bars,high_vol_regime_bars,neutral_regime_bars,portfolio_trades,trend_family_trades,range_family_trades,breakout_family_trades
2026-05,8188,2906,2484,2502,296,10,2,8,0
2026-06,7397,2882,1898,2457,160,0,0,0,0
