month,signal_i,expert,family,direction,specialist_probability,meta_probability,expected_utility,router_confidence,micro_confirmation,model_weight,quality_decision
2026-05,62335,震荡多头反转,区间流动性反转,1,0.4738908436673152,0.543040324999255,0.6291209749977651,0.76,0.5133118014091029,0.5,passed
2026-05,63155,震荡多头反转,区间流动性反转,1,0.47450374135907397,0.5307594155577776,0.5922782466733328,0.7838350474435049,0.347609016288639,0.5,passed
2026-05,64431,震荡多头反转,区间流动性反转,1,0.4729886265579766,0.5248109876000987,0.5744329628002961,0.9506888043877881,0.5156001873385233,0.5,passed
2026-05,64592,震荡多头反转,区间流动性反转,1,0.47311635648901457,0.5177332244712167,0.5531996734136502,0.7975947494331962,0.46302695333556826,0.5,passed
2026-05,64876,震荡多头反转,区间流动性反转,1,0.4728672127448573,0.5154560766887697,0.5463682300663091,0.7939902103312303,0.5537372483128147,0.5,passed
2026-05,65023,震荡多头反转,区间流动性反转,1,0.47451268458779905,0.55268947539859,0.6580684261957701,0.8280247960822456,0.5464932203515072,0.5,setup_daily_cap
2026-05,65055,震荡多头反转,区间流动性反转,1,0.4743391341457698,0.5450813604417364,0.6352440813252092,0.8322096494890519,0.5044140604238694,0.5,passed
2026-05,65142,震荡多头反转,区间流动性反转,1,0.4728761523888505,0.5185315161485037,0.555594548445511,0.818437491122526,0.5565306470307249,0.5,passed
2026-05,66039,趋势空头,趋势延续,-1,0.616401066630343,0.5848539748265978,0.6375911295144739,0.9693658823150719,0.24311741038715867,0.5,passed
2026-05,66118,趋势空头,趋势延续,-1,0.5042435683231958,0.518263727839879,0.4511384379516611,0.9880532034994906,0.43314265305928923,0.5,setup_daily_cap
2026-05,67134,震荡多头反转,区间流动性反转,1,0.47344225147764946,0.5328771417613486,0.5986314252840458,0.9431108233341173,0.4370131095041269,0.5,passed
2026-05,69044,趋势空头,趋势延续,-1,0.5447506776736819,0.5129478600128977,0.4362540080361136,0.915646300585193,0.679063775193102,0.5,passed
