month,model,family,primary_trades,primary_trade_share,primary_net_R,confirmation_appearances
2026-05,趋势空头,趋势延续,2,0.2,-1.5888468112105656,2
2026-05,震荡多头反转,区间流动性反转,8,0.8,0.7680866040342066,8
2026-06,趋势空头,趋势延续,0,0.0,0.0,0
2026-06,震荡多头反转,区间流动性反转,0,0.0,0.0,0
