signal_time_utc,entry_time_utc,exit_time_utc,month,direction,primary_model,model_family,model_role,source_models,source_families,independent_agreement_count,setup,setup_group,policy_key,base_model_probability,calibrated_probability,online_score_percentile,router_confidence,micro_confirmation,meta_probability,expected_utility_R,portfolio_utility,model_weight,structure_cycle,quality_protection,entry,risk_abs,target_R,net_R,win,exit_reason,bars
2026-05-01T19:00:00+00:00,2026-05-01T19:05:00+00:00,2026-05-01T20:15:00+00:00,2026-05,LONG,震荡多头反转,区间流动性反转,区间扫低与二次测试多头,震荡多头反转,区间流动性反转,1,区间二次测试收回,震荡二次测试,93f550f2aa2f51b3,0.27445612785829493,0.4738908436673152,0.9818181818181818,0.76,0.5133118014091029,0.543040324999255,0.6291209749977651,0.31456048749888255,0.5,2059,passed,78425.8,258.80415,2.0,-1.3033038609504266,False,PROTECTED_STOP,14
2026-05-04T20:40:00+00:00,2026-05-04T20:45:00+00:00,2026-05-04T23:05:00+00:00,2026-05,LONG,震荡多头反转,区间流动性反转,区间扫低与二次测试多头,震荡多头反转,区间流动性反转,1,流动性扫单反转,震荡扫低收回,93f550f2aa2f51b3,0.2574163722518751,0.47450374135907397,1.0,0.7838350474435049,0.347609016288639,0.5307594155577776,0.5922782466733328,0.2961391233366664,0.5,2070,passed,79876.8,263.59245,2.0,-0.20383980885073705,False,PROTECTED_STOP,28
2026-05-09T15:10:00+00:00,2026-05-09T15:15:00+00:00,2026-05-09T16:20:00+00:00,2026-05,LONG,震荡多头反转,区间流动性反转,区间扫低与二次测试多头,震荡多头反转,区间流动性反转,1,流动性扫单反转,震荡扫低收回,93f550f2aa2f51b3,0.30078115368034103,0.4729886265579766,0.7922077922077922,0.9506888043877881,0.5156001873385233,0.5248109876000987,0.5744329628002961,0.28721648140014805,0.5,2093,passed,80264.8,264.87351,2.0,1.6952146195744457,True,TP,6
2026-05-10T05:45:00+00:00,2026-05-10T05:50:00+00:00,2026-05-10T16:05:00+00:00,2026-05,LONG,震荡多头反转,区间流动性反转,区间扫低与二次测试多头,震荡多头反转,区间流动性反转,1,流动性扫单反转,震荡扫低收回,93f550f2aa2f51b3,0.2969672208280651,0.47311635648901457,0.8333333333333334,0.7975947494331962,0.46302695333556826,0.5177332244712167,0.5531996734136502,0.2765998367068251,0.5,2095,passed,80700.2,266.31033,2.0,1.6952186934318445,True,TP,110
2026-05-11T07:05:00+00:00,2026-05-11T07:10:00+00:00,2026-05-11T12:20:00+00:00,2026-05,LONG,震荡多头反转,区间流动性反转,区间扫低与二次测试多头,震荡多头反转,区间流动性反转,1,流动性扫单反转,震荡扫低收回,93f550f2aa2f51b3,0.3044323451051396,0.4728672127448573,0.759493670886076,0.7939902103312303,0.5537372483128147,0.5154560766887697,0.5463682300663091,0.27318411503315454,0.5,2102,passed,80729.2,266.40603000000004,2.0,1.6952189632119041,True,TP,55
2026-05-11T23:10:00+00:00,2026-05-11T23:15:00+00:00,2026-05-12T01:00:00+00:00,2026-05,LONG,震荡多头反转,区间流动性反转,区间扫低与二次测试多头,震荡多头反转,区间流动性反转,1,流动性扫单反转+区间二次测试收回,震荡二次测试,93f550f2aa2f51b3,0.2619239462125892,0.4743391341457698,0.9761904761904762,0.8322096494890519,0.5044140604238694,0.5450813604417364,0.6352440813252092,0.3176220406626046,0.5,2114,passed,81690.09999999999,269.57667,2.0,-1.3032725779459775,False,PROTECTED_STOP,13
2026-05-12T07:05:00+00:00,2026-05-12T07:10:00+00:00,2026-05-12T10:25:00+00:00,2026-05,LONG,震荡多头反转,区间流动性反转,区间扫低与二次测试多头,震荡多头反转,区间流动性反转,1,流动性扫单反转,震荡扫低收回,93f550f2aa2f51b3,0.30416265657536284,0.4728761523888505,0.7692307692307693,0.818437491122526,0.5565306470307249,0.5185315161485037,0.555594548445511,0.2777972742227555,0.5,2116,passed,80936.0,267.08814,2.0,-1.303279493915395,False,PROTECTED_STOP,32
2026-05-15T16:15:00+00:00,2026-05-15T16:20:00+00:00,2026-05-15T17:25:00+00:00,2026-05,SHORT,趋势空头,趋势延续,趋势空头反抽与确认,趋势空头,趋势延续,1,趋势回踩再确认,趋势回踩失败,d7b1dc9ec5529a35,0.03506094923132194,0.616401066630343,0.9907407407407407,0.9693658823150719,0.24311741038715867,0.5848539748265978,0.6375911295144739,0.31879556475723697,0.5,1172,passed,79147.7,237.44369999999998,1.8,-1.3346752171146279,False,PROTECTED_STOP,13
2026-05-19T18:30:00+00:00,2026-05-19T18:35:00+00:00,2026-05-19T19:25:00+00:00,2026-05,LONG,震荡多头反转,区间流动性反转,区间扫低与二次测试多头,震荡多头反转,区间流动性反转,1,流动性扫单反转,震荡扫低收回,93f550f2aa2f51b3,0.2873647081904898,0.47344225147764946,0.9047619047619048,0.9431108233341173,0.4370131095041269,0.5328771417613486,0.5986314252840458,0.2993157126420229,0.5,2168,passed,76791.3,253.41063000000003,2.0,-0.20386993052145141,False,PROTECTED_STOP,10
2026-05-26T21:50:00+00:00,2026-05-26T21:55:00+00:00,2026-05-26T23:10:00+00:00,2026-05,SHORT,趋势空头,趋势延续,趋势空头反抽与确认,趋势空头,趋势延续,1,趋势回踩再确认+趋势延续突破,趋势回踩失败,d7b1dc9ec5529a35,0.05615280057266857,0.5447506776736819,0.9840319361277445,0.915646300585193,0.679063775193102,0.5129478600128977,0.4362540080361136,0.2181270040180568,0.5,1235,passed,75907.5,227.72280000000003,1.8,-0.2541715940959378,False,PROTECTED_STOP,15
