rank,combination_key,aggregate_score,active_experts,expert_policy_keys,2025-12_trades,2025-12_wins,2025-12_win_rate,2025-12_avg_win_R,2025-12_avg_loss_R,2025-12_avg_win_loss_ratio,2025-12_profit_factor,2025-12_net_R,2025-12_max_drawdown_R,2025-12_expectancy_R,2026-01_trades,2026-01_wins,2026-01_win_rate,2026-01_avg_win_R,2026-01_avg_loss_R,2026-01_avg_win_loss_ratio,2026-01_profit_factor,2026-01_net_R,2026-01_max_drawdown_R,2026-01_expectancy_R,2026-02_trades,2026-02_wins,2026-02_win_rate,2026-02_avg_win_R,2026-02_avg_loss_R,2026-02_avg_win_loss_ratio,2026-02_profit_factor,2026-02_net_R,2026-02_max_drawdown_R,2026-02_expectancy_R,2026-03_trades,2026-03_wins,2026-03_win_rate,2026-03_avg_win_R,2026-03_avg_loss_R,2026-03_avg_win_loss_ratio,2026-03_profit_factor,2026-03_net_R,2026-03_max_drawdown_R,2026-03_expectancy_R,2026-04_trades,2026-04_wins,2026-04_win_rate,2026-04_avg_win_R,2026-04_avg_loss_R,2026-04_avg_win_loss_ratio,2026-04_profit_factor,2026-04_net_R,2026-04_max_drawdown_R,2026-04_expectancy_R,2026-05_trades,2026-05_wins,2026-05_win_rate,2026-05_avg_win_R,2026-05_avg_loss_R,2026-05_avg_win_loss_ratio,2026-05_profit_factor,2026-05_net_R,2026-05_max_drawdown_R,2026-05_expectancy_R
1,d6bfc71ec8d8b0d75b3d,-585.1400098415688,趋势空头|震荡多头反转|震荡空头反转|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=299b0a28d888bef2|震荡空头反转=75cec9ff1e3f734e|高波动空头突破=ca327e318cd87b40,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,4,2,0.5,1.6970959756712416,0.7409488191066695,2.2904361703651244,2.2904361703651244,1.912294313129144,1.278059135514327,0.478073578282286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
2,ac184963416cde22ff9b,-585.1400098415688,趋势空头|震荡多头反转|震荡空头反转|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=299b0a28d888bef2|震荡空头反转=75cec9ff1e3f734e|高波动空头突破=130832f05c6fca6b,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,4,2,0.5,1.6970959756712416,0.7409488191066695,2.2904361703651244,2.2904361703651244,1.912294313129144,1.278059135514327,0.478073578282286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
3,3403ee30167cc0959455,-585.1400098415688,趋势空头|震荡多头反转|震荡空头反转|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=299b0a28d888bef2|震荡空头反转=4290de587024b502|高波动空头突破=ca327e318cd87b40,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,4,2,0.5,1.6970959756712416,0.7409488191066695,2.2904361703651244,2.2904361703651244,1.912294313129144,1.278059135514327,0.478073578282286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
4,9c7c680a868a33a9a4c2,-585.1400098415688,趋势空头|震荡多头反转|震荡空头反转|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=299b0a28d888bef2|震荡空头反转=4290de587024b502|高波动空头突破=130832f05c6fca6b,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,4,2,0.5,1.6970959756712416,0.7409488191066695,2.2904361703651244,2.2904361703651244,1.912294313129144,1.278059135514327,0.478073578282286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
5,3a1b7375567628d54e36,-585.1400098415688,趋势空头|震荡多头反转|震荡空头反转|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=fd0da34ab93d25a4|震荡空头反转=75cec9ff1e3f734e|高波动空头突破=ca327e318cd87b40,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,4,2,0.5,1.6970959756712416,0.7409488191066695,2.2904361703651244,2.2904361703651244,1.912294313129144,1.278059135514327,0.478073578282286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
6,ee613bff90fc4876fb28,-585.1400098415688,趋势空头|震荡多头反转|震荡空头反转|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=fd0da34ab93d25a4|震荡空头反转=75cec9ff1e3f734e|高波动空头突破=130832f05c6fca6b,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,4,2,0.5,1.6970959756712416,0.7409488191066695,2.2904361703651244,2.2904361703651244,1.912294313129144,1.278059135514327,0.478073578282286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
7,11772ac456b335b7cf2b,-585.1400098415688,趋势空头|震荡多头反转|震荡空头反转|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=fd0da34ab93d25a4|震荡空头反转=4290de587024b502|高波动空头突破=ca327e318cd87b40,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,4,2,0.5,1.6970959756712416,0.7409488191066695,2.2904361703651244,2.2904361703651244,1.912294313129144,1.278059135514327,0.478073578282286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
8,d0aa6f6e33ef052c247f,-585.1400098415688,趋势空头|震荡多头反转|震荡空头反转|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=fd0da34ab93d25a4|震荡空头反转=4290de587024b502|高波动空头突破=130832f05c6fca6b,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,4,2,0.5,1.6970959756712416,0.7409488191066695,2.2904361703651244,2.2904361703651244,1.912294313129144,1.278059135514327,0.478073578282286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
9,85859c70d903f7d7454b,-585.1400098415688,趋势空头|震荡多头反转|震荡空头反转|高波动空头突破,趋势空头=761b3b73c2ab2b34|震荡多头反转=299b0a28d888bef2|震荡空头反转=75cec9ff1e3f734e|高波动空头突破=ca327e318cd87b40,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,4,2,0.5,1.6970959756712416,0.7409488191066695,2.2904361703651244,2.2904361703651244,1.912294313129144,1.278059135514327,0.478073578282286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
10,75aee3e5ef263c38d966,-585.1400098415688,趋势空头|震荡多头反转|震荡空头反转|高波动空头突破,趋势空头=761b3b73c2ab2b34|震荡多头反转=299b0a28d888bef2|震荡空头反转=75cec9ff1e3f734e|高波动空头突破=130832f05c6fca6b,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,4,2,0.5,1.6970959756712416,0.7409488191066695,2.2904361703651244,2.2904361703651244,1.912294313129144,1.278059135514327,0.478073578282286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
