entry_time_utc,exit_time_utc,month,direction,family,entry,exit,stop,target,risk_abs,net_R,win,exit_reason,bars
2026-05-06T08:50:00+00:00,2026-05-06T11:20:00+00:00,2026-05,LONG,突破回踩确认,81878.0,82823.11461125474,82467.86501720641,82823.31461125474,363.5825427902869,2.3729523626956834,True,TP,30
2026-05-07T01:05:00+00:00,2026-05-07T07:15:00+00:00,2026-05,LONG,流动性扫单反转,81008.09999999999,81591.49807331603,81591.69807331603,81943.3712395431,359.71970751658296,1.3958041880600547,True,TRAIL,74
2026-05-09T02:30:00+00:00,2026-05-09T16:20:00+00:00,2026-05,SHORT,流动性扫单反转,80385.5,80742.65679671384,80742.45679671384,79457.412328544,356.9567967138487,-1.2262572925963695,False,SL,166
2026-05-10T03:35:00+00:00,2026-05-10T16:05:00+00:00,2026-05,LONG,突破回踩确认,80818.0,81400.02855264289,81400.22855264289,81751.07645282926,358.8755587804856,1.3958028796075517,True,TRAIL,150
2026-05-13T01:50:00+00:00,2026-05-13T12:30:00+00:00,2026-05,SHORT,流动性扫单反转,81026.40000000001,80091.11286086957,80442.66720792234,80090.91286086958,359.80274581939744,2.375547136955512,True,TP,128
2026-05-16T00:30:00+00:00,2026-05-16T06:50:00+00:00,2026-05,SHORT,流动性扫单反转,79139.7,78569.7593944242,78569.5593944242,78225.99562832368,351.42475833704646,1.3974139961066585,True,TRAIL,76
2026-05-16T20:25:00+00:00,2026-05-17T23:20:00+00:00,2026-05,SHORT,流动性扫单反转,78239.3,77675.84606677608,77675.64606677608,77335.99113572585,347.426486259287,1.3974074498977729,True,TRAIL,323
2026-05-22T00:40:00+00:00,2026-05-22T13:30:00+00:00,2026-05,LONG,流动性扫单反转,77436.0,77091.94238454135,77092.14238454135,78330.02980019248,343.8576154586481,-1.225279207758548,False,SL,154
2026-05-22T19:00:00+00:00,2026-05-22T19:35:00+00:00,2026-05,SHORT,突破回踩确认,76361.3,75811.37557663485,75811.17557663485,75479.67345791742,339.0871315702241,1.3973932994231222,True,TRAIL,7
2026-05-22T23:45:00+00:00,2026-05-23T07:50:00+00:00,2026-05,SHORT,突破回踩确认,75459.7,74588.68281983856,75794.78353083132,74588.48281983857,335.0835308313214,2.375506151486186,True,TP,97
2026-05-24T04:45:00+00:00,2026-05-24T10:30:00+00:00,2026-05,LONG,流动性扫单反转,76750.2,77302.9232596698,77303.1232596698,77636.31194259984,340.8122856153257,1.3957733277751747,True,TRAIL,69
2026-05-24T17:50:00+00:00,2026-05-24T21:40:00+00:00,2026-05,SHORT,流动性扫单反转,76684.5,76132.24717536416,76132.04717536416,75799.14197414089,340.5223176381182,1.3973957840667923,True,TRAIL,46
2026-05-27T14:20:00+00:00,2026-05-27T15:15:00+00:00,2026-05,SHORT,突破回踩确认,74851.90000000001,75199.26050689588,75199.06050689588,73949.28268207074,347.16050689587115,-1.216688185318302,False,SL,11
2026-05-28T03:25:00+00:00,2026-05-28T04:00:00+00:00,2026-05,SHORT,多周期趋势回踩,73712.2,73153.36893456907,73153.16893456907,72816.29971962748,344.57703091250585,1.4086785752324225,True,TRAIL,7
2026-05-29T14:15:00+00:00,2026-05-29T14:50:00+00:00,2026-05,SHORT,突破回踩确认,72763.3,73086.61002924261,73086.41002924262,71923.2139239692,323.11002924261567,-1.2263159555462377,False,SL,7
2026-05-30T09:15:00+00:00,2026-05-30T14:00:00+00:00,2026-05,SHORT,流动性扫单反转,73496.7,73823.26672931128,73823.06672931128,72648.14650379066,326.3667293112838,-1.22630978200662,False,SL,57
2026-05-31T09:40:00+00:00,2026-05-31T16:35:00+00:00,2026-05,SHORT,流动性扫单反转,73945.40000000001,73412.880232049,73412.68023204901,73091.6660682383,328.3592045237346,1.3973740388989504,True,TRAIL,83
2026-06-03T23:50:00+00:00,2026-06-04T00:40:00+00:00,2026-06,SHORT,突破回踩确认,64071.4,63292.52505466113,63292.32505466113,62822.85854117738,480.20825339331526,1.4893392143049304,True,TRAIL,10
2026-06-04T10:45:00+00:00,2026-06-04T12:20:00+00:00,2026-06,SHORT,突破回踩确认,62379.100000000006,62889.8387681574,62889.638768157405,61051.69920279077,510.53876815739955,-1.1230748246814894,False,SL,19
2026-06-05T07:00:00+00:00,2026-06-05T07:30:00+00:00,2026-06,SHORT,突破回踩确认,61653.200000000004,62357.77328655303,62357.57328655303,59821.829454962135,704.3732865530255,-1.0883132393445627,False,SL,6
2026-06-05T13:55:00+00:00,2026-06-05T16:20:00+00:00,2026-06,SHORT,突破回踩确认,60700.200000000004,61332.2988195407,61332.098819540704,59057.263069194174,631.8988195407034,-1.096876663663115,False,SL,29
2026-06-12T13:10:00+00:00,2026-06-12T13:40:00+00:00,2026-06,LONG,流动性扫单反转,63456.399999999994,63174.419510638916,63174.61951063891,64189.02927233881,281.78048936108445,-1.2254074080832544,False,SL,6
2026-06-24T20:30:00+00:00,2026-06-24T20:45:00+00:00,2026-06,SHORT,流动性扫单反转,60677.8,61096.43738055908,61096.23738055908,59589.86281054639,418.43738055908295,-1.1459886748374493,False,SL,3
2026-06-26T02:45:00+00:00,2026-06-26T03:25:00+00:00,2026-06,SHORT,突破回踩确认,58609.8,59051.644232274135,59051.44423227414,57461.52499608726,441.6442322741323,-1.1336612544721199,False,SL,8
2026-06-27T00:10:00+00:00,2026-06-27T03:00:00+00:00,2026-06,SHORT,流动性扫单反转,60084.4,60351.40872776915,60351.20872776915,59390.6973078002,266.8087277691544,-1.2264465067130543,False,SL,34
2026-06-27T21:30:00+00:00,2026-06-27T22:20:00+00:00,2026-06,SHORT,流动性扫单反转,60414.600000000006,59979.55898178112,59979.35898178112,59717.08500599634,268.274997693717,1.3972376924813013,True,TRAIL,10
2026-06-28T02:15:00+00:00,2026-06-28T05:30:00+00:00,2026-06,SHORT,流动性扫单反转,60217.9,59784.276050252476,59784.07605025248,59522.655992564534,267.4015413213322,1.3972352585410956,True,TRAIL,39
2026-06-28T16:30:00+00:00,2026-06-28T22:25:00+00:00,2026-06,SHORT,突破回踩确认,59619.700000000004,59190.38560978257,59190.18560978257,58931.36247027221,264.74520374146135,1.3972277578021028,True,TRAIL,71
