month,signal_i,exit_i,day,net_r,win,probability,online_percentile,meta_probability,meta_decision,expected_utility,brier_penalty,utility,utility_pass,selected,allocation_rule,first_reject_stage,monthly_cap_enabled,cross_trade_cluster_dedup
2025-05,28722,28724,2025-05-01,-1.2713351710988023,False,0.11876943405489065,0.3137254901960784,0.12102569510926724,REJECT,-0.5810229459607715,0.03249408676915442,-0.613517032729926,False,False,,ONLINE_RANK,False,False
2025-05,29050,29054,2025-05-02,-0.170774393056048,False,0.1194534847077435,0.46153846153846156,0.12080008420657905,REJECT,-0.5799218773944903,0.03249408676915442,-0.6124159641636447,False,False,,ONLINE_RANK,False,False
2025-05,29051,29054,2025-05-02,-0.17077442529137518,False,0.11951821443973347,0.4716981132075472,0.12102993585295745,REJECT,-0.5796662586987984,0.03249408676915442,-0.6121603454679528,False,False,,ONLINE_RANK,False,False
2025-05,30378,30391,2025-05-07,1.8302246003102882,True,0.12068624508671975,0.6481481481481481,0.12100882210320478,REJECT,-0.57756666296781,0.03249408676915442,-0.6100607497369644,False,False,,ONLINE_RANK,False,False
2025-05,30740,30753,2025-05-08,-0.17074476158654914,False,0.11875696610924975,0.3090909090909091,0.12146946973694724,REJECT,-0.580777979058703,0.03249408676915442,-0.6132720658278574,False,False,,ONLINE_RANK,False,False
2025-05,31007,31030,2025-05-10,-0.17074121897203623,False,0.1193073040363429,0.39285714285714285,0.12091212593919023,REJECT,-0.5801186970585138,0.03249408676915442,-0.6126127838276683,False,False,,ONLINE_RANK,False,False
2025-05,31243,31291,2025-05-11,-0.17073886384760387,False,0.1215918447400799,0.7894736842105263,0.12123811725797404,REJECT,-0.5757907096637537,0.03249408676915442,-0.6082847964329081,False,False,,ONLINE_RANK,False,False
2025-05,31366,31397,2025-05-11,-0.17073827066745162,False,0.1211297218888256,0.6896551724137931,0.12110499110110003,REJECT,-0.576706685714298,0.03249408676915442,-0.6092007724834524,False,False,,ONLINE_RANK,False,False
2025-05,32111,32130,2025-05-14,-1.2712912244948205,False,0.11812486920546593,0.23728813559322035,0.12110648827296468,REJECT,-0.5821399049606362,0.03249408676915442,-0.6146339917297906,False,False,,ONLINE_RANK,False,False
2025-05,32113,32122,2025-05-14,-1.2712917934674208,False,0.11847266292365152,0.26666666666666666,0.12098459103773261,REJECT,-0.5815844195119838,0.03249408676915442,-0.6140785062811382,False,False,,ONLINE_RANK,False,False
2025-05,32393,32399,2025-05-15,-1.271298473216036,False,0.11935237896599503,0.26229508196721313,0.11803931471475748,REJECT,-0.5817689585524416,0.03249408676915442,-0.614263045321596,False,False,,ONLINE_RANK,False,False
2025-05,33250,33258,2025-05-18,1.8302692507302938,True,0.12233660640642412,0.8387096774193549,0.12119751901238454,REJECT,-0.5744683197176197,0.03249408676915442,-0.6069624064867741,False,False,,META_PROBABILITY,False,False
2025-05,33501,33506,2025-05-19,-1.271287505470875,False,0.12066014898463032,0.5714285714285714,0.1196287936759979,REJECT,-0.5784457599417054,0.03249408676915442,-0.6109398467108599,False,False,,ONLINE_RANK,False,False
2025-05,33502,33505,2025-05-19,-1.2712878032467372,False,0.1205744511285336,0.5625,0.11964090568476618,REJECT,-0.5785934387982201,0.03249408676915442,-0.6110875255673746,False,False,,ONLINE_RANK,False,False
2025-05,34025,34027,2025-05-21,-1.2712750537566382,False,0.11890851204366991,0.3076923076923077,0.12074240598945785,REJECT,-0.5809422018353364,0.03249408676915442,-0.6134362886044908,False,False,,ONLINE_RANK,False,False
2025-05,34037,34042,2025-05-21,-1.2067456225748443,False,0.11948499333154289,0.4696969696969697,0.12078653809238354,REJECT,-0.5798730614837422,0.03249408676915442,-0.6123671482528966,False,False,,ONLINE_RANK,False,False
2025-05,34108,34114,2025-05-21,-1.2712684902739906,False,0.12162156974904209,0.7910447761194029,0.12108303842975314,REJECT,-0.575830437543844,0.03249408676915442,-0.6083245243129984,False,False,,ONLINE_RANK,False,False
2025-05,34179,34208,2025-05-22,1.8302946289957382,True,0.12144192246607624,0.75,0.12125592259629363,REJECT,-0.5760511030504822,0.03249408676915442,-0.6085451898196367,False,False,,ONLINE_RANK,False,False
2025-05,34585,34601,2025-05-24,-1.2712700225305744,False,0.11862551278455467,0.14492753623188406,0.11790897412904877,REJECT,-0.5831620301324576,0.03249408676915442,-0.615656116901612,False,False,,ONLINE_RANK,False,False
2025-05,34611,34656,2025-05-24,-0.17071531292548595,False,0.11968068928978243,0.3,0.11834151811986787,REJECT,-0.5809930530791103,0.03249408676915442,-0.6134871398482648,False,False,,ONLINE_RANK,False,False
2025-05,35014,35023,2025-05-25,-1.2712670499623988,False,0.11976223849299525,0.2676056338028169,0.11763643855448831,REJECT,-0.5812706089280459,0.03249408676915442,-0.6137646956972004,False,False,,ONLINE_RANK,False,False
2025-05,35015,35024,2025-05-25,-1.2712666905286227,False,0.12033944492244791,0.4861111111111111,0.11823731866617575,REJECT,-0.5798645404676596,0.03249408676915442,-0.612358627236814,False,False,,ONLINE_RANK,False,False
2025-05,35946,35971,2025-05-29,1.8302831163570576,True,0.11890032425694615,0.3424657534246575,0.12141431293507803,REJECT,-0.5805519726251958,0.03249408676915442,-0.6130460593943502,False,False,,ONLINE_RANK,False,False
2025-06,37326,37329,2025-06-03,-1.271277877803177,False,0.1791250235817403,0.7083333333333334,0.17439640303877899,REJECT,-0.3832811088971186,0.037738018322949964,-0.42101912722006857,False,False,,ONLINE_RANK,False,False
2025-06,37327,37355,2025-06-03,1.8302719187380592,True,0.180622766984232,0.76,0.1740425612994626,REJECT,-0.38049458139018,0.037738018322949964,-0.41823259971313,False,False,,ONLINE_RANK,False,False
2025-06,37838,37845,2025-06-05,1.8302684321375402,True,0.16653936148458057,0.2692307692307692,0.16914217538911971,REJECT,-0.41223512751018915,0.037738018322949964,-0.44997314583313913,False,False,,ONLINE_RANK,False,False
