lane,month,signal_i,exit_i,direction,policy_key,day,net_r,win,outcome_reason,reason,model_available,history_ready,base_probability,probability,online_percentile,rank_threshold,rank_pass,router,router_threshold,micro,meta_probability,meta_decision,meta_pass,expected_utility,brier_penalty,sample_uncertainty_penalty,total_penalty,utility,minimum_utility,utility_pass,cap_pass,selected,first_reject_stage,sample_uncertainty_changes_signal_selection,monthly_cap_enabled,cross_trade_cluster_dedup,allocation_rule,expert_id,expert,family,setup_group,rating_engine,signal_time_utc,entry_time_utc,exit_time_utc
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-06,129760,129822,1,792c97e8b4c0b8eb,2026-06-14,-1.2861014870593575,False,2,2,True,True,0.5652402223300012,0.41482196434037166,0.9344262295081968,0.88,True,0.6,0.34,0.7439292665892501,0.37667306973386483,NEUTRAL,True,0.1405342920095457,0.048921026882849154,0.0,0.048921026882849154,0.09161326512669654,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,10,欧美时段顺势延续多头,时段延续,时段延续,V9.6.1_REFERENCE,2026-06-14T08:15:00+00:00,2026-06-14T08:20:00+00:00,2026-06-14T13:25:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-06,130022,130028,1,792c97e8b4c0b8eb,2026-06-15,-1.286082367442363,False,2,2,True,True,0.4822948559943415,0.4092016993772481,0.9808917197452229,0.88,True,0.4205235520960303,0.34,0.6119235266348244,0.4097848993752579,NEUTRAL,True,0.15127356499686084,0.048921026882849154,0.0,0.048921026882849154,0.10235253811401168,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,10,欧美时段顺势延续多头,时段延续,时段延续,V9.6.1_REFERENCE,2026-06-15T07:15:00+00:00,2026-06-15T07:20:00+00:00,2026-06-15T08:20:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-06,131983,132000,1,792c97e8b4c0b8eb,2026-06-22,-1.2844400446528759,False,2,2,True,True,0.3963025681468276,0.40332839229947315,0.9093406593406593,0.88,True,0.4116292453222242,0.34,0.550980995878632,0.4101478258741596,NEUTRAL,True,0.13986951717950147,0.048921026882849154,0.0,0.048921026882849154,0.0909484902966523,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,10,欧美时段顺势延续多头,时段延续,时段延续,V9.6.1_REFERENCE,2026-06-22T15:25:00+00:00,2026-06-22T16:10:00+00:00,2026-06-22T17:30:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,122456,122484,-1,1de21fc96eaf5c68,2026-05-17,-1.2869456596998758,False,2,2,True,True,0.517267280196071,0.425888037324038,0.9807692307692307,0.88,True,0.40635820082268276,0.34,0.47923766680144525,0.3104233122104639,NEUTRAL,True,0.1024579777512592,0.042730895705105784,0.0,0.042730895705105784,0.059727082046153415,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,11,欧美时段顺势延续空头,时段延续,时段延续,V9.6.1_REFERENCE,2026-05-17T07:05:00+00:00,2026-05-17T07:10:00+00:00,2026-05-17T10:05:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,119133,119162,1,52f3fa47b619e482,2026-05-04,-0.20383980885073705,False,2,2,True,True,0.1895249128991466,0.41570614553619495,0.868421052631579,0.8,True,0.8316240219919646,0.34,0.5271922468891521,0.359879880389665,NEUTRAL,True,0.21131535397654788,0.04713852231686307,0.0,0.04713852231686307,0.1641768316596848,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,12,区间扫低立即收回多头,流动性反转,扫低立即收回,V9.6.1_REFERENCE,2026-05-04T20:40:00+00:00,2026-05-04T20:45:00+00:00,2026-05-04T23:05:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,120232,120314,1,52f3fa47b619e482,2026-05-08,-0.20383674525805465,False,2,2,True,True,0.21090535297709376,0.4030600654224255,0.851063829787234,0.8,True,0.8447168709865732,0.34,0.7698650948254206,0.3664208830661921,NEUTRAL,True,0.19292915087179097,0.04713852231686307,0.0,0.04713852231686307,0.1457906285549279,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,12,区间扫低立即收回多头,流动性反转,扫低立即收回,V9.6.1_REFERENCE,2026-05-08T23:15:00+00:00,2026-05-08T23:20:00+00:00,2026-05-09T06:35:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,120347,120416,1,52f3fa47b619e482,2026-05-09,1.6952141234818747,True,1,1,True,True,0.14726271708484948,0.4447891916482359,0.9803921568627451,0.8,True,0.7946564698099972,0.34,0.6954160667008324,0.36488390046860825,NEUTRAL,True,0.26533874691908543,0.04713852231686307,0.0,0.04713852231686307,0.21820022460222235,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,12,区间扫低立即收回多头,流动性反转,扫低立即收回,V9.6.1_REFERENCE,2026-05-09T10:00:00+00:00,2026-05-09T10:05:00+00:00,2026-05-09T16:20:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,121035,121048,1,52f3fa47b619e482,2026-05-11,-1.3032730625724,False,2,2,True,True,0.21925448017004712,0.3984129196420956,0.8,0.8,True,0.8499233194172281,0.34,0.576739993182882,0.36097671926521896,NEUTRAL,True,0.18157695474201008,0.04713852231686307,0.0,0.04713852231686307,0.134438432425147,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,12,区间扫低立即收回多头,流动性反转,扫低立即收回,V9.6.1_REFERENCE,2026-05-11T23:20:00+00:00,2026-05-11T23:25:00+00:00,2026-05-12T01:05:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,121974,121983,1,52f3fa47b619e482,2026-05-15,-1.30328266491997,False,2,2,True,True,0.19176964706211613,0.41432331086759616,0.927536231884058,0.8,True,0.8477416008299427,0.34,0.7995706948472145,0.3677518484353032,NEUTRAL,True,0.21349581223280356,0.04713852231686307,0.0,0.04713852231686307,0.16635728991594048,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,12,区间扫低立即收回多头,流动性反转,扫低立即收回,V9.6.1_REFERENCE,2026-05-15T12:05:00+00:00,2026-05-15T12:10:00+00:00,2026-05-15T12:50:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,123026,123037,1,52f3fa47b619e482,2026-05-19,-1.3033194413634137,False,2,2,True,True,0.215165171738024,0.40067025276111085,0.8108108108108109,0.8,True,0.8217254231786638,0.34,0.6512939367343464,0.362593390373756,NEUTRAL,True,0.18648935501765895,0.04713852231686307,0.0,0.04713852231686307,0.13935083270079587,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,12,区间扫低立即收回多头,流动性反转,扫低立即收回,V9.6.1_REFERENCE,2026-05-19T10:45:00+00:00,2026-05-19T10:50:00+00:00,2026-05-19T11:40:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,123704,123718,1,52f3fa47b619e482,2026-05-21,-1.30331224212754,False,2,2,True,True,0.211925195684421,0.4024842744921117,0.8333333333333334,0.8,True,0.8378983140612581,0.34,0.6557722706908609,0.36309080270162675,NEUTRAL,True,0.18996750940820928,0.04713852231686307,0.0,0.04713852231686307,0.1428289870913462,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,12,区间扫低立即收回多头,流动性反转,扫低立即收回,V9.6.1_REFERENCE,2026-05-21T23:15:00+00:00,2026-05-21T23:20:00+00:00,2026-05-22T01:00:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,123778,123801,1,52f3fa47b619e482,2026-05-22,-1.3033128642346172,False,2,2,True,True,0.2082801671890305,0.404553005927093,0.8735632183908046,0.8,True,0.806017684727995,0.34,0.77310461132716,0.36576929745344117,NEUTRAL,True,0.19517037786639246,0.04713852231686307,0.0,0.04713852231686307,0.14803185554952938,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,12,区间扫低立即收回多头,流动性反转,扫低立即收回,V9.6.1_REFERENCE,2026-05-22T06:00:00+00:00,2026-05-22T06:05:00+00:00,2026-05-22T08:35:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,126001,126049,1,52f3fa47b619e482,2026-05-30,-0.2039004348440641,False,2,2,True,True,0.2099870152076061,0.4035805443923938,0.86,0.8,True,0.8330159144273395,0.34,0.6772452234743114,0.36363172454979276,NEUTRAL,True,0.19221019785260784,0.04713852231686307,0.0,0.04713852231686307,0.14507167553574477,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,12,区间扫低立即收回多头,流动性反转,扫低立即收回,V9.6.1_REFERENCE,2026-05-30T21:50:00+00:00,2026-05-30T21:55:00+00:00,2026-05-31T02:25:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,121035,121048,1,2a8da9b9f57c9899,2026-05-11,-1.3032730625724,False,2,2,True,True,0.19010374160972338,0.5106958072878468,1.0,0.88,True,0.8499233194172281,0.34,0.576739993182882,0.4872737146835935,NEUTRAL,True,0.42917423274394656,0.04992561509448193,0.0,0.04992561509448193,0.3792486176494646,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,14,扫低后确认K多头,流动性确认,扫低确认,V9.6.1_REFERENCE,2026-05-11T23:20:00+00:00,2026-05-11T23:25:00+00:00,2026-05-12T01:05:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,121301,121320,1,2a8da9b9f57c9899,2026-05-12,1.6952172522010793,True,1,1,True,True,0.2444751256375209,0.49984480648441443,0.8961038961038961,0.88,True,0.8426175912254802,0.34,0.6899075627972184,0.4825854153352846,NEUTRAL,True,0.4063820886165896,0.04992561509448193,0.0,0.04992561509448193,0.35645647352210763,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,14,扫低后确认K多头,流动性确认,扫低确认,V9.6.1_REFERENCE,2026-05-12T23:15:00+00:00,2026-05-12T23:20:00+00:00,2026-05-13T01:30:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,123012,123033,1,2a8da9b9f57c9899,2026-05-19,-0.20386961710689638,False,2,2,True,True,0.2313145854949138,0.5022995642983898,0.9408284023668639,0.88,True,0.8124914642473907,0.34,0.6859179092740271,0.48345576735015755,NEUTRAL,True,0.411421782756787,0.04992561509448193,0.0,0.04992561509448193,0.3614961676623051,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,14,扫低后确认K多头,流动性确认,扫低确认,V9.6.1_REFERENCE,2026-05-19T09:35:00+00:00,2026-05-19T09:40:00+00:00,2026-05-19T11:20:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,123387,123422,1,2a8da9b9f57c9899,2026-05-20,-0.20386362764720437,False,2,2,True,True,0.24104355525833235,0.5004759826158307,0.9147727272727273,0.88,True,0.8412873365779173,0.34,0.668865790325696,0.4835198820643742,NEUTRAL,True,0.408112857128936,0.04992561509448193,0.0,0.04992561509448193,0.35818724203445407,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,14,扫低后确认K多头,流动性确认,扫低确认,V9.6.1_REFERENCE,2026-05-20T19:05:00+00:00,2026-05-20T19:10:00+00:00,2026-05-20T22:00:00+00:00
V9.7.2_DIAGNOSTIC_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,123709,123777,1,2a8da9b9f57c9899,2026-05-22,-0.20386289836059954,False,2,2,True,True,0.21339693391502035,0.505803979567647,0.9679144385026738,0.88,True,0.8363644638630982,0.34,0.6816325946875068,0.4830661458608282,NEUTRAL,True,0.41761756791093574,0.04992561509448193,0.0,0.04992561509448193,0.36769195281645384,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,14,扫低后确认K多头,流动性确认,扫低确认,V9.6.1_REFERENCE,2026-05-22T00:15:00+00:00,2026-05-22T00:20:00+00:00,2026-05-22T05:55:00+00:00
