signal_i,direction,status,v961_month,v964_month,v961_net_r,v964_net_r,v961_meta,v964_meta,v961_probability,v964_probability,v961_utility,v964_utility
81058,-1,BOTH,2025-12,2025-12,1.890496985958381,1.890496985958381,NEUTRAL,NEUTRAL,0.4283965626961125,0.4283965626961125,0.30333221819475653,0.2152617336019586
86524,-1,V961_ONLY,2026-01,,1.8837997881465247,,NEUTRAL,,0.3799471579399241,,0.08579155870104416,
87305,-1,V961_ONLY,2026-01,,1.8321953397565938,,NEUTRAL,,0.3676039281546235,,0.061410938178569685,
89702,-1,V961_ONLY,2026-01,,-1.2643270542932266,,NEUTRAL,,0.38449573646316254,,0.10195646821181237,
89703,-1,V964_ONLY,,2026-01,,-1.2651195544318623,,NEUTRAL,,0.4076751046207133,,0.0327016365473452
94026,-1,V964_ONLY,,2026-01,,-0.0816434775303245,,NEUTRAL,,0.5012431359502408,,0.2254363314566392
112113,-1,BOTH,2026-04,2026-04,1.8527370445175673,1.8527370445175677,NEUTRAL,NEUTRAL,0.40490301077025725,0.4049030107702572,0.3353985633735576,0.2207156356421665
113727,-1,BOTH,2026-04,2026-04,1.8619666030568092,1.8619666030568087,NEUTRAL,NEUTRAL,0.39266361597202326,0.3926636159720232,0.3123303224528873,0.1976473947214961
114531,-1,BOTH,2026-04,2026-04,-1.194673848969825,-1.194673848969825,NEUTRAL,NEUTRAL,0.40732464617868314,0.4073246461786831,0.3393237037934057,0.2246407760620146
