rank,score,qualified,may_trades,may_win_rate,may_ratio,june_trades,june_win_rate,june_ratio,net_R,max_drawdown_R,config
11,561.2797546242055,False,1.0,1.0,0.0,2.0,1.0,0.0,3.7797546242054887,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 2.25, ""sl_atr"": 2.1111129646791977, ""min_stop_pct"": 0.006607686195247962, ""max_hold"": 36, ""cooldown"": 70, ""session_start"": 13, ""session_end"": 24, ""weekday_mask"": 124, ""adx_min"": 21.399295623428813, ""rsi_long_min"": 43.369961377728416, ""rsi_long_max"": 64.16381911627946, ""volz_min"": 0.6927685884398429, ""body_min"": 0.6680488526069608, ""close_loc_min"": 0.8211117579065015, ""ret3_min"": 0.0025407415760394505, ""bb_min"": 0.16401708889999522, ""bb_max"": 1.0338915911241529, ""pull_idx"": 8, ""don_idx"": 0, ""score_need"": 4, ""weights"": [1, 1, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 2, 2, 3, 0]}"
12,561.2086961891204,False,2.0,1.0,0.0,1.0,1.0,0.0,3.7086961891204107,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 2.25, ""sl_atr"": 2.1552169020167753, ""min_stop_pct"": 0.008753991982831806, ""max_hold"": 48, ""cooldown"": 64, ""session_start"": 13, ""session_end"": 23, ""weekday_mask"": 124, ""adx_min"": 28.62705842856904, ""rsi_long_min"": 43.8235705109657, ""rsi_long_max"": 64.45391516752984, ""volz_min"": 1.2176385362397342, ""body_min"": 0.27464969884830204, ""close_loc_min"": 0.7202069986050065, ""ret3_min"": -6.384364629549136e-05, ""bb_min"": 0.48329820775282906, ""bb_max"": 1.0778617467909233, ""pull_idx"": 7, ""don_idx"": 1, ""score_need"": 7, ""weights"": [1, 0, 1, 2, 0, 0, 0, 1, 0, 3, 1, 2, 0, 2, 1, 2]}"
13,561.0289576526808,False,1.0,1.0,0.0,2.0,1.0,0.0,3.5289576526807904,0.0,"{""direction"": 2, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 2.375890463534443, ""min_stop_pct"": 0.006363376459180057, ""max_hold"": 96, ""cooldown"": 45, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 31, ""adx_min"": 26.67922197275946, ""rsi_long_min"": 50.2535080612418, ""rsi_long_max"": 71.95284649125256, ""volz_min"": 1.226666213634975, ""body_min"": 0.6390938726192934, ""close_loc_min"": 0.747814085154934, ""ret3_min"": 0.00164661846740258, ""bb_min"": 0.3410321182971946, ""bb_max"": 1.0977652516547798, ""pull_idx"": 3, ""don_idx"": 0, ""score_need"": 3, ""weights"": [1, 1, 1, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 2, 0, 1]}"
14,560.8888635669316,False,2.0,1.0,0.0,2.0,1.0,0.0,0.8888635669315759,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 1.6159624616522257, ""min_stop_pct"": 0.006157702869025323, ""max_hold"": 24, ""cooldown"": 41, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 60, ""adx_min"": 28.959764501018583, ""rsi_long_min"": 38.071810862815944, ""rsi_long_max"": 66.0488850466191, ""volz_min"": 1.1767353338790951, ""body_min"": 0.5712143746822913, ""close_loc_min"": 0.7768267818608011, ""ret3_min"": 0.002705781839980988, ""bb_min"": 0.5386941367782246, ""bb_max"": 0.8562405127190824, ""pull_idx"": 6, ""don_idx"": 0, ""score_need"": 6, ""weights"": [3, 0, 1, 2, 3, 1, 3, 0, 2, 0, 1, 0, 1, 1, 1, 0]}"
15,560.5522593466591,False,1.0,1.0,0.0,2.0,1.0,0.0,3.052259346659051,0.0,"{""direction"": 2, ""trigger"": 3, ""rr"": 1.6, ""sl_atr"": 2.6146863074661972, ""min_stop_pct"": 0.008552527988743265, ""max_hold"": 24, ""cooldown"": 4, ""session_start"": 10, ""session_end"": 21, ""weekday_mask"": 30, ""adx_min"": 15.032161109571584, ""rsi_long_min"": 50.96038688372584, ""rsi_long_max"": 71.34215903173751, ""volz_min"": 1.5655917120339626, ""body_min"": 0.6673882271087778, ""close_loc_min"": 0.7995503524464437, ""ret3_min"": -0.0007593876420276155, ""bb_min"": 0.22100393046089079, ""bb_max"": 0.6754158000014305, ""pull_idx"": 1, ""don_idx"": 1, ""score_need"": 6, ""weights"": [1, 0, 0, 2, 1, 0, 3, 1, 1, 3, 1, 1, 0, 1, 0, 0]}"
16,560.2694761267657,False,2.0,1.0,0.0,1.0,1.0,0.0,2.769476126765671,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 2.0, ""sl_atr"": 1.6107636045348688, ""min_stop_pct"": 0.006717636381628412, ""max_hold"": 48, ""cooldown"": 70, ""session_start"": 13, ""session_end"": 24, ""weekday_mask"": 30, ""adx_min"": 24.086335318273996, ""rsi_long_min"": 54.49984267853118, ""rsi_long_max"": 65.87954033723894, ""volz_min"": 0.5852327661794456, ""body_min"": 0.5185992855123849, ""close_loc_min"": 0.6100589849842266, ""ret3_min"": 0.0009477138971551871, ""bb_min"": 0.4779807730569232, ""bb_max"": 0.8054345337115475, ""pull_idx"": 4, ""don_idx"": 1, ""score_need"": 4, ""weights"": [0, 0, 1, 1, 2, 0, 1, 3, 1, 1, 1, 0, 1, 0, 0, 2]}"
17,560.231542465444,False,1.0,1.0,0.0,2.0,1.0,0.0,2.7315424654439973,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.5, ""sl_atr"": 2.551590226328169, ""min_stop_pct"": 0.006617359449922497, ""max_hold"": 36, ""cooldown"": 40, ""session_start"": 18, ""session_end"": 24, ""weekday_mask"": 120, ""adx_min"": 17.367513921291398, ""rsi_long_min"": 50.52263460873505, ""rsi_long_max"": 65.75652417745204, ""volz_min"": 1.0694843657640525, ""body_min"": 0.6629195892462243, ""close_loc_min"": 0.7686299971989652, ""ret3_min"": 0.0036674310906434516, ""bb_min"": 0.2078386157007444, ""bb_max"": 1.141453323013088, ""pull_idx"": 3, ""don_idx"": 0, ""score_need"": 4, ""weights"": [0, 1, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1]}"
18,560.2004088691566,False,1.0,1.0,0.0,2.0,1.0,0.0,2.700408869156602,0.0,"{""direction"": 0, ""trigger"": 3, ""rr"": 1.75, ""sl_atr"": 2.1670601094927155, ""min_stop_pct"": 0.0061835977991014845, ""max_hold"": 36, ""cooldown"": 41, ""session_start"": 15, ""session_end"": 24, ""weekday_mask"": 120, ""adx_min"": 23.23846568433723, ""rsi_long_min"": 36.39658197028592, ""rsi_long_max"": 77.03894935922088, ""volz_min"": 1.4849273530338765, ""body_min"": 0.5034791257241861, ""close_loc_min"": 0.6133819356196617, ""ret3_min"": -0.00011350149426127244, ""bb_min"": 0.35863463418037933, ""bb_max"": 0.9787461450745671, ""pull_idx"": 5, ""don_idx"": 1, ""score_need"": 6, ""weights"": [3, 1, 1, 3, 0, 0, 1, 0, 1, 1, 0, 0, 0, 3, 1, 1]}"
19,560.169734537417,False,2.0,1.0,0.0,1.0,1.0,0.0,2.6697345374169426,0.0,"{""direction"": 1, ""trigger"": 2, ""rr"": 1.5, ""sl_atr"": 2.8579230591207545, ""min_stop_pct"": 0.006679834557185231, ""max_hold"": 72, ""cooldown"": 12, ""session_start"": 4, ""session_end"": 13, ""weekday_mask"": 120, ""adx_min"": 33.81201687989233, ""rsi_long_min"": 39.17896403282729, ""rsi_long_max"": 60.92126826431865, ""volz_min"": 0.48604612262030233, ""body_min"": 0.25936441594347814, ""close_loc_min"": 0.7434838756667363, ""ret3_min"": 0.0009458670758972652, ""bb_min"": 0.4880276819641518, ""bb_max"": 0.6983014508240131, ""pull_idx"": 6, ""don_idx"": 0, ""score_need"": 17, ""weights"": [0, 1, 1, 3, 2, 2, 2, 3, 1, 0, 1, 0, 3, 0, 3, 0]}"
20,560.0386976291,False,1.0,1.0,0.0,2.0,1.0,0.0,2.5386976291000884,0.0,"{""direction"": 2, ""trigger"": 3, ""rr"": 2.0, ""sl_atr"": 2.078867293309806, ""min_stop_pct"": 0.005872501940954643, ""max_hold"": 48, ""cooldown"": 26, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""adx_min"": 15.094024479332727, ""rsi_long_min"": 39.73743433455779, ""rsi_long_max"": 60.860769434050226, ""volz_min"": 0.19345980687636233, ""body_min"": 0.6518663962160473, ""close_loc_min"": 0.7192796299526644, ""ret3_min"": 0.0010165797380768506, ""bb_min"": 0.17181494361963487, ""bb_max"": 0.7575871573471141, ""pull_idx"": 6, ""don_idx"": 0, ""score_need"": 7, ""weights"": [2, 1, 0, 3, 3, 2, 2, 1, 0, 1, 0, 1, 3, 2, 0, 0]}"
