entry_time_utc,exit_time_utc,month,direction,entry,exit,stop,target,risk_abs,net_R,win,exit_reason,bars
2026-05-05T16:45:00+00:00,2026-05-05T19:45:00+00:00,2026-05,LONG,81126.5,81605.1,80598.54860991218,81971.22222414051,527.9513900878214,0.752406769748117,True,TIME,36
2026-05-12T18:55:00+00:00,2026-05-12T21:55:00+00:00,2026-05,SHORT,80641.0,80550.2,81165.79447033022,79801.32884747165,524.7944703302138,0.019444564638003984,True,TIME,36
2026-05-27T20:20:00+00:00,2026-05-27T21:40:00+00:00,2026-05,SHORT,75263.40000000001,74479.92275120619,75753.19828049614,74479.7227512062,489.798280496137,1.44672943053299,True,TP,16
2026-06-09T20:15:00+00:00,2026-06-09T23:15:00+00:00,2026-06,SHORT,62067.9,61800.2,62471.82498702776,61421.62002075559,403.9249870277568,0.5094162446203522,True,TIME,36
2026-06-18T17:25:00+00:00,2026-06-18T20:20:00+00:00,2026-06,LONG,62553.299999999996,63204.43000961321,62146.21874399174,63204.6300096132,407.081256008255,1.4450460096754625,True,TP,35
2026-06-23T16:15:00+00:00,2026-06-23T19:15:00+00:00,2026-06,SHORT,62649.4,62278.799999999996,63057.10925591881,61997.06519052991,407.7092559188078,0.7557736193788269,True,TIME,36
