rank,combination_key,aggregate_score,active_experts,expert_policy_keys,2025-12_trades,2025-12_wins,2025-12_win_rate,2025-12_avg_win_R,2025-12_avg_loss_R,2025-12_avg_win_loss_ratio,2025-12_profit_factor,2025-12_net_R,2025-12_max_drawdown_R,2025-12_expectancy_R,2026-01_trades,2026-01_wins,2026-01_win_rate,2026-01_avg_win_R,2026-01_avg_loss_R,2026-01_avg_win_loss_ratio,2026-01_profit_factor,2026-01_net_R,2026-01_max_drawdown_R,2026-01_expectancy_R,2026-02_trades,2026-02_wins,2026-02_win_rate,2026-02_avg_win_R,2026-02_avg_loss_R,2026-02_avg_win_loss_ratio,2026-02_profit_factor,2026-02_net_R,2026-02_max_drawdown_R,2026-02_expectancy_R,2026-03_trades,2026-03_wins,2026-03_win_rate,2026-03_avg_win_R,2026-03_avg_loss_R,2026-03_avg_win_loss_ratio,2026-03_profit_factor,2026-03_net_R,2026-03_max_drawdown_R,2026-03_expectancy_R,2026-04_trades,2026-04_wins,2026-04_win_rate,2026-04_avg_win_R,2026-04_avg_loss_R,2026-04_avg_win_loss_ratio,2026-04_profit_factor,2026-04_net_R,2026-04_max_drawdown_R,2026-04_expectancy_R,2026-05_trades,2026-05_wins,2026-05_win_rate,2026-05_avg_win_R,2026-05_avg_loss_R,2026-05_avg_win_loss_ratio,2026-05_profit_factor,2026-05_net_R,2026-05_max_drawdown_R,2026-05_expectancy_R
1,7d4048288f8eb16f7bc3,-1000000000000.0,趋势空头|震荡多头反转,趋势空头=6ea041c58377e730|震荡多头反转=4fc73ef7fc8d2428,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,1.706061320715998,0.1749359300366994,9.752492357391002,9.752492357391002,1.5311253906792985,0.1749359300366994,0.7655626953396493,4,3,0.75,1.54532586510505,0.2542054710664499,6.079042510855709,18.23712753256713,4.381772124248701,0.25420547106644964,1.0954430310621752
2,e26c4ff7313fbac6688b,-1000000000000.0,趋势空头|震荡多头反转,趋势空头=6ea041c58377e730|震荡多头反转=c764e6133244f680,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,1.706061320715998,0.1749359300366994,9.752492357391002,9.752492357391002,1.5311253906792985,0.1749359300366994,0.7655626953396493,4,3,0.75,1.54532586510505,0.2542054710664499,6.079042510855709,18.23712753256713,4.381772124248701,0.25420547106644964,1.0954430310621752
3,1ab10e874d4b821e9121,-1000000000000.0,趋势空头|震荡多头反转,趋势空头=6ea041c58377e730|震荡多头反转=cce36ebf6097fc19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,1.706061320715998,0.1749359300366994,9.752492357391002,9.752492357391002,1.5311253906792985,0.1749359300366994,0.7655626953396493,4,3,0.75,1.54532586510505,0.2542054710664499,6.079042510855709,18.23712753256713,4.381772124248701,0.25420547106644964,1.0954430310621752
4,b98455fc6befd96ceda4,-1000000000000.0,趋势空头|震荡多头反转,趋势空头=9f92a8c39a6be838|震荡多头反转=4fc73ef7fc8d2428,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,1.706061320715998,0.1749359300366994,9.752492357391002,9.752492357391002,1.5311253906792985,0.1749359300366994,0.7655626953396493,4,3,0.75,1.54532586510505,0.2542054710664499,6.079042510855709,18.23712753256713,4.381772124248701,0.25420547106644964,1.0954430310621752
5,cf850ec9c857b13db112,-1000000000000.0,趋势空头|震荡多头反转,趋势空头=9f92a8c39a6be838|震荡多头反转=c764e6133244f680,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,1.706061320715998,0.1749359300366994,9.752492357391002,9.752492357391002,1.5311253906792985,0.1749359300366994,0.7655626953396493,4,3,0.75,1.54532586510505,0.2542054710664499,6.079042510855709,18.23712753256713,4.381772124248701,0.25420547106644964,1.0954430310621752
6,c788ffbee7ab7b0245af,-1000000000000.0,趋势空头|震荡多头反转,趋势空头=9f92a8c39a6be838|震荡多头反转=cce36ebf6097fc19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,1.706061320715998,0.1749359300366994,9.752492357391002,9.752492357391002,1.5311253906792985,0.1749359300366994,0.7655626953396493,4,3,0.75,1.54532586510505,0.2542054710664499,6.079042510855709,18.23712753256713,4.381772124248701,0.25420547106644964,1.0954430310621752
7,11dc55565c6accad6741,-1000000000000.0,趋势空头|震荡多头反转,趋势空头=60251722c514c614|震荡多头反转=4fc73ef7fc8d2428,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,1.706061320715998,0.1749359300366994,9.752492357391002,9.752492357391002,1.5311253906792985,0.1749359300366994,0.7655626953396493,4,3,0.75,1.54532586510505,0.2542054710664499,6.079042510855709,18.23712753256713,4.381772124248701,0.25420547106644964,1.0954430310621752
8,4352de2b6e5aadf666d7,-1000000000000.0,趋势空头|震荡多头反转,趋势空头=60251722c514c614|震荡多头反转=c764e6133244f680,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,1.706061320715998,0.1749359300366994,9.752492357391002,9.752492357391002,1.5311253906792985,0.1749359300366994,0.7655626953396493,4,3,0.75,1.54532586510505,0.2542054710664499,6.079042510855709,18.23712753256713,4.381772124248701,0.25420547106644964,1.0954430310621752
9,10c807b928fbc59105e1,-1000000000000.0,趋势空头|震荡多头反转,趋势空头=60251722c514c614|震荡多头反转=cce36ebf6097fc19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,1.706061320715998,0.1749359300366994,9.752492357391002,9.752492357391002,1.5311253906792985,0.1749359300366994,0.7655626953396493,4,3,0.75,1.54532586510505,0.2542054710664499,6.079042510855709,18.23712753256713,4.381772124248701,0.25420547106644964,1.0954430310621752
