signal_time_utc,entry_time_utc,exit_time_utc,month,direction,expert,setup,policy_key,probability,training_percentile,entry,risk_abs,target_R,net_R,win,exit_reason,bars
2026-05-26T00:40:00+00:00,2026-05-26T00:45:00+00:00,2026-05-26T10:25:00+00:00,2026-05,SHORT,高波动空头突破,趋势延续突破+压缩后高波动突破,54aac46f4cd7987f,0.5766082204895907,0.8988095238095238,76839.2,345.77774999999997,2.5,-1.2233000500321116,False,PROTECTED_STOP,108
2026-05-28T05:45:00+00:00,2026-05-28T05:50:00+00:00,2026-05-28T06:45:00+00:00,2026-05,SHORT,趋势空头,趋势回踩再确认,a0055b8cbf2be79a,0.6815724623616991,0.9936433589829374,72962.0,218.8866,1.8,-0.25420659161407666,False,PROTECTED_STOP,11
