channel_id,channel_label,profile,is_baseline,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R,best_10pct_removed_net_R,checks_passed,checks_total,historical_research_gate_pass
baseline_1h_shared_v10_6,基准·V10.6原1小时多空共享组合 RR2.5,baseline_1h_shared_v10_6,True,9,6,3,0.6666666666666666,2.0891149352430385,1.128264463625512,1.8516181290776232,3.703236258155246,9.149896220581692,3.3847933908765366,1.016655135620188,2.1681856360704774,6.757517332065313,5,6,False
strict_state_4h_1h_15m_fixed_rr2_0,主实验·4H趋势腿+1H推动回踩状态机+15M突破 RR2.0,strict_state_fixed_rr2_0,False,1,0,1,0.0,0.0,1.1700361511603075,0.0,0.0,-1.1700361511603075,1.1700361511603075,-1.1700361511603075,-1.1700361511603075,0.0,1,6,False
strict_state_4h_1h_15m_be1_shadow_rr2_0,影子管理·同信号达到1R后下一根5M启用保本 RR2.0,strict_state_be1_shadow_rr2_0,False,1,0,1,0.0,0.0,1.1700361511603075,0.0,0.0,-1.1700361511603075,1.1700361511603075,-1.1700361511603075,-1.1700361511603075,0.0,1,6,False
