expert,family,policy_key,tier,month,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R
EMA21回踩收回多头,均线回踩,57c6d8ed313f7b81,REJECTED,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMA21反抽受阻空头,均线回踩,4916a4f4be16d2e4,REJECTED,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
