expert_id,expert,family,tier,selected_research,selected_qualified,policy_key,selection_status,rejection_reason,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,shrunk_win_rate,wilson_lower,active_months,positive_months,worst_month_R,max_single_month_profit_share,max_trades_single_month
0,趋势回踩重新站稳多头,趋势回踩,CANDIDATE,True,False,1b33e623d700f1dd,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|正收益月份不足|收缩后胜率不足|盈利因子不足|利润过度集中,3,1,0.3333333333333333,1.7124550554222264,0.7357114230102177,2.327617870082253,1.1638089350411265,0.24103220940179093,1.4714228460204355,0.08034406980059698,0.45454545454545453,0.13564322306091547,2,1,-1.4714228460204355,1.0,2
1,趋势反抽失败空头,趋势回踩,CANDIDATE,True,False,da51c7f197a1b096,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|正收益月份不足|收缩后胜率不足|盈利因子不足|利润过度集中,3,1,0.3333333333333333,1.714741469113497,0.7366079016041253,2.327889051121053,1.1639445255605265,0.2415256659052465,1.2870177022047267,0.08050855530174883,0.45454545454545453,0.13564322306091547,2,1,-1.2870177022047267,1.0,2
2,EMA21回踩收回多头,均线回踩,REJECTED,False,False,57c6d8ed313f7b81,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
3,EMA21反抽受阻空头,均线回踩,REJECTED,False,False,4916a4f4be16d2e4,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
4,VWAP重新站回多头,VWAP回归,REJECTED,False,False,acb95ebbfdc22945,RESEARCH_EXPERT_POOL_ONLY,活跃月份不足,3,1,0.3333333333333333,1.7126581552271538,0.1862924884014598,9.193382781684575,4.596691390842287,1.3400731784242343,0.3725849768029196,0.4466910594747448,0.45454545454545453,0.13564322306091547,1,1,0.0,1.0,3
5,VWAP反抽失败空头,VWAP回归,REJECTED,False,False,587c65808a002d9d,RESEARCH_EXPERT_POOL_ONLY,活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,3,1,0.3333333333333333,1.4777676570584848,1.3236721975615184,1.1164151213426121,0.5582075606713061,-1.169576738064552,2.647344395123037,-0.389858912688184,0.45454545454545453,0.13564322306091547,1,0,-1.169576738064552,0.0,3
6,阻力转支撑确认多头,结构角色转换,REJECTED,False,False,39f3e3b0e2915467,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
7,支撑转阻力确认空头,结构角色转换,REJECTED,False,False,174e74ff24ab77a4,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
8,缩量回踩恢复多头,量价回踩,REJECTED,False,False,612581c35b84da3c,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
9,缩量反抽恢复空头,量价回踩,REJECTED,False,False,b55421f3522a3f16,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
10,欧美时段顺势延续多头,时段延续,REJECTED,False,False,792c97e8b4c0b8eb,RESEARCH_EXPERT_POOL_ONLY,活跃月份不足,3,1,0.3333333333333333,1.7124662965841884,0.7217092497815238,2.3727925021088296,1.1863962510544148,0.2690477970211407,1.4434184995630477,0.08968259900704689,0.45454545454545453,0.13564322306091547,1,1,0.0,1.0,3
11,欧美时段顺势延续空头,时段延续,CANDIDATE,True,False,4337d47dd551514a,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|正收益月份不足|收缩后胜率不足|盈利因子不足|利润过度集中,3,1,0.3333333333333333,1.7147203332269656,0.7365810698617815,2.327945155512523,1.1639725777562615,0.24155819350340257,1.2869456596998758,0.08051939783446753,0.45454545454545453,0.13564322306091547,2,1,-1.2869456596998758,1.0,2
12,区间扫低立即收回多头,流动性反转,REJECTED,False,False,79c29a37bad7e697,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足,1,1,1.0,1.6952141234818747,0.0,999.0,999.0,1.6952141234818747,0.0,1.6952141234818747,0.5555555555555556,0.5,1,1,0.0,1.0,1
13,区间扫高立即跌回空头,流动性反转,CANDIDATE,True,False,2c428183978376ff,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|正收益月份不足|收缩后胜率不足|利润过度集中,3,1,0.3333333333333333,1.6971219202291914,0.20388206743545806,8.324037231800393,4.162018615900196,1.2893577853582754,0.20389217791760067,0.4297859284527585,0.45454545454545453,0.13564322306091547,2,1,-0.20389217791760067,1.0,2
14,扫低后确认K多头,流动性确认,REJECTED,False,False,3bd6a29bd8ffd119,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足,2,1,0.5,1.6952172522010793,1.3032730625724,1.3007383493794156,1.3007383493794156,0.3919441896286793,1.3032730625724,0.19597209481433964,0.5,0.21132486540518713,1,1,0.0,1.0,2
15,扫高后确认K空头,流动性确认,REJECTED,False,False,2605712f51fd787a,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
16,区间二次测试不破多头,二次测试,REJECTED,False,False,5911315f52956132,RESEARCH_EXPERT_POOL_ONLY,活跃月份不足|盈利因子不足,3,1,0.3333333333333333,1.6953878014577437,0.7534230715560302,2.2502467278527747,1.1251233639263873,0.18854165834568337,1.5068461431120603,0.06284721944856113,0.45454545454545453,0.13564322306091547,1,1,0.0,1.0,3
17,区间二次测试不破空头,二次测试,REJECTED,False,False,f58e1769c9572a4e,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
18,扫低后站回VWAP多头,流动性VWAP,REJECTED,False,False,8faa2dfdd58009bb,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
19,扫高后跌破VWAP空头,流动性VWAP,REJECTED,False,False,98c02f47708ca242,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
20,BTC弱于ETH背离修复多头,跨资产背离,REJECTED,False,False,afac444025613291,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0
21,BTC强于ETH背离修复空头,跨资产背离,WATCH,True,False,fca571982b7c88a0,RESEARCH_EXPERT_POOL_ONLY,总交易不足|活跃月份不足,7,5,0.7142857142857143,1.864239152287175,1.2295004516315258,1.5162573952806297,3.7906434882015745,6.862194858172823,1.2643270542932266,0.9803135511675461,0.6,0.5255503826141334,3,3,0.0,0.36723378608277407,3
