portfolio_type,signal_time_utc,entry_time_utc,exit_time_utc,month,direction,expert,family,setup_group,source_experts,agreement_count,policy_key,calibrated_probability,online_utility_percentile,meta_probability,meta_decision,expected_utility_R,conservative_utility_R,net_R,win,exit_reason,bars
research,2026-05-03T07:00:00+00:00,2026-05-03T07:05:00+00:00,2026-05-03T11:00:00+00:00,2026-05,LONG,压缩后首次放量突破多头,波动扩张,压缩突破,压缩后首次放量突破多头,1,c1fd7f96ccac000d,0.4166248350648824,1.0,0.36882210209835226,NEUTRAL,0.07399385880078135,0.026848741429821882,-0.22384452198035376,False,PROTECTED_STOP,41
research,2026-05-10T03:00:00+00:00,2026-05-10T03:05:00+00:00,2026-05-10T07:10:00+00:00,2026-05,LONG,压缩后首次放量突破多头,波动扩张,压缩突破,压缩后首次放量突破多头,1,c1fd7f96ccac000d,0.42973221418519214,1.0,0.33199001384913873,NEUTRAL,0.07548018620898767,0.028335068838028193,-0.6745597222173447,False,EARLY_CUT,50
research,2026-05-17T07:05:00+00:00,2026-05-17T07:10:00+00:00,2026-05-17T10:05:00+00:00,2026-05,SHORT,欧美时段顺势延续空头,时段延续,时段延续,欧美时段顺势延续空头,1,4337d47dd551514a,0.425888037324038,0.9807692307692307,0.3104233122104636,NEUTRAL,0.10245797775125909,0.059727082046153304,-1.2869456596998758,False,PROTECTED_STOP,28
research,2026-06-08T19:15:00+00:00,2026-06-08T19:20:00+00:00,2026-06-08T20:10:00+00:00,2026-06,LONG,趋势回踩重新站稳多头,趋势回踩,趋势回踩,趋势回踩重新站稳多头,1,1b33e623d700f1dd,0.49326081261477706,0.831081081081081,0.462059755231358,NEUTRAL,0.35358799874560015,0.3041560012666063,-1.2861155229901091,False,PROTECTED_STOP,11
research,2026-06-12T00:35:00+00:00,2026-06-12T00:40:00+00:00,2026-06-12T01:15:00+00:00,2026-06,LONG,趋势回踩重新站稳多头,趋势回踩,趋势回踩,趋势回踩重新站稳多头,1,1b33e623d700f1dd,0.5130982756757072,0.9246987951807228,0.46048625565072854,NEUTRAL,0.39184445643285853,0.3424124589538647,-1.2861122091092716,False,PROTECTED_STOP,8
