expert,family,policy_key,tier,month,raw_candidates,model_available,calibration_month,calibration_rows,calibration_brier,meta_brier,avg_win_r,avg_loss_r,calibration_mean,calibration_utility_mean,eval_mean,eval_utility_mean,after_rank,meta_support,meta_neutral,meta_reject,after_soft_meta,after_positive_utility,after_cap
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-05,336,True,2025-04,391.0,0.1395587776510962,0.14128926480387793,1.7129735461722195,0.872070602536656,0.1713142371435226,-0.46660546274856834,0.17158002836112804,-0.46606101387319976,80.0,0.0,0.0,80.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-06,317,True,2025-05,336.0,0.23236225969728302,0.2333968108440534,1.713265347121272,0.9780614583462294,0.37209476259721985,-0.024876907549320683,0.3840484625276982,-0.00022689675000641004,86.0,0.0,86.0,0.0,86.0,35.0,2.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-07,119,True,2025-06,317.0,0.17544672833664512,0.17547580343103278,1.4835636883716183,0.9517258007751866,0.22713178223193906,-0.4405162141354115,0.22898410315223533,-0.43725196225391016,30.0,0.0,0.0,30.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-08,154,True,2025-07,119.0,0.1543387651288026,0.15569484762188618,1.712765924396424,1.1597499820867603,0.19330343585576346,-0.6438073314150313,0.20427026652882438,-0.6200117058455441,57.0,0.0,0.0,57.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-09,305,True,2025-08,154.0,0.11295053627059148,0.1127572063162805,1.7127951558948733,1.0531810979299046,0.1299133533607879,-0.727436756500526,0.12957427411804903,-0.7284589237722016,63.0,0.0,0.0,63.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-10,324,True,2025-09,305.0,0.16288065324623138,0.16269104712652785,1.7127813251655213,0.8630607626520157,0.20659531514873383,-0.37132117337579185,0.20130988887657691,-0.38208591501806993,55.0,0.0,0.0,55.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-11,189,True,2025-10,324.0,0.22478182609166264,0.22520826792560006,1.712794726306074,0.9398673237920514,0.34264459770777395,-0.07836750582173864,0.3320941366566478,-0.09955415770255867,33.0,0.0,33.0,0.0,33.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2025-12,294,True,2025-11,189.0,0.2079709637956012,0.20742884859765437,1.712653632289158,0.9716916371379362,0.2962977899076659,-0.2219257323405959,0.28939865489890926,-0.23650627175089095,25.0,0.0,0.0,25.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2026-01,243,True,2025-12,294.0,0.196287253918351,0.19831917318657233,1.7137081513167036,0.9189937930124975,0.2755351397372885,-0.23789412075486038,0.25878172137007305,-0.271322404796072,28.0,0.0,1.0,27.0,1.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2026-02,165,True,2026-01,243.0,0.14856006360823973,0.15894584182595864,1.7126673783428645,0.9295964337650998,0.21811666474896255,-0.3918310334380104,0.20252369171077023,-0.4272633802454534,32.0,0.0,2.0,30.0,2.0,1.0,1.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2026-03,358,True,2026-02,165.0,0.18096755847914378,0.18317711882789922,1.7127982142772624,0.9721028173237822,0.2424235601052774,-0.3637342988899321,0.23772987684952945,-0.37325116340538,83.0,0.0,0.0,83.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2026-04,404,True,2026-03,358.0,0.15662429085400684,0.15828896169332796,1.7158315935606823,0.9679428275076318,0.198274951577338,-0.4753637059915106,0.20096526663197983,-0.46982158114165823,77.0,0.0,0.0,77.0,0.0,0.0,0.0
趋势回踩重新站稳多头,趋势回踩,1b33e623d700f1dd,CANDIDATE,2026-05,269,True,2026-04,404.0,0.14957127777241241,0.1507664222854414,1.7125125586776835,1.0019367275623101,0.18563648782951211,-0.5367189950328946,0.16710490697246963,-0.5748054045090526,31.0,0.0,0.0,31.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-05,263,True,2025-04,117.0,0.14688995946608996,0.14720868108433824,1.7550500788417271,0.9098097988107887,0.17948925968351886,-0.46982462941331066,0.16737626690078192,-0.49409124675355737,15.0,0.0,0.0,15.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-06,188,True,2025-05,263.0,0.23785231724397168,0.2382247673797373,1.714714116343996,0.8716966009094019,0.39164889566860667,0.09252535648342745,0.3851294053678805,0.0798113607267661,19.0,0.0,19.0,0.0,19.0,19.0,2.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-07,87,True,2025-06,188.0,0.19457260019407718,0.19481367075546802,1.7154474394804586,0.8361229004279803,0.26595769391798263,-0.20161122995785125,0.25677861114166256,-0.2191059860951408,4.0,0.0,0.0,4.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-08,327,True,2025-07,87.0,0.1495307239223443,0.150059342299882,1.508628125218379,0.8091292062799713,0.18398908087808458,-0.4214105749592547,0.17424467126370957,-0.4383410322595207,30.0,0.0,0.0,30.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-09,226,True,2025-08,327.0,0.1500205436733176,0.15155079416743958,1.689464386267075,0.8807241491292832,0.18654849191229653,-0.43999870175000305,0.16461737816493455,-0.4828424436227364,6.0,0.0,0.0,6.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-10,294,True,2025-09,226.0,0.12535951615814975,0.1300292333155043,1.5174599272771792,0.8689097959232399,0.1549158542133652,-0.5346568587359739,0.15531608567448196,-0.5332192700512948,28.0,0.0,0.0,28.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-11,347,True,2025-10,294.0,0.20093987253160547,0.2010105920258391,1.7157418584677637,0.8726589938132198,0.2789122286425587,-0.1955154866088743,0.27966216130642607,-0.19405698827604326,53.0,0.0,0.0,53.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2025-12,446,True,2025-11,347.0,0.18880704472646087,0.18904638161008247,1.7293020212822887,0.8549480252525197,0.2536030875099096,-0.2429697241534589,0.26032574791280183,-0.22977879050645889,93.0,0.0,0.0,93.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2026-01,350,True,2025-12,446.0,0.10633324098645289,0.10635628292678248,1.7146325547214905,0.7771004689426301,0.12115524684291377,-0.507866752171633,0.1213286972545663,-0.5073032785960466,34.0,0.0,0.0,34.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2026-02,348,True,2026-01,350.0,0.20458795881383976,0.20511128785086052,1.6177656409828913,0.8943442993031524,0.28856364594648426,-0.21460492280039234,0.29864525524816454,-0.19558738057841538,75.0,0.0,0.0,75.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2026-03,239,True,2026-02,348.0,0.2094693809617368,0.20914607064782137,1.6661884200547683,0.8983456174218848,0.29885141832674433,-0.17769748838788796,0.3024043885343271,-0.17026639130165405,49.0,0.0,0.0,49.0,0.0,0.0,0.0
趋势反抽失败空头,趋势回踩,da51c7f197a1b096,CANDIDATE,2026-04,187,True,2026-03,239.0,0.21004550587334167,0.2137954533086468,1.714467845442116,0.9657646805840221,0.3138511666683107,-0.17040624986514563,0.27691964088648874,-0.24703089707795053,14.0,0.0,14.0,0.0,14.0,3.0,1.0
