scenario_id,fee_multiplier,slippage_multiplier,fee_rate_per_side,slippage_ticks_per_fill,channel_id,channel_label,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R,unseen_holdout_trades,unseen_holdout_profit_factor,unseen_holdout_net_R
base_cost,1.0,1.0,0.0005,2,60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,102,38,64,0.37254901960784315,2.0150043992150994,1.0977892103393732,1.8355112076499425,1.0898347795421532,6.311657708453912,18.70199482217536,0.06187899714170502,-1.072771564448408,0,0.0,0.0
base_cost,1.0,1.0,0.0005,2,60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,35,14,21,0.4,2.2502246893385824,1.0865792243431411,2.0709255606271033,1.3806170404180689,8.684981939534188,7.844061656001999,0.24814234112954822,-1.0468086904728353,0,0.0,0.0
base_cost,1.0,1.0,0.0005,2,60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,137,52,85,0.3795620437956204,2.0783329388637295,1.095019684387363,1.8979868293660005,1.1611213544356709,14.996639647988097,17.35067617459353,0.1094645229780153,-1.07015979825295,0,0.0,0.0
cost_1_5x,1.5,1.5,0.00075,3,60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,102,38,64,0.37254901960784315,1.9449808043461332,1.1550425265248243,1.6839040638598786,0.9998180379168029,-0.013451132435677415,21.058607230972335,-0.0001318738474086021,-1.109157520142721,0,0.0,0.0
cost_1_5x,1.5,1.5,0.00075,3,60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,35,14,21,0.4,2.188925653743405,1.1298685529637036,1.9373277077247082,1.2915518051498056,6.9177195401699,8.516086394035835,0.19764912971914,-1.0702129805250302,0,0.0,0.0
cost_1_5x,1.5,1.5,0.00075,3,60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,137,52,85,0.3795620437956204,2.010658263799245,1.1488230742332535,1.750189658352046,1.0707042615800753,6.904268407734221,20.00853824614714,0.05039611976448336,-1.1052397865496653,0,0.0,0.0
cost_2x,2.0,2.0,0.001,4,60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,102,38,64,0.37254901960784315,1.8749569564210462,1.2122960801583313,1.5466163646888706,0.918303466534017,-6.338584786133451,23.448311663683484,-0.062142988099347554,-1.1455435914837744,0,0.0,0.0
cost_2x,2.0,2.0,0.001,4,60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,35,14,21,0.4,2.127626795450014,1.1731576925502543,1.8135897748110053,1.2090598498740035,5.150463592744856,9.188107072091533,0.14715610264985304,-1.093617233787735,0,0.0,0.0
cost_2x,2.0,2.0,0.001,4,60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,137,52,85,0.3795620437956204,1.94298345154423,1.2026265961610418,1.6156165660617472,0.9883771933554218,-1.1881211933885965,24.449823637521398,-0.008672417469989755,-1.140319834293192,0,0.0,0.0
