channel_id,channel_label,direction_scope,profile,is_portfolio,parameters_frozen,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R,active_years,positive_years,positive_phases,positive_rolling_12m_ratio,worst_rolling_12m_net_R,best_10pct_removed_net_R,backcast_trades,backcast_profit_factor,backcast_net_R,reference_trades,reference_profit_factor,reference_net_R,unseen_holdout_trades,unseen_holdout_win_rate,unseen_holdout_profit_factor,unseen_holdout_net_R,cost_1_5x_profit_factor,cost_1_5x_net_R,cross_year_validation_pass,benchmark_score
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,SHORT,short_frozen_adx_decay_minus4,False,True,35,14,21,0.4,2.2502246893385824,1.0865792243431411,2.0709255606271033,1.3806170404180689,8.684981939534188,7.844061656001999,0.24814234112954822,-1.0468086904728353,7,3,3,0.5,-4.099303193106041,-1.0054090329268368,27,1.011606854737009,0.2262920918012603,8,3.5464591884327454,8.458689847732927,0,0.0,0.0,0.0,1.2915518051498056,6.9177195401699,False,30.2308561307576
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,BOTH,portfolio_frozen_v10_6,True,True,137,52,85,0.3795620437956204,2.0783329388637295,1.095019684387363,1.8979868293660005,1.1611213544356709,14.996639647988097,17.35067617459353,0.1094645229780153,-1.07015979825295,7,4,5,0.5441176470588235,-13.275995598098806,-18.950431093458782,114,0.9666154558481606,-2.7343901284929277,23,2.587265416191112,17.731029776481027,0,0.0,0.0,0.0,1.0707042615800753,6.904268407734221,False,22.37912316983408
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,LONG,long_frozen_adx45,False,True,102,38,64,0.37254901960784315,2.0150043992150994,1.0977892103393732,1.8355112076499425,1.0898347795421532,6.311657708453912,18.70199482217536,0.06187899714170502,-1.072771564448408,7,4,3,0.45588235294117646,-9.176692404992766,-20.339019164291408,87,0.9525603553146406,-2.9606822202941894,15,2.1813316165501844,9.2723399287481,0,0.0,0.0,0.0,0.9998180379168029,-0.013451132435677415,False,15.012977042750508
