channel_id,channel_label,removed_year,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2020,79,27,52,0.34177215189873417,2.039765197089159,1.086865858462137,1.8767405206520416,0.9744614241847137,-1.4433643186238472,18.701994822175365,-0.018270434412960092,-1.0737579151358942
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2021,84,33,51,0.39285714285714285,2.0077806397390114,1.1044305803138899,1.8179328565570692,1.17630949541928,9.930801515379006,13.368013783592973,0.11822382756403578,-1.081575925371407
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2022,85,33,52,0.38823529411764707,2.02205503956857,1.098623938087656,1.840534298832324,1.1680313819512824,9.59937152520471,15.414281005424565,0.11293378264946717,-1.07015979825295
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2023,95,37,58,0.3894736842105263,2.0085440249767834,1.089948482404134,1.8427880376019923,1.1755716791598916,11.099116944701228,13.914535585928046,0.11683280994422345,-1.07015979825295
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2024,80,30,50,0.375,2.0342566522845877,1.1138930894527,1.8262584367805883,1.095755062068353,5.333045095902641,17.804657270599087,0.06666306369878301,-1.0710344546264086
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2025,93,34,59,0.3655913978494624,1.9809091387423634,1.0963763384615448,1.8067784475557098,1.041194359608375,2.6647067480092117,18.70199482217536,0.028652760731281847,-1.0717852137609218
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2026,96,34,62,0.3541666666666667,2.019647825663714,1.096479956974448,1.841937750724229,1.0100948955584481,0.6862687401505116,18.70199482217536,0.007148632709901163,-1.075069330529004
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2020,30,13,17,0.43333333333333335,2.2362198687221633,1.083125515928421,2.0645990107668606,1.5788110082334812,10.65772452260496,6.484712503613316,0.355257484086832,-1.0353972023183848
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2021,28,12,16,0.42857142857142855,2.2217900595200506,1.0945314657132545,2.0299005822296894,1.522425436672267,9.148977262828533,7.3800663327076546,0.3267491879581619,-1.042384679994269
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2022,27,12,15,0.4444444444444444,2.2287848907302727,1.0868281226326983,2.0507243457515014,1.6405794766012012,10.442996849272793,6.201014088888229,0.38677766108417755,-1.0379606695157026
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2023,33,12,21,0.36363636363636365,2.2324257024261716,1.0865792243431411,2.054544806685143,1.1740256038200818,3.9709447179080932,7.844061656001999,0.12033165811842707,-1.048231360877143
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2024,30,12,18,0.4,2.3771793350504193,1.0860098759638737,2.18891134202678,1.4592742280178532,8.977974253255299,7.844061656001999,0.2992658084418433,-1.0430960151964228
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2025,30,11,19,0.36666666666666664,2.2141144201309446,1.0844452251242547,2.041702401222942,1.1820382322869665,3.750799344079553,7.844061656001999,0.12502664480265177,-1.0475200256749893
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2026,32,12,20,0.375,2.2392164280741196,1.085506122481677,2.0628316890141876,1.2376990134085126,5.160474687255895,7.844061656001999,0.1612648339767467,-1.0475200256749893
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2020,109,40,69,0.3669724770642202,2.103612965369885,1.08594432479441,1.937127822614791,1.1229726507911832,9.214360203981112,17.350676174593524,0.08453541471542304,-1.0702836954918955
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2021,112,45,67,0.4017857142857143,2.0648498183472888,1.1020666126480665,1.873616163169873,1.2583989155618547,19.07977877820754,12.57668552688073,0.17035516766256734,-1.0783001018776872
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2022,112,45,67,0.4017857142857143,2.077182999878357,1.095983083881322,1.895269215763994,1.2729420105877574,20.042368374477505,11.590810294350081,0.17894971762926343,-1.061726586801429
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2023,128,49,79,0.3828125,2.063372190882756,1.0890528568436169,1.894648343206217,1.175161630596261,15.070061662609321,17.35067617459353,0.11773485673913532,-1.066301198135391
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2024,110,42,68,0.38181818181818183,2.132234561646254,1.1065122388233046,1.9269868753677144,1.1901977759624118,14.311019349157947,17.35067617459353,0.13010017590143588,-1.069063573547205
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2025,123,45,78,0.36585365853658536,2.0379148741929054,1.0934700416229741,1.8637134961357942,1.0752193246937274,6.415506092088766,17.35067617459353,0.05215858611454281,-1.07015979825295
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2026,128,46,82,0.359375,2.0769265915099067,1.0938034119762112,1.8988115860394454,1.0651869872904207,5.846743427406406,17.35067617459353,0.04567768302661255,-1.0710344546264086
