channel_id,channel_label,phase,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,backcast_2020_2021,41,16,25,0.3902439024390244,1.9881195567220562,1.1069613874960096,1.7960152713359416,1.1494497736550027,4.135878220152659,7.475445971568174,0.10087507854030875,-1.0608778731194732
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,backcast_2022,17,5,12,0.29411764705882354,1.9684701728821945,1.094172056763481,1.7990499398283428,0.7496041415951429,-3.2877138167507987,5.417852789904258,-0.1933949303971058,-1.0766704365982012
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,backcast_2023_2024,29,9,20,0.3103448275862069,1.9773895386298836,1.0802676235682502,1.8304626515588192,0.8237081932014686,-3.8088466236960477,7.93883503385639,-0.13133953874813958,-1.1099337040857156
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,v10_development,8,4,4,0.5,2.304814113233361,1.1169600772200132,2.063470450053847,2.063470450053847,4.75141614405339,3.315568851439342,0.5939270180066738,0.5178410279876119
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,v10_validation,3,1,2,0.3333333333333333,2.2620480367303997,1.1422298890580331,1.9803789573356823,0.9901894786678411,-0.022411741385666595,1.179994594507375,-0.007470580461888865,-1.1044651836086912
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,v10_historical_test,4,3,1,0.75,1.8800310202923713,1.0967575347967387,1.714171966587671,5.142515899763013,4.543335526080376,1.0967575347967387,1.135833881520094,1.7065088319340984
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,unseen_holdout,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,backcast_2020_2021,12,3,9,0.25,2.4246507646171924,1.0789655778018548,2.2471993680807345,0.7490664560269115,-2.436737906365115,6.201014088888229,-0.2030614921970929,-1.0580993548593014
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,backcast_2022,8,2,6,0.25,2.37886348098844,1.085956978619248,2.1905688050488634,0.7301896016829545,-1.7580149097386073,5.407323749636884,-0.2197518637173259,-1.0815966902614158
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,backcast_2023_2024,7,4,3,0.5714285714285714,1.9227577129403048,1.0899953146187455,1.7640054843839763,2.3520073125119683,4.421044907904982,3.2699859438562378,0.6315778439864259,0.6366284967506648
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,v10_development,4,3,1,0.75,2.382629009766586,1.1229131643302268,2.121828370573721,6.365485111721163,6.024973864969532,1.1229131643302268,1.506243466242383,2.3767148207365127
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,v10_validation,4,2,2,0.5,2.3162742569253574,1.0994162655436595,2.1068218922338424,2.1068218922338424,2.4337159827633963,1.1080412615724224,0.6084289956908491,0.5746891779097191
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,v10_historical_test,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,unseen_holdout,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,backcast_2020_2021,53,19,34,0.3584905660377358,2.057045536916025,1.0995507319887337,1.8708054817948157,1.0454501221794557,1.6991403137875432,7.946525088489558,0.03205925120353855,-1.0608778731194732
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,backcast_2022,25,7,18,0.28,2.0857254037696937,1.0914336973820697,1.9109959760016095,0.7431651017784036,-5.045728726489405,10.435220593894945,-0.2018291490595762,-1.0799297671571735
