channel_id,channel_label,year,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2020,23,11,12,0.4782608695652174,1.9542278953424095,1.1451237351407288,1.7065648325787663,1.5643510965305356,7.755022027077757,4.682917839446073,0.3371748707425112,-1.0646350474293222
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2021,18,5,13,0.2777777777777778,2.0626812117572797,1.0717346050547305,1.9246193992699754,0.740238230488452,-3.6191438069250994,7.475445971568174,-0.20106354482917219,-1.0608646062991038
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2022,17,5,12,0.29411764705882354,1.9684701728821945,1.094172056763481,1.7990499398283428,0.7496041415951429,-3.2877138167507987,5.417852789904258,-0.1933949303971058,-1.0766704365982012
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2023,7,1,6,0.14285714285714285,2.2540382460327963,1.173582913713352,1.9206467814879469,0.3201077969146578,-4.787459236247316,7.041497482280112,-0.6839227480353308,-1.1241115054377266
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2024,22,8,14,0.36363636363636365,1.9428084502045202,1.0402753563632066,1.8675905742846406,1.0671946138769375,0.9786126125512686,4.393059077360853,0.04448239147960312,-1.0889541603572641
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2025,9,4,5,0.4444444444444444,2.304814113233361,1.1144610984977488,2.0680974116908724,1.6544779293526979,3.6469509604446992,3.315568851439342,0.40521677338274437,-1.1003839318815876
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,2026,6,4,2,0.6666666666666666,1.9755352744018786,1.1383760646520569,1.7353977615522849,3.4707955231045697,5.6253889683034,2.2767521293041137,0.9375648280505667,1.7065088319340984
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2020,5,1,4,0.2,2.432287357352031,1.1012574851057007,2.2086454714254007,0.5521613678563502,-1.9727425830707712,3.2005932790494906,-0.39454851661415424,-1.0679673488414598
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2021,7,2,5,0.2857142857142857,2.4208324682497735,1.0611320519587781,2.281367774897648,0.9125471099590593,-0.46399532329434434,4.2282715058174585,-0.06628504618490634,-1.048231360877143
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2022,8,2,6,0.25,2.37886348098844,1.085956978619248,2.1905688050488634,0.7301896016829545,-1.7580149097386073,5.407323749636884,-0.2197518637173259,-1.0815966902614158
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2023,2,2,0,1.0,2.357018610813048,0.0,999.0,999.0,4.714037221626096,0.0,2.357018610813048,2.357018610813048
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2024,5,2,3,0.4,1.4884968150675615,1.0899953146187455,1.365599278367726,0.9103995189118174,-0.2929923137211139,3.269985943856237,-0.05859846274422278,-1.0468086904728353
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2025,5,3,2,0.6,2.382629009766586,1.1068522169225616,2.1526171004030985,3.2289256506046478,4.934182595454635,1.1229131643302268,0.986836519090927,2.373927805296106
60m_short_frozen_adx_decay_minus4_rr2_5,V10.6冻结空头·趋势持续性+ADX衰减≥-4 RR2.5,2026,3,2,1,0.6666666666666666,2.3162742569253574,1.1080412615724222,2.090422385208228,4.180844770416456,3.5245072522782923,1.1080412615724224,1.1748357507594307,2.240169625334335
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2020,28,12,16,0.42857142857142855,1.9940661838432112,1.134157172631972,1.7581921024364717,1.318644076827354,5.782279444006985,5.4222740429783425,0.2065099801431066,-1.066301198135391
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2021,25,7,18,0.28,2.1650101421837062,1.0687894514169658,2.02566570928765,0.7877588869451971,-4.083139130219443,7.946525088489558,-0.16332556520877772,-1.0608513394787347
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2022,25,7,18,0.28,2.0857254037696937,1.0914336973820697,1.9109959760016095,0.7431651017784036,-5.045728726489405,10.435220593894945,-0.2018291490595762,-1.0799297671571735
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2023,9,3,6,0.3333333333333333,2.3226918225529642,1.173582913713352,1.9791459090041612,0.9895729545020806,-0.07342201462121967,4.675354713651498,-0.008158001624579962,-1.1158757738940812
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2024,27,10,17,0.37037037037037035,1.8519461231771281,1.0490494666435957,1.7653563364389078,1.0384449037875927,0.6856202988301556,6.105686024375026,0.025393344401116874,-1.088580828770277
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2025,14,7,7,0.5,2.3381633546047427,1.1122871323334096,2.1021220929703923,2.1021220929703923,8.581133555899335,4.438482015769568,0.6129381111356668,0.5226373591709573
60m_portfolio_frozen_v10_6,V10.6冻结多空组合·共享单一仓位,2026,9,6,3,0.6666666666666666,2.0891149352430385,1.128264463625512,1.8516181290776232,3.703236258155246,9.149896220581692,3.3847933908765366,1.016655135620188,2.1681856360704774
