channel_id,channel_label,window_months,window_start_month,window_end_month,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,3,2020-01,2020-03,5,1,4,0.2,2.358323305102995,1.0918004889789805,2.160031369200456,0.540007842300114,-2.0088786508129273,2.221680763928852,-0.40177573016258544,-1.080886144557748
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,3,2020-02,2020-04,2,1,1,0.5,2.3678249870622903,1.1246468159878236,2.1053942921472037,2.1053942921472037,1.2431781710744667,1.1246468159878236,0.6215890855372334,0.6215890855372334
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,3,2020-03,2020-05,5,3,2,0.6,2.39608946430875,1.1046435343767824,2.169106494305039,3.2536597414575583,4.978981324172686,1.1246468159878236,0.9957962648345372,2.3678249870622903
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,3,2020-04,2020-06,4,3,1,0.75,2.39608946430875,1.0846402527657413,2.209109848356562,6.627329545069687,6.1036281401605095,1.084640252765741,1.5259070350401274,2.3780022680807287
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,3,2020-05,2020-07,7,4,3,0.5714285714285714,2.3581049359922774,1.1609391460496101,2.031204601909004,2.7082728025453386,5.94960230582028,2.3981771853830893,0.8499431865457543,2.2983590089440837
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,3,2020-06,2020-08,6,3,3,0.5,2.3432999086709367,1.202241591187003,1.9491090025901854,1.9491090025901852,3.423174952451802,2.398177185383089,0.570529158741967,0.5527787807415918
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,3,2020-07,2020-09,8,4,4,0.5,2.3521155610692417,1.1771309732343131,1.99817659593691,1.99817659593691,4.699938351339714,2.398177185383089,0.5874922939174643,0.59827994478392
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,3,2020-08,2020-10,9,4,5,0.4444444444444444,1.781718965749065,1.1782930855247986,1.5121186635458421,1.2096949308366736,1.2354104353722664,4.682917839446073,0.13726782615247404,-1.1017991193762438
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,3,2020-09,2020-11,8,4,4,0.5,1.2300038561811115,1.1707294598615183,1.0506303107180754,1.0506303107180754,0.23709758527837277,4.682917839446073,0.029637198159796596,-0.5029189654510878
60m_long_frozen_adx45_rr2_5,V10.6冻结多头·延伸保护+ADX≤45 RR2.5,3,2020-10,2020-12,6,3,3,0.5,0.8471509688200966,1.1937062400232765,0.7096812770314225,0.7096812770314224,-1.03966581360954,3.5811187200698296,-0.17327763560159,-0.5435571357490017
