channel_id,channel_label,month,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
60m_trend_pullback_anti_exhaustion_rr2_5,1小时趋势回踩·防趋势衰竭 RR2.5,2025-01,1,0,1,0.0,0.0,1.1121695104316023,0.0,0.0,-1.1121695104316023,1.1121695104316023,-1.1121695104316023,-1.1121695104316023
60m_trend_pullback_anti_exhaustion_rr2_5,1小时趋势回踩·防趋势衰竭 RR2.5,2025-03,1,0,1,0.0,0.0,1.1229131643302268,0.0,0.0,-1.1229131643302268,1.1229131643302268,-1.1229131643302268,-1.1229131643302268
60m_trend_pullback_anti_exhaustion_rr2_5,1小时趋势回踩·防趋势衰竭 RR2.5,2025-06,2,1,1,0.5,2.3795018361769196,1.1978038344325108,1.986553864476705,1.986553864476705,1.1816980017444088,1.1978038344325108,0.5908490008722044,0.5908490008722044
60m_trend_pullback_anti_exhaustion_rr2_5,1小时趋势回踩·防趋势衰竭 RR2.5,2025-07,1,0,1,0.0,0.0,1.1291719059334646,0.0,0.0,-1.1291719059334646,1.1291719059334646,-1.1291719059334646,-1.1291719059334646
60m_trend_pullback_anti_exhaustion_rr2_5,1小时趋势回踩·防趋势衰竭 RR2.5,2025-10,1,0,1,0.0,0.0,1.0907912695148967,0.0,0.0,-1.0907912695148967,1.0907912695148967,-1.0907912695148967,-1.0907912695148967
60m_trend_pullback_anti_exhaustion_rr2_5,1小时趋势回踩·防趋势衰竭 RR2.5,2026-01,1,1,0,1.0,2.240169625334335,0.0,999.0,999.0,2.240169625334335,0.0,2.240169625334335,2.240169625334335
60m_trend_pullback_anti_exhaustion_rr2_5,1小时趋势回踩·防趋势衰竭 RR2.5,2026-04,1,1,0,1.0,1.2448320277977196,0.0,999.0,999.0,1.2448320277977196,0.0,1.2448320277977196,1.2448320277977196
60m_trend_pullback_anti_exhaustion_rr3_0,1小时趋势回踩·防趋势衰竭 RR3.0,2025-01,1,0,1,0.0,0.0,1.1121695104316023,0.0,0.0,-1.1121695104316023,1.1121695104316023,-1.1121695104316023,-1.1121695104316023
60m_trend_pullback_anti_exhaustion_rr3_0,1小时趋势回踩·防趋势衰竭 RR3.0,2025-03,1,0,1,0.0,0.0,1.1229131643302268,0.0,0.0,-1.1229131643302268,1.1229131643302268,-1.1229131643302268,-1.1229131643302268
60m_trend_pullback_anti_exhaustion_rr3_0,1小时趋势回踩·防趋势衰竭 RR3.0,2025-06,2,1,1,0.5,2.8797518361769225,1.1978038344325108,2.404193202087449,2.404193202087449,1.6819480017444117,1.1978038344325108,0.8409740008722059,0.8409740008722059
60m_trend_pullback_anti_exhaustion_rr3_0,1小时趋势回踩·防趋势衰竭 RR3.0,2025-07,1,0,1,0.0,0.0,1.1291719059334646,0.0,0.0,-1.1291719059334646,1.1291719059334646,-1.1291719059334646,-1.1291719059334646
60m_trend_pullback_anti_exhaustion_rr3_0,1小时趋势回踩·防趋势衰竭 RR3.0,2025-10,1,0,1,0.0,0.0,1.0907912695148967,0.0,0.0,-1.0907912695148967,1.0907912695148967,-1.0907912695148967,-1.0907912695148967
60m_trend_pullback_anti_exhaustion_rr3_0,1小时趋势回踩·防趋势衰竭 RR3.0,2026-01,1,1,0,1.0,2.7404196253343125,0.0,999.0,999.0,2.7404196253343125,0.0,2.7404196253343125,2.7404196253343125
60m_trend_pullback_anti_exhaustion_rr3_0,1小时趋势回踩·防趋势衰竭 RR3.0,2026-04,1,1,0,1.0,1.2448320277977196,0.0,999.0,999.0,1.2448320277977196,0.0,1.2448320277977196,1.2448320277977196
60m_trend_pullback_balanced_rr2_5,1小时趋势回踩·均衡趋势区间 RR2.5,2026-04,1,1,0,1.0,1.296700028955958,0.0,999.0,999.0,1.296700028955958,0.0,1.296700028955958,1.296700028955958
60m_trend_pullback_balanced_rr3_0,1小时趋势回踩·均衡趋势区间 RR3.0,2026-04,1,1,0,1.0,1.296700028955958,0.0,999.0,999.0,1.296700028955958,0.0,1.296700028955958,1.296700028955958
60m_trend_pullback_persistence_rr2_5,1小时趋势回踩·趋势持续性 RR2.5,2025-03,1,0,1,0.0,0.0,1.1229131643302268,0.0,0.0,-1.1229131643302268,1.1229131643302268,-1.1229131643302268,-1.1229131643302268
60m_trend_pullback_persistence_rr2_5,1小时趋势回踩·趋势持续性 RR2.5,2025-05,1,1,0,1.0,2.373927805296106,0.0,999.0,999.0,2.373927805296106,0.0,2.373927805296106,2.373927805296106
60m_trend_pullback_persistence_rr2_5,1小时趋势回踩·趋势持续性 RR2.5,2025-06,1,1,0,1.0,2.3795018361769196,0.0,999.0,999.0,2.3795018361769196,0.0,2.3795018361769196,2.3795018361769196
60m_trend_pullback_persistence_rr2_5,1小时趋势回踩·趋势持续性 RR2.5,2025-08,1,1,0,1.0,2.3944573878267326,0.0,999.0,999.0,2.3944573878267326,0.0,2.3944573878267326,2.3944573878267326
60m_trend_pullback_persistence_rr2_5,1小时趋势回踩·趋势持续性 RR2.5,2025-10,1,0,1,0.0,0.0,1.0907912695148967,0.0,0.0,-1.0907912695148967,1.0907912695148967,-1.0907912695148967,-1.0907912695148967
60m_trend_pullback_persistence_rr2_5,1小时趋势回踩·趋势持续性 RR2.5,2026-01,1,1,0,1.0,2.240169625334335,0.0,999.0,999.0,2.240169625334335,0.0,2.240169625334335,2.240169625334335
60m_trend_pullback_persistence_rr2_5,1小时趋势回踩·趋势持续性 RR2.5,2026-03,1,0,1,0.0,0.0,1.1080412615724222,0.0,0.0,-1.1080412615724222,1.1080412615724222,-1.1080412615724222,-1.1080412615724222
60m_trend_pullback_persistence_rr2_5,1小时趋势回踩·趋势持续性 RR2.5,2026-04,2,1,1,0.5,2.3979143701078605,1.0967575347967387,2.1863668988171248,2.1863668988171248,1.3011568353111218,1.0967575347967387,0.6505784176555609,0.6505784176555609
60m_trend_pullback_persistence_rr3_0,1小时趋势回踩·趋势持续性 RR3.0,2025-03,1,0,1,0.0,0.0,1.1229131643302268,0.0,0.0,-1.1229131643302268,1.1229131643302268,-1.1229131643302268,-1.1229131643302268
60m_trend_pullback_persistence_rr3_0,1小时趋势回踩·趋势持续性 RR3.0,2025-05,1,1,0,1.0,1.3612678247869119,0.0,999.0,999.0,1.3612678247869119,0.0,1.3612678247869119,1.3612678247869119
60m_trend_pullback_persistence_rr3_0,1小时趋势回踩·趋势持续性 RR3.0,2025-06,1,1,0,1.0,2.8797518361769225,0.0,999.0,999.0,2.8797518361769225,0.0,2.8797518361769225,2.8797518361769225
60m_trend_pullback_persistence_rr3_0,1小时趋势回踩·趋势持续性 RR3.0,2025-08,1,1,0,1.0,0.8320360126977602,0.0,999.0,999.0,0.8320360126977602,0.0,0.8320360126977602,0.8320360126977602
60m_trend_pullback_persistence_rr3_0,1小时趋势回踩·趋势持续性 RR3.0,2025-10,1,0,1,0.0,0.0,1.0907912695148967,0.0,0.0,-1.0907912695148967,1.0907912695148967,-1.0907912695148967,-1.0907912695148967
60m_trend_pullback_persistence_rr3_0,1小时趋势回踩·趋势持续性 RR3.0,2026-01,1,1,0,1.0,2.7404196253343125,0.0,999.0,999.0,2.7404196253343125,0.0,2.7404196253343125,2.7404196253343125
60m_trend_pullback_persistence_rr3_0,1小时趋势回踩·趋势持续性 RR3.0,2026-03,1,0,1,0.0,0.0,1.1080412615724222,0.0,0.0,-1.1080412615724222,1.1080412615724222,-1.1080412615724222,-1.1080412615724222
60m_trend_pullback_persistence_rr3_0,1小时趋势回踩·趋势持续性 RR3.0,2026-04,2,1,1,0.5,1.4449146864844422,1.0967575347967387,1.3174422245954547,1.3174422245954547,0.34815715168770356,1.0967575347967387,0.17407857584385178,0.17407857584385178
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2025-01,4,1,3,0.25,2.410524522232862,1.0977124215415273,2.195952669322755,0.731984223107585,-0.8826127423917196,3.2931372646245816,-0.2206531855979299,-1.0904838770964895
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2025-03,4,2,2,0.5,2.347741005172179,1.1129642867281895,2.1094486437421054,2.1094486437421054,2.469553436887979,1.1229131643302268,0.6173883592219948,0.6187632783393245
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2025-04,2,1,1,0.5,2.3783274471519986,1.0887781067471263,2.1844005058639335,2.1844005058639335,1.2895493404048723,1.0887781067471263,0.6447746702024362,0.6447746702024362
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2025-05,2,1,1,0.5,2.373927805296106,1.162289290657799,2.0424586412153714,2.0424586412153714,1.2116385146383069,1.162289290657799,0.6058192573191534,0.6058192573191534
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2025-06,6,2,4,0.3333333333333333,2.376103758479066,1.1487232111034005,2.068473706731068,1.034236853365534,0.15731467254452935,3.4365539846178743,0.026219112090754892,-1.1193750750926816
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2025-07,5,4,1,0.8,1.7661668281056868,1.1291719059334646,1.5641257268490316,6.2565029073961265,5.935495406489283,1.1291719059334646,1.1870990812978566,2.1360659878568113
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2025-08,4,1,3,0.25,2.3944573878267326,1.135965153154723,2.10786165506663,0.7026205516888767,-1.0134380716374365,3.407895459464169,-0.2533595179093591,-1.1278120010117294
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2025-09,3,1,2,0.3333333333333333,2.0993939414467726,1.1580716052989954,1.8128360386702884,0.9064180193351442,-0.21674926915121806,1.1838435700864347,-0.07224975638373936,-1.132299640511556
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2025-10,6,2,4,0.3333333333333333,2.3010504542797823,0.9796543161284995,2.3488391939856035,1.1744195969928017,0.6834836440455665,2.3086739729027532,0.11391394067426108,-0.8049716458056223
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2025-11,3,0,3,0.0,0.0,1.0846825793699921,0.0,0.0,-3.2540477381099766,3.2540477381099766,-1.0846825793699921,-1.1044651836086912
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2025-12,1,1,0,1.0,2.3346911043831313,0.0,999.0,999.0,2.3346911043831313,0.0,2.3346911043831313,2.3346911043831313
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2026-01,3,2,1,0.6666666666666666,2.2511088310323673,1.1433787294316022,1.9688216800669722,3.9376433601339444,3.358838932633132,1.1433787294316022,1.1196129775443773,2.240169625334335
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2026-02,1,1,0,1.0,2.3923788885163804,0.0,999.0,999.0,2.3923788885163804,0.0,2.3923788885163804,2.3923788885163804
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2026-03,3,1,2,0.3333333333333333,2.3815223786363044,1.1440179280398985,2.0817177076207907,1.0408588538103953,0.09348652255650736,2.288035856079797,0.03116217418550245,-1.1080412615724222
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2026-04,4,1,3,0.25,1.2448320277977196,1.1072524358725373,1.1242531399958193,0.3747510466652731,-2.0769252798198927,2.2249997728208735,-0.5192313199549732,-1.098639815070535
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2026-05,3,2,1,0.6666666666666666,2.1976305165396974,1.1492705265565462,1.9121960110856198,3.8243920221712395,3.2459905065228485,1.1492705265565462,1.0819968355076162,2.1681856360704774
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,2026-06,3,0,3,0.0,0.0,1.137877250739373,0.0,0.0,-3.4136317522181194,3.4136317522181194,-1.137877250739373,-1.107529498154427
60m_trend_pullback_quality_rr3_0,V10.1冻结基线·1小时趋势回踩质量过滤 RR3.0,2025-01,4,1,3,0.25,2.910274522232862,1.0977124215415273,2.651217627788103,0.8837392092627011,-0.38286274239171947,3.2931372646245816,-0.09571568559792987,-1.0904838770964895
60m_trend_pullback_quality_rr3_0,V10.1冻结基线·1小时趋势回踩质量过滤 RR3.0,2025-03,3,1,2,0.3333333333333333,2.8551900445395386,1.1321117216606669,2.522003782763887,1.2610018913819434,0.5909666012182047,2.2642234433213337,0.19698886707273489,-1.103015409126152
60m_trend_pullback_quality_rr3_0,V10.1冻结基线·1小时趋势回踩质量过滤 RR3.0,2025-04,2,1,1,0.5,2.878077447151992,1.0887781067471263,2.6434012856399574,2.6434012856399574,1.7892993404048658,1.0887781067471263,0.8946496702024329,0.8946496702024329
60m_trend_pullback_quality_rr3_0,V10.1冻结基线·1小时趋势回踩质量过滤 RR3.0,2025-05,2,1,1,0.5,1.5189768597370172,1.162289290657799,1.3068836407133635,1.3068836407133635,0.35668756907921817,1.162289290657799,0.17834378453960908,0.17834378453960908
60m_trend_pullback_quality_rr3_0,V10.1冻结基线·1小时趋势回踩质量过滤 RR3.0,2025-06,6,2,4,0.3333333333333333,2.8763537584790653,1.1487232111034005,2.5039572028114567,1.2519786014057284,1.1578146725445289,3.436553984617874,0.19296911209075482,-1.1193750750926816
60m_trend_pullback_quality_rr3_0,V10.1冻结基线·1小时趋势回踩质量过滤 RR3.0,2025-07,5,4,1,0.8,2.1409793281056873,1.1291719059334646,1.8960614560595015,7.584245824238006,7.434745406489284,1.1291719059334646,1.486949081297857,2.63581598785681
60m_trend_pullback_quality_rr3_0,V10.1冻结基线·1小时趋势回踩质量过滤 RR3.0,2025-08,4,1,3,0.25,1.3199596947015984,1.135965153154723,1.1619719945069604,0.3873239981689868,-2.0879357647625705,3.407895459464169,-0.5219839411906426,-1.1278120010117294
60m_trend_pullback_quality_rr3_0,V10.1冻结基线·1小时趋势回踩质量过滤 RR3.0,2025-09,3,1,2,0.3333333333333333,2.599643941446769,1.1580716052989954,2.244804146437545,1.1224020732187725,0.28350073084877825,1.1838435700864347,0.09450024361625942,-1.132299640511556
