channel_id,channel_label,timeframe_minutes,family,profile,reward_risk_target,stop_atr_multiple,max_holding_hours,is_baseline,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R,active_months,positive_months,positive_phases,positive_rolling_quarters,worst_rolling_quarter_net_R,historical_test_trades,historical_test_win_rate,historical_test_profit_factor,historical_test_net_R,best_10pct_removed_net_R,max_single_positive_month_share,research_candidate,benchmark_score
60m_trend_pullback_balanced_rr2_5,1小时趋势回踩·均衡趋势区间 RR2.5,60,trend_pullback,balanced,2.5,1.2,36,False,1,1,0,1.0,1.296700028955958,0.0,999.0,999.0,1.296700028955958,0.0,1.296700028955958,1.296700028955958,1,1,1,3,0.0,1,1.0,999.0,1.296700028955958,0.0,1.0,False,68.47137547053431
60m_trend_pullback_balanced_rr3_0,1小时趋势回踩·均衡趋势区间 RR3.0,60,trend_pullback,balanced,3.0,1.2,36,False,1,1,0,1.0,1.296700028955958,0.0,999.0,999.0,1.296700028955958,0.0,1.296700028955958,1.296700028955958,1,1,1,3,0.0,1,1.0,999.0,1.296700028955958,0.0,1.0,False,68.47137547053431
60m_trend_pullback_persistence_rr2_5,1小时趋势回踩·趋势持续性 RR2.5,60,trend_pullback,persistence,2.5,1.25,48,False,9,5,4,0.5555555555555556,2.357194204948391,1.104625807553571,2.1339300501849574,2.6674125627311964,7.36746779452767,2.204798796369161,0.8186075327252966,2.240169625334335,8,5,3,12,-1.1229131643302268,2,0.5,2.1863668988171248,1.3011568353111218,4.969553424419809,0.2240068822724023,False,57.64487632135253
60m_trend_pullback_quality_rr3_0,V10.1冻结基线·1小时趋势回踩质量过滤 RR3.0,60,trend_pullback,quality,3.0,1.25,36,True,56,22,34,0.39285714285714285,2.4887046064649034,1.110155020596698,2.241763141446001,1.4505526209356479,17.006230641940142,5.56272171101273,0.3036826900346454,-1.0937744021558178,17,12,2,13,-1.2875633632156236,10,0.3,0.8420900088490835,-1.2450665255151936,-0.3092301115555154,0.2634413523952642,False,51.4898146252065
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,60,trend_pullback,quality,2.5,1.25,36,True,57,23,34,0.40350877192982454,2.1748692150746494,1.1090287008947874,1.9610576473989534,1.3265978202992919,12.315016116294172,6.195208822679795,0.2160529143209504,-1.0907912695148967,17,11,2,12,-2.787313363215628,10,0.3,0.7153248658459594,-2.2445665255151637,-2.0216963442470224,0.2561448117255557,False,39.50029743140924
60m_trend_pullback_persistence_rr3_0,1小时趋势回踩·趋势持续性 RR3.0,60,trend_pullback,persistence,3.0,1.25,48,False,9,5,4,0.5555555555555556,1.8516779970960697,1.104625807553571,1.6762943473111538,2.0953679341389426,4.839886755266065,2.204798796369161,0.5377651950295628,0.8320360126977602,8,5,3,9,-1.1229131643302268,2,0.5,1.3174422245954547,0.34815715168770356,1.9601349190891424,0.3528401767143676,False,39.10040475094624
60m_trend_pullback_anti_exhaustion_rr3_0,1小时趋势回踩·防趋势衰竭 RR3.0,60,trend_pullback,anti_exhaustion,3.0,1.25,36,False,8,3,5,0.375,2.288334496436318,1.1305699369285402,2.0240539056372913,1.214432343382375,1.2121538046662532,3.43288650919434,0.15151922558328165,-1.1014803899732495,7,3,2,9,-2.235082674761829,1,1.0,999.0,1.2448320277977196,-1.6675980315106693,0.4835579814055552,False,26.606315297869344
60m_trend_pullback_anti_exhaustion_rr2_5,1小时趋势回踩·防趋势衰竭 RR2.5,60,trend_pullback,anti_exhaustion,2.5,1.25,36,False,8,3,5,0.375,1.9548344964363247,1.1305699369285402,1.7290699430298788,1.0374419658179272,0.21165380466627304,3.43288650919434,0.02645672558328413,-1.1014803899732495,7,3,2,9,-2.235082674761829,1,1.0,999.0,1.2448320277977196,-2.1678480315106468,0.4800329549799658,False,21.886839399789395
