channel_id,channel_label,profile,reward_risk_target,is_baseline,baseline_channel_id,trades,retention_rate_vs_baseline,win_rate,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,historical_test_net_R,historical_test_profit_factor,best_10pct_removed_net_R,delta_trades,delta_win_rate,delta_avg_win_loss_ratio,delta_profit_factor,delta_net_R,delta_max_drawdown_R,delta_historical_test_net_R,delta_best_10pct_removed_net_R,improves_recent_period,improves_tail_robustness,improves_primary_robustness_goals
60m_trend_pullback_balanced_rr2_5,1小时趋势回踩·均衡趋势区间 RR2.5,balanced,2.5,False,60m_trend_pullback_quality_rr2_5,1,0.017543859649122806,1.0,999.0,999.0,1.296700028955958,0.0,1.296700028955958,999.0,0.0,-56,0.5964912280701755,997.038942352601,997.6734021797007,-11.018316087338214,-6.195208822679795,3.5412665544711217,2.0216963442470224,True,True,True
60m_trend_pullback_balanced_rr3_0,1小时趋势回踩·均衡趋势区间 RR3.0,balanced,3.0,False,60m_trend_pullback_quality_rr3_0,1,0.017857142857142856,1.0,999.0,999.0,1.296700028955958,0.0,1.296700028955958,999.0,0.0,-55,0.6071428571428572,996.758236858554,997.5494473790643,-15.709530612984185,-5.56272171101273,2.5417665544711516,0.3092301115555154,True,True,True
60m_trend_pullback_persistence_rr2_5,1小时趋势回踩·趋势持续性 RR2.5,persistence,2.5,False,60m_trend_pullback_quality_rr2_5,9,0.15789473684210525,0.5555555555555556,2.1339300501849574,2.6674125627311964,7.36746779452767,2.204798796369161,1.3011568353111218,2.1863668988171248,4.969553424419809,-48,0.15204678362573104,0.17287240278600402,1.3408147424319046,-4.947548321766503,-3.9904100263106335,3.5457233608262855,6.991249768666831,True,True,True
60m_trend_pullback_quality_rr3_0,V10.1冻结基线·1小时趋势回踩质量过滤 RR3.0,quality,3.0,True,60m_trend_pullback_quality_rr3_0,56,1.0,0.39285714285714285,2.241763141446001,1.4505526209356479,17.006230641940142,5.56272171101273,-1.2450665255151936,0.8420900088490835,-0.3092301115555154,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,quality,2.5,True,60m_trend_pullback_quality_rr2_5,57,1.0,0.40350877192982454,1.9610576473989534,1.3265978202992919,12.315016116294172,6.195208822679795,-2.2445665255151637,0.7153248658459594,-2.0216963442470224,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
60m_trend_pullback_persistence_rr3_0,1小时趋势回踩·趋势持续性 RR3.0,persistence,3.0,False,60m_trend_pullback_quality_rr3_0,9,0.16071428571428573,0.5555555555555556,1.6762943473111538,2.0953679341389426,4.839886755266065,2.204798796369161,0.34815715168770356,1.3174422245954547,1.9601349190891424,-47,0.16269841269841273,-0.5654687941348471,0.6448153132032948,-12.166343886674078,-3.357922914643569,1.5932236772028971,2.269365030644658,True,True,True
60m_trend_pullback_anti_exhaustion_rr3_0,1小时趋势回踩·防趋势衰竭 RR3.0,anti_exhaustion,3.0,False,60m_trend_pullback_quality_rr3_0,8,0.14285714285714285,0.375,2.0240539056372913,1.214432343382375,1.2121538046662532,3.43288650919434,1.2448320277977196,999.0,-1.6675980315106693,-48,-0.01785714285714285,-0.2177092358087096,-0.23612027755327292,-15.79407683727389,-2.1298352018183904,2.489898553312913,-1.358367919955154,True,False,False
60m_trend_pullback_anti_exhaustion_rr2_5,1小时趋势回踩·防趋势衰竭 RR2.5,anti_exhaustion,2.5,False,60m_trend_pullback_quality_rr2_5,8,0.14035087719298245,0.375,1.7290699430298788,1.0374419658179272,0.21165380466627304,3.43288650919434,1.2448320277977196,999.0,-2.1678480315106468,-49,-0.02850877192982454,-0.23198770436907457,-0.2891558544813646,-12.1033623116279,-2.7623223134854547,3.489398553312883,-0.14615168726362437,True,False,False
