channel_id,channel_label,direction,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
60m_trend_pullback_anti_exhaustion_rr2_5,1小时趋势回踩·防趋势衰竭 RR2.5,SHORT,6,2,4,0.3333333333333333,2.309835730755627,1.1351700435527747,2.0347927113425817,1.0173963556712908,0.07899128730015592,2.3207169987627374,0.013165214550025986,-1.1068522169225616
60m_trend_pullback_anti_exhaustion_rr2_5,1小时趋势回踩·防趋势衰竭 RR2.5,LONG,2,1,1,0.5,1.2448320277977196,1.1121695104316023,1.119282641829153,1.119282641829153,0.13266251736611734,1.1121695104316023,0.06633125868305867,0.06633125868305867
60m_trend_pullback_anti_exhaustion_rr3_0,1小时趋势回踩·防趋势衰竭 RR3.0,SHORT,6,2,4,0.3333333333333333,2.8100857307556177,1.1351700435527747,2.4754755877461414,1.2377377938730707,1.0794912873001363,2.3207169987627374,0.1799152145500227,-1.1068522169225616
60m_trend_pullback_anti_exhaustion_rr3_0,1小时趋势回踩·防趋势衰竭 RR3.0,LONG,2,1,1,0.5,1.2448320277977196,1.1121695104316023,1.119282641829153,1.119282641829153,0.13266251736611734,1.1121695104316023,0.06633125868305867,0.06633125868305867
60m_trend_pullback_balanced_rr2_5,1小时趋势回踩·均衡趋势区间 RR2.5,LONG,1,1,0,1.0,1.296700028955958,0.0,999.0,999.0,1.296700028955958,0.0,1.296700028955958,1.296700028955958
60m_trend_pullback_balanced_rr3_0,1小时趋势回踩·均衡趋势区间 RR3.0,LONG,1,1,0,1.0,1.296700028955958,0.0,999.0,999.0,1.296700028955958,0.0,1.296700028955958,1.296700028955958
60m_trend_pullback_persistence_rr2_5,1小时趋势回踩·趋势持续性 RR2.5,SHORT,7,4,3,0.5714285714285714,2.3470141636585233,1.107248565139182,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.8666158513166496,2.240169625334335
60m_trend_pullback_persistence_rr2_5,1小时趋势回踩·趋势持续性 RR2.5,LONG,2,1,1,0.5,2.3979143701078605,1.0967575347967387,2.1863668988171248,2.1863668988171248,1.3011568353111218,1.0967575347967387,0.6505784176555609,0.6505784176555609
60m_trend_pullback_persistence_rr3_0,1小时趋势回踩·趋势持续性 RR3.0,SHORT,7,4,3,0.5714285714285714,1.9533688247489767,1.107248565139182,1.7641646927792016,2.3522195903722687,4.491729603578361,1.1229131643302268,0.6416756576540515,0.8320360126977602
60m_trend_pullback_persistence_rr3_0,1小时趋势回踩·趋势持续性 RR3.0,LONG,2,1,1,0.5,1.4449146864844422,1.0967575347967387,1.3174422245954547,1.3174422245954547,0.34815715168770356,1.0967575347967387,0.17407857584385178,0.17407857584385178
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,SHORT,30,11,19,0.36666666666666664,2.3331118780674776,1.0905646148910006,2.1393614337108,1.238577672148358,4.943502975813237,5.048055547200772,0.1647834325271079,-1.0977361402183936
60m_trend_pullback_quality_rr2_5,V10.1冻结基线·1小时趋势回踩质量过滤 RR2.5,LONG,27,12,15,0.4444444444444444,2.0298134406645576,1.1324165431662498,1.7924618400479877,1.43396947203839,7.371513140480937,3.427843249085159,0.27301900520299766,-1.0887781067471263
60m_trend_pullback_quality_rr3_0,V10.1冻结基线·1小时趋势回踩质量过滤 RR3.0,SHORT,29,10,19,0.3448275862068966,2.5396240054253174,1.0925801343575774,2.324428136265339,1.2233832296133365,4.6372175014592045,4.913819906873593,0.15990405177445532,-1.1046810109218903
60m_trend_pullback_quality_rr3_0,V10.1冻结基线·1小时趋势回踩质量过滤 RR3.0,LONG,27,12,15,0.4444444444444444,2.4462717739978905,1.1324165431662498,2.160222568948071,1.728178055158457,12.369013140480936,3.413139156511445,0.45811159779559024,-1.0887781067471263
