channel_id,channel_label,profile,is_baseline,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R,best_10pct_removed_net_R,checks_passed,checks_total,historical_research_gate_pass,entry_mode,direction_variant,management_mode,reward_risk,max_consecutive_losses,cost_1_5x_profit_factor,cost_1_5x_net_R,cost_1_5x_max_drawdown_R
matrix_pullback_reclaim_15m_shared_fixed_rr1_5,批量·15M回踩重确认·多空共享·固定 RR1.5,matrix_pullback_reclaim_15m_shared_fixed,False,4,2,2,0.5,1.3645283751998982,1.132283742443882,1.205111690692253,1.205111690692253,0.4644892655120325,1.1412017555039808,0.11612231637800813,0.1027758707541292,-0.9356500139957225,2,6,False,pullback_reclaim_15m,shared,FIXED_STOP_TARGET,1.5,1,1.0820801383473904,0.19673386062832288,1.2118024961854987
matrix_direct_1h_long_fixed_rr2_5,批量·1H确认直接成交·多头·固定 RR2.5,matrix_direct_1h_long_fixed,False,3,1,2,0.3333333333333333,2.3903271070557572,1.1343001009052744,2.1073145503099746,1.0536572751549873,0.12172690524520835,2.268600201810549,0.04057563508173612,-1.0986589809770586,-2.268600201810549,2,6,False,direct_1h,long,FIXED_STOP_TARGET,2.5,2,0.9719463932791322,-0.06741002787403616,2.402900580476632
matrix_pullback_reclaim_15m_shared_fixed_rr2_0,批量·15M回踩重确认·多空共享·固定 RR2.0,matrix_pullback_reclaim_15m_shared_fixed,False,3,1,2,0.3333333333333333,1.899889279507761,1.132283742443882,1.677926837849942,0.838963418924971,-0.36467820538000306,1.1412017555039808,-0.12155940179333435,-1.1233657293837833,-2.264567484887764,1,6,False,pullback_reclaim_15m,shared,FIXED_STOP_TARGET,2.0,1,0.7717767296775948,-0.5470171707766827,1.2118024961854987
matrix_direct_1h_shared_fixed_rr2_0,批量·1H确认直接成交·多空共享·固定 RR2.0,matrix_direct_1h_shared_fixed,False,6,2,4,0.3333333333333333,1.8595679431111332,1.1331620930162691,1.6410431963544643,0.8205215981772321,-0.8135124858428104,2.310622699898553,-0.13558541430713508,-1.1110128360832618,-2.7040895928985695,1,6,False,direct_1h,shared,FIXED_STOP_TARGET,2.0,2,0.7457229080961184,-1.220268709315709,2.4659337477080734
matrix_direct_1h_shared_fixed_rr1_5,批量·1H确认直接成交·多空共享·固定 RR1.5,matrix_direct_1h_shared_fixed,False,6,2,4,0.3333333333333333,1.3598179431111288,1.1331620930162691,1.20002067796986,0.60001033898493,-1.8130124858428194,2.310622699898553,-0.3021687476404699,-1.1110128360832618,-3.2038395928985803,1,6,False,direct_1h,shared,FIXED_STOP_TARGET,1.5,2,0.5375012417162274,-2.219518709315718,2.465933747708074
matrix_direct_1h_shared_fixed_rr2_5,批量·1H确认直接成交·多空共享·固定 RR2.5,matrix_direct_1h_shared_fixed,False,6,1,5,0.16666666666666666,2.3903271070557572,1.1405179185797132,2.0958259998513933,0.4191651999702786,-3.312262485842809,3.3919668930000135,-0.5520437476404682,-1.132145690777322,-5.702589592898566,2,6,False,direct_1h,shared,FIXED_STOP_TARGET,2.5,3,0.38578381276528484,-3.718393709315708,3.718393709315708
matrix_local_break_15m_short_fixed_rr1_5,批量·15M局部突破·空头·固定 RR1.5,matrix_local_break_15m_short_fixed,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,False,local_break_15m,short,FIXED_STOP_TARGET,1.5,0,0.0,0.0,0.0
matrix_local_break_15m_short_fixed_rr2_0,批量·15M局部突破·空头·固定 RR2.0,matrix_local_break_15m_short_fixed,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,False,local_break_15m,short,FIXED_STOP_TARGET,2.0,0,0.0,0.0,0.0
matrix_local_break_15m_short_fixed_rr2_5,批量·15M局部突破·空头·固定 RR2.5,matrix_local_break_15m_short_fixed,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,False,local_break_15m,short,FIXED_STOP_TARGET,2.5,0,0.0,0.0,0.0
matrix_local_break_15m_short_be1_rr2_0,影子·15M局部突破·空头·1R后保本 RR2.0,matrix_local_break_15m_short_be1,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,False,local_break_15m,short,BE_AT_1R_NEXT_5M_BAR,2.0,0,0.0,0.0,0.0
matrix_local_break_15m_long_fixed_rr2_5,批量·15M局部突破·多头·固定 RR2.5,matrix_local_break_15m_long_fixed,False,1,0,1,0.0,0.0,1.0986107204922355,0.0,0.0,-1.0986107204922355,1.0986107204922355,-1.0986107204922355,-1.0986107204922355,0.0,1,6,False,local_break_15m,long,FIXED_STOP_TARGET,2.5,1,0.0,-1.1479161835661047,1.1479161835661047
matrix_local_break_15m_shared_fixed_rr2_5,批量·15M局部突破·多空共享·固定 RR2.5,matrix_local_break_15m_shared_fixed,False,1,0,1,0.0,0.0,1.0986107204922355,0.0,0.0,-1.0986107204922355,1.0986107204922355,-1.0986107204922355,-1.0986107204922355,0.0,1,6,False,local_break_15m,shared,FIXED_STOP_TARGET,2.5,1,0.0,-1.1479161835661047,1.1479161835661047
matrix_pullback_reclaim_15m_long_fixed_rr2_5,批量·15M回踩重确认·多头·固定 RR2.5,matrix_pullback_reclaim_15m_long_fixed,False,1,0,1,0.0,0.0,1.0986107204922355,0.0,0.0,-1.0986107204922355,1.0986107204922355,-1.0986107204922355,-1.0986107204922355,0.0,1,6,False,pullback_reclaim_15m,long,FIXED_STOP_TARGET,2.5,1,0.0,-1.1479161835661047,1.1479161835661047
matrix_pullback_reclaim_15m_short_fixed_rr1_5,批量·15M回踩重确认·空头·固定 RR1.5,matrix_pullback_reclaim_15m_short_fixed,False,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882,-1.1412017555039808,1,6,False,pullback_reclaim_15m,short,FIXED_STOP_TARGET,1.5,2,0.0,-2.3968509872105743,2.3968509872105743
matrix_pullback_reclaim_15m_short_fixed_rr2_0,批量·15M回踩重确认·空头·固定 RR2.0,matrix_pullback_reclaim_15m_short_fixed,False,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882,-1.1412017555039808,1,6,False,pullback_reclaim_15m,short,FIXED_STOP_TARGET,2.0,2,0.0,-2.3968509872105743,2.3968509872105743
matrix_pullback_reclaim_15m_short_fixed_rr2_5,批量·15M回踩重确认·空头·固定 RR2.5,matrix_pullback_reclaim_15m_short_fixed,False,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882,-1.1412017555039808,1,6,False,pullback_reclaim_15m,short,FIXED_STOP_TARGET,2.5,2,0.0,-2.3968509872105743,2.3968509872105743
matrix_pullback_reclaim_15m_short_be1_rr2_0,影子·15M回踩重确认·空头·1R后保本 RR2.0,matrix_pullback_reclaim_15m_short_be1,False,3,0,3,0.0,0.0,0.8113461363303361,0.0,0.0,-2.4340384089910083,2.4340384089910083,-0.8113461363303361,-1.1233657293837833,-2.2933366534870308,1,6,False,pullback_reclaim_15m,short,BE_AT_1R_NEXT_5M_BAR,2.0,3,0.0,-2.6510572082961583,2.6510572082961583
matrix_pullback_reclaim_15m_shared_fixed_rr2_5,批量·15M回踩重确认·多空共享·固定 RR2.5,matrix_pullback_reclaim_15m_shared_fixed,False,3,0,3,0.0,0.0,1.1210594017933333,0.0,0.0,-3.3631782053799997,3.3631782053799997,-1.1210594017933333,-1.1233657293837833,-2.264567484887764,1,6,False,pullback_reclaim_15m,shared,FIXED_STOP_TARGET,2.5,3,0.0,-3.5447671707766792,3.5447671707766792
matrix_direct_1h_short_fixed_rr1_5,批量·1H确认直接成交·空头·固定 RR1.5,matrix_direct_1h_short_fixed,False,3,0,3,0.0,0.0,1.1446631303626724,0.0,0.0,-3.4339893910880175,3.4339893910880175,-1.1446631303626724,-1.1409246903651793,-2.310622699898553,1,6,False,direct_1h,short,FIXED_STOP_TARGET,1.5,3,0.0,-3.650983681441671,3.650983681441671
matrix_direct_1h_short_fixed_rr2_0,批量·1H确认直接成交·空头·固定 RR2.0,matrix_direct_1h_short_fixed,False,3,0,3,0.0,0.0,1.1446631303626724,0.0,0.0,-3.4339893910880175,3.4339893910880175,-1.1446631303626724,-1.1409246903651793,-2.310622699898553,1,6,False,direct_1h,short,FIXED_STOP_TARGET,2.0,3,0.0,-3.650983681441671,3.650983681441671
matrix_direct_1h_short_fixed_rr2_5,批量·1H确认直接成交·空头·固定 RR2.5,matrix_direct_1h_short_fixed,False,3,0,3,0.0,0.0,1.1446631303626724,0.0,0.0,-3.4339893910880175,3.4339893910880175,-1.1446631303626724,-1.1409246903651793,-2.310622699898553,1,6,False,direct_1h,short,FIXED_STOP_TARGET,2.5,3,0.0,-3.650983681441671,3.650983681441671
matrix_direct_1h_short_be1_rr2_0,影子·1H确认直接成交·空头·1R后保本 RR2.0,matrix_direct_1h_short_be1,False,3,0,3,0.0,0.0,1.1446631303626724,0.0,0.0,-3.4339893910880175,3.4339893910880175,-1.1446631303626724,-1.1409246903651793,-2.310622699898553,1,6,False,direct_1h,short,BE_AT_1R_NEXT_5M_BAR,2.0,3,0.0,-3.650983681441671,3.650983681441671
