setup_id,setup_time_utc,signal_time_utc,direction,environment_leg_id,cycle_number,channel_id,channel_label,entry_mode,direction_variant,management_mode,reward_risk,signal_emitted,trade_executed,net_R,win,exit_reason,entry_time_utc,exit_time_utc,mfe_R,mae_R
LEG0106-C02-20260411T1000,2026-04-11T10:00:00+00:00,2026-04-11T12:00:00+00:00,1,106,2,matrix_local_break_15m_long_fixed_rr1_5,批量·15M局部突破·多头·固定 RR1.5,local_break_15m,long,FIXED_STOP_TARGET,1.5,True,True,1.3288225405652243,True,TARGET,2026-04-11T12:00:00+00:00,2026-04-11T18:40:00+00:00,1.9396574884863214,0.9714614525667955
LEG0106-C01-20260410T0200,2026-04-10T02:00:00+00:00,2026-04-10T05:00:00+00:00,1,106,1,matrix_local_break_15m_long_fixed_rr2_0,批量·15M局部突破·多头·固定 RR2.0,local_break_15m,long,FIXED_STOP_TARGET,2.0,True,True,1.899889279507761,True,TARGET,2026-04-10T05:00:00+00:00,2026-04-11T18:40:00+00:00,2.208739802556277,0.9691857023134819
LEG0106-C02-20260411T1000,2026-04-11T10:00:00+00:00,2026-04-11T12:00:00+00:00,1,106,2,matrix_local_break_15m_long_fixed_rr2_0,批量·15M局部突破·多头·固定 RR2.0,local_break_15m,long,FIXED_STOP_TARGET,2.0,True,False,,,,,,,
LEG0106-C01-20260410T0200,2026-04-10T02:00:00+00:00,2026-04-10T05:00:00+00:00,1,106,1,matrix_local_break_15m_long_fixed_rr2_5,批量·15M局部突破·多头·固定 RR2.5,local_break_15m,long,FIXED_STOP_TARGET,2.5,True,True,-1.0986107204922355,False,STOP,2026-04-10T05:00:00+00:00,2026-04-12T01:50:00+00:00,2.3093738817043947,1.0817477990173199
LEG0106-C02-20260411T1000,2026-04-11T10:00:00+00:00,2026-04-11T12:00:00+00:00,1,106,2,matrix_local_break_15m_long_fixed_rr2_5,批量·15M局部突破·多头·固定 RR2.5,local_break_15m,long,FIXED_STOP_TARGET,2.5,True,False,,,,,,,
LEG0106-C01-20260410T0200,2026-04-10T02:00:00+00:00,2026-04-10T05:00:00+00:00,1,106,1,matrix_local_break_15m_shared_fixed_rr1_5,批量·15M局部突破·多空共享·固定 RR1.5,local_break_15m,shared,FIXED_STOP_TARGET,1.5,True,True,1.400139279507755,True,TARGET,2026-04-10T05:00:00+00:00,2026-04-10T15:25:00+00:00,1.5995882853149608,0.9691857023134819
LEG0106-C02-20260411T1000,2026-04-11T10:00:00+00:00,2026-04-11T12:00:00+00:00,1,106,2,matrix_local_break_15m_shared_fixed_rr1_5,批量·15M局部突破·多空共享·固定 RR1.5,local_break_15m,shared,FIXED_STOP_TARGET,1.5,True,True,1.3288225405652243,True,TARGET,2026-04-11T12:00:00+00:00,2026-04-11T18:40:00+00:00,1.9396574884863214,0.9714614525667955
LEG0106-C01-20260410T0200,2026-04-10T02:00:00+00:00,2026-04-10T05:00:00+00:00,1,106,1,matrix_local_break_15m_shared_fixed_rr2_0,批量·15M局部突破·多空共享·固定 RR2.0,local_break_15m,shared,FIXED_STOP_TARGET,2.0,True,True,1.899889279507761,True,TARGET,2026-04-10T05:00:00+00:00,2026-04-11T18:40:00+00:00,2.208739802556277,0.9691857023134819
LEG0106-C02-20260411T1000,2026-04-11T10:00:00+00:00,2026-04-11T12:00:00+00:00,1,106,2,matrix_local_break_15m_shared_fixed_rr2_0,批量·15M局部突破·多空共享·固定 RR2.0,local_break_15m,shared,FIXED_STOP_TARGET,2.0,True,False,,,,,,,
LEG0106-C01-20260410T0200,2026-04-10T02:00:00+00:00,2026-04-10T05:00:00+00:00,1,106,1,matrix_local_break_15m_shared_fixed_rr2_5,批量·15M局部突破·多空共享·固定 RR2.5,local_break_15m,shared,FIXED_STOP_TARGET,2.5,True,True,-1.0986107204922355,False,STOP,2026-04-10T05:00:00+00:00,2026-04-12T01:50:00+00:00,2.3093738817043947,1.0817477990173199
LEG0106-C02-20260411T1000,2026-04-11T10:00:00+00:00,2026-04-11T12:00:00+00:00,1,106,2,matrix_local_break_15m_shared_fixed_rr2_5,批量·15M局部突破·多空共享·固定 RR2.5,local_break_15m,shared,FIXED_STOP_TARGET,2.5,True,False,,,,,,,
LEG0106-C01-20260410T0200,2026-04-10T02:00:00+00:00,2026-04-10T05:00:00+00:00,1,106,1,matrix_pullback_reclaim_15m_long_fixed_rr1_5,批量·15M回踩重确认·多头·固定 RR1.5,pullback_reclaim_15m,long,FIXED_STOP_TARGET,1.5,True,True,1.400139279507755,True,TARGET,2026-04-10T05:00:00+00:00,2026-04-10T15:25:00+00:00,1.5995882853149608,0.9691857023134819
LEG0106-C02-20260411T1000,2026-04-11T10:00:00+00:00,2026-04-11T11:15:00+00:00,1,106,2,matrix_pullback_reclaim_15m_long_fixed_rr1_5,批量·15M回踩重确认·多头·固定 RR1.5,pullback_reclaim_15m,long,FIXED_STOP_TARGET,1.5,True,True,1.3289174708920417,True,TARGET,2026-04-11T11:15:00+00:00,2026-04-11T18:40:00+00:00,2.034587815303766,0.8765311257493508
LEG0106-C01-20260410T0200,2026-04-10T02:00:00+00:00,2026-04-10T05:00:00+00:00,1,106,1,matrix_pullback_reclaim_15m_long_fixed_rr2_0,批量·15M回踩重确认·多头·固定 RR2.0,pullback_reclaim_15m,long,FIXED_STOP_TARGET,2.0,True,True,1.899889279507761,True,TARGET,2026-04-10T05:00:00+00:00,2026-04-11T18:40:00+00:00,2.208739802556277,0.9691857023134819
LEG0106-C02-20260411T1000,2026-04-11T10:00:00+00:00,2026-04-11T11:15:00+00:00,1,106,2,matrix_pullback_reclaim_15m_long_fixed_rr2_0,批量·15M回踩重确认·多头·固定 RR2.0,pullback_reclaim_15m,long,FIXED_STOP_TARGET,2.0,True,False,,,,,,,
LEG0106-C01-20260410T0200,2026-04-10T02:00:00+00:00,2026-04-10T05:00:00+00:00,1,106,1,matrix_pullback_reclaim_15m_long_fixed_rr2_5,批量·15M回踩重确认·多头·固定 RR2.5,pullback_reclaim_15m,long,FIXED_STOP_TARGET,2.5,True,True,-1.0986107204922355,False,STOP,2026-04-10T05:00:00+00:00,2026-04-12T01:50:00+00:00,2.3093738817043947,1.0817477990173199
LEG0106-C02-20260411T1000,2026-04-11T10:00:00+00:00,2026-04-11T11:15:00+00:00,1,106,2,matrix_pullback_reclaim_15m_long_fixed_rr2_5,批量·15M回踩重确认·多头·固定 RR2.5,pullback_reclaim_15m,long,FIXED_STOP_TARGET,2.5,True,False,,,,,,,
LEG0092-C01-20260122T2200,2026-01-22T22:00:00+00:00,2026-01-22T22:45:00+00:00,-1,92,1,matrix_pullback_reclaim_15m_short_fixed_rr1_5,批量·15M回踩重确认·空头·固定 RR1.5,pullback_reclaim_15m,short,FIXED_STOP_TARGET,1.5,True,True,-1.1233657293837833,False,STOP,2026-01-22T22:45:00+00:00,2026-01-23T04:15:00+00:00,0.13259178323684656,1.133968898501242
LEG0116-C01-20260519T0200,2026-05-19T02:00:00+00:00,2026-05-19T05:30:00+00:00,-1,116,1,matrix_pullback_reclaim_15m_short_fixed_rr1_5,批量·15M回踩重确认·空头·固定 RR1.5,pullback_reclaim_15m,short,FIXED_STOP_TARGET,1.5,True,True,-1.1412017555039808,False,STOP,2026-05-19T05:30:00+00:00,2026-05-20T06:50:00+00:00,1.2422241084659429,1.0585496595902215
LEG0116-C02-20260519T2300,2026-05-19T23:00:00+00:00,2026-05-20T00:00:00+00:00,-1,116,2,matrix_pullback_reclaim_15m_short_fixed_rr1_5,批量·15M回踩重确认·空头·固定 RR1.5,pullback_reclaim_15m,short,FIXED_STOP_TARGET,1.5,True,False,,,,,,,
LEG0092-C01-20260122T2200,2026-01-22T22:00:00+00:00,2026-01-22T22:45:00+00:00,-1,92,1,matrix_pullback_reclaim_15m_short_fixed_rr2_0,批量·15M回踩重确认·空头·固定 RR2.0,pullback_reclaim_15m,short,FIXED_STOP_TARGET,2.0,True,True,-1.1233657293837833,False,STOP,2026-01-22T22:45:00+00:00,2026-01-23T04:15:00+00:00,0.13259178323684656,1.133968898501242
LEG0116-C01-20260519T0200,2026-05-19T02:00:00+00:00,2026-05-19T05:30:00+00:00,-1,116,1,matrix_pullback_reclaim_15m_short_fixed_rr2_0,批量·15M回踩重确认·空头·固定 RR2.0,pullback_reclaim_15m,short,FIXED_STOP_TARGET,2.0,True,True,-1.1412017555039808,False,STOP,2026-05-19T05:30:00+00:00,2026-05-20T06:50:00+00:00,1.2422241084659429,1.0585496595902215
LEG0116-C02-20260519T2300,2026-05-19T23:00:00+00:00,2026-05-20T00:00:00+00:00,-1,116,2,matrix_pullback_reclaim_15m_short_fixed_rr2_0,批量·15M回踩重确认·空头·固定 RR2.0,pullback_reclaim_15m,short,FIXED_STOP_TARGET,2.0,True,False,,,,,,,
LEG0092-C01-20260122T2200,2026-01-22T22:00:00+00:00,2026-01-22T22:45:00+00:00,-1,92,1,matrix_pullback_reclaim_15m_short_fixed_rr2_5,批量·15M回踩重确认·空头·固定 RR2.5,pullback_reclaim_15m,short,FIXED_STOP_TARGET,2.5,True,True,-1.1233657293837833,False,STOP,2026-01-22T22:45:00+00:00,2026-01-23T04:15:00+00:00,0.13259178323684656,1.133968898501242
LEG0116-C01-20260519T0200,2026-05-19T02:00:00+00:00,2026-05-19T05:30:00+00:00,-1,116,1,matrix_pullback_reclaim_15m_short_fixed_rr2_5,批量·15M回踩重确认·空头·固定 RR2.5,pullback_reclaim_15m,short,FIXED_STOP_TARGET,2.5,True,True,-1.1412017555039808,False,STOP,2026-05-19T05:30:00+00:00,2026-05-20T06:50:00+00:00,1.2422241084659429,1.0585496595902215
LEG0116-C02-20260519T2300,2026-05-19T23:00:00+00:00,2026-05-20T00:00:00+00:00,-1,116,2,matrix_pullback_reclaim_15m_short_fixed_rr2_5,批量·15M回踩重确认·空头·固定 RR2.5,pullback_reclaim_15m,short,FIXED_STOP_TARGET,2.5,True,False,,,,,,,
