channel_id,channel_label,loss_class,trades,avg_net_R,avg_mfe_R,avg_mae_R,median_holding_bars,share_of_channel_losses
baseline_1h_shared_v10_6,基准·V10.6原1小时多空共享组合 RR2.5,FAST_REVERSAL_LE_2H,2,-1.1440179280398985,0.11175357886823167,1.08773133617339,11.5,0.6666666666666666
baseline_1h_shared_v10_6,基准·V10.6原1小时多空共享组合 RR2.5,GAVE_BACK_0_5_TO_1R,1,-1.0967575347967387,0.8972594395939735,1.1303509500617248,110.0,0.3333333333333333
matrix_direct_1h_long_be1_rr2_0,影子·1H确认直接成交·多头·1R后保本 RR2.0,GAVE_BACK_AT_LEAST_1R,1,-0.10842289294423371,1.789605679289517,0.9027214488451546,126.0,0.5
matrix_direct_1h_long_be1_rr2_0,影子·1H确认直接成交·多头·1R后保本 RR2.0,NORMAL_FAILED_SETUP,1,-1.0986589809770586,0.17933157428576502,1.0174461871365572,71.0,0.5
matrix_direct_1h_long_fixed_rr1_5,批量·1H确认直接成交·多头·固定 RR1.5,NORMAL_FAILED_SETUP,1,-1.0986589809770586,0.17933157428576502,1.0174461871365572,71.0,1.0
matrix_direct_1h_long_fixed_rr2_0,批量·1H确认直接成交·多头·固定 RR2.0,NORMAL_FAILED_SETUP,1,-1.0986589809770586,0.17933157428576502,1.0174461871365572,71.0,1.0
matrix_direct_1h_long_fixed_rr2_5,批量·1H确认直接成交·多头·固定 RR2.5,GAVE_BACK_AT_LEAST_1R,1,-1.16994122083349,2.0970972196945916,2.1955262072055883,188.0,0.5
matrix_direct_1h_long_fixed_rr2_5,批量·1H确认直接成交·多头·固定 RR2.5,NORMAL_FAILED_SETUP,1,-1.0986589809770586,0.17933157428576502,1.0174461871365572,71.0,0.5
matrix_direct_1h_shared_fixed_rr1_5,批量·1H确认直接成交·多空共享·固定 RR1.5,NORMAL_FAILED_SETUP,4,-1.1331620930162691,0.2772941795336872,1.1064966866727823,73.0,1.0
matrix_direct_1h_shared_fixed_rr2_0,批量·1H确认直接成交·多空共享·固定 RR2.0,NORMAL_FAILED_SETUP,4,-1.1331620930162691,0.2772941795336872,1.1064966866727823,73.0,1.0
