channel_id,channel_label,profile,direction_scope,source_component_id,source_component_label,reward_risk_target,stop_atr_multiple,max_holding_hours,signal_time_utc,entry_time_utc,exit_time_utc,direction,entry_price,stop_price,target_price,exit_price,stop_distance,gross_r,fee_r,net_r,win,exit_reason,holding_5m_bars,signal_atr,signal_adx,signal_rsi,signal_plus_di,signal_minus_di,signal_ema_separation_atr,signal_ema_slope_3_atr,signal_volume_ratio,signal_clv,signal_channel_width_atr,signal_adx_change_3,signal_ema50_slope_6_atr,signal_price_extension_ema20_atr,signal_atr_ratio,signal_trend_age,month,phase,is_baseline,setup_type,trigger_type,setup_time_utc,mfe_R,mae_R,bars_to_mfe,bars_to_mae,management_mode,setup_id,environment_leg_id,cycle_number,break_even_activated,break_even_activation_bar
matrix_direct_1h_long_be1_rr2_0,影子·1H确认直接成交·多头·1R后保本 RR2.0,matrix_direct_1h_long_be1,LONG,matrix_direct_1h_long_be1_rr2_0_long,影子·1H确认直接成交·多头·1R后保本 RR2.0·多头组件,2.0,1.25,48,2026-04-11T10:00:00+00:00,2026-04-11T10:00:00+00:00,2026-04-11T19:10:00+00:00,1,72874.3,72445.56451193764,73731.77097612474,73731.57097612474,428.7354880623659,1.9995335119075472,0.17097473274104005,1.8285587791665072,True,TARGET,110,342.98839044989273,25.62683226412419,56.67628202024526,20.013851271535007,14.161712721180987,1.3606028850944512,0.03667199607512319,0.5689764258649023,0.9702970297029703,4.610943238998761,-2.9339006719972147,0.39021073428665504,0.49125494770714284,0.004706594813649487,1.0,2026-04,evaluation_2026_h1,False,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,2026-04-11T10:00:00+00:00,2.0970972196945916,0.9852228512946528,110,39,BE_AT_1R_NEXT_5M_BAR,LEG0106-C02-20260411T1000,106.0,2.0,True,105.0
matrix_direct_1h_long_be1_rr2_0,影子·1H确认直接成交·多头·1R后保本 RR2.0,matrix_direct_1h_long_be1,LONG,matrix_direct_1h_long_be1_rr2_0_long,影子·1H确认直接成交·多头·1R后保本 RR2.0·多头组件,2.0,1.25,48,2026-04-17T00:00:00+00:00,2026-04-17T00:00:00+00:00,2026-04-17T10:30:00+00:00,1,75107.0,74412.43358551842,76496.13282896316,75106.8,694.5664144815844,-0.0002879494254647586,0.10813494351876896,-0.10842289294423371,False,BREAK_EVEN_FIRST_CONSERVATIVE,126,555.6531315852675,17.569236373574356,56.67095826362437,24.040925998303436,17.335863786796306,0.5075958931800575,0.1559731818808577,0.36916013468272446,0.878831280435399,4.0370509450746574,-0.5866427998231707,0.30653309177926685,0.7192324083182937,0.00739817342218371,6.0,2026-04,evaluation_2026_h1,False,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,2026-04-17T00:00:00+00:00,1.789605679289517,0.9027214488451546,114,31,BE_AT_1R_NEXT_5M_BAR,LEG0107-C02-20260417T0000,107.0,2.0,True,109.0
matrix_direct_1h_long_fixed_rr1_5,批量·1H确认直接成交·多头·固定 RR1.5,matrix_direct_1h_long_fixed,LONG,matrix_direct_1h_long_fixed_rr1_5_long,批量·1H确认直接成交·多头·固定 RR1.5·多头组件,1.5,1.25,48,2026-04-10T02:00:00+00:00,2026-04-10T02:00:00+00:00,2026-04-10T07:55:00+00:00,1,72124.2,71394.82481595365,73218.26277606953,71394.62481595365,729.3751840463576,-1.0002742073001194,0.09838477367693928,-1.0986589809770586,False,STOP,71,583.5001472370861,24.25238639492298,57.67293440531897,26.48474304011881,13.791654232243804,0.9190516266960509,0.1316039885117636,1.0428500776141105,0.6901562928434305,4.554926014303288,0.48822168810549726,0.39723780464591363,0.6774022673634235,0.00809023552821649,11.0,2026-04,evaluation_2026_h1,False,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,2026-04-10T02:00:00+00:00,0.17933157428576502,1.0174461871365572,3,71,FIXED_STOP_TARGET,LEG0106-C01-20260410T0200,106.0,1.0,False,0.0
matrix_direct_1h_long_fixed_rr1_5,批量·1H确认直接成交·多头·固定 RR1.5,matrix_direct_1h_long_fixed,LONG,matrix_direct_1h_long_fixed_rr1_5_long,批量·1H确认直接成交·多头·固定 RR1.5·多头组件,1.5,1.25,48,2026-04-11T10:00:00+00:00,2026-04-11T10:00:00+00:00,2026-04-11T18:40:00+00:00,1,72874.3,72445.56451193764,73517.40323209355,73517.20323209355,428.7354880623659,1.4995335119075364,0.17072473274104003,1.3288087791664964,True,TARGET,104,342.98839044989273,25.62683226412419,56.67628202024526,20.013851271535007,14.161712721180987,1.3606028850944512,0.03667199607512319,0.5689764258649023,0.9702970297029703,4.610943238998761,-2.9339006719972147,0.39021073428665504,0.49125494770714284,0.004706594813649487,1.0,2026-04,evaluation_2026_h1,False,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,2026-04-11T10:00:00+00:00,1.925896089758464,0.9852228512946528,104,39,FIXED_STOP_TARGET,LEG0106-C02-20260411T1000,106.0,2.0,False,0.0
matrix_direct_1h_long_fixed_rr1_5,批量·1H确认直接成交·多头·固定 RR1.5,matrix_direct_1h_long_fixed,LONG,matrix_direct_1h_long_fixed_rr1_5_long,批量·1H确认直接成交·多头·固定 RR1.5·多头组件,1.5,1.25,48,2026-04-17T00:00:00+00:00,2026-04-17T00:00:00+00:00,2026-04-17T09:30:00+00:00,1,75107.0,74412.43358551842,76148.84962172237,76148.64962172238,694.5664144815844,1.4997120505745298,0.10888494351876896,1.390827107055761,True,TARGET,114,555.6531315852675,17.569236373574356,56.67095826362437,24.040925998303436,17.335863786796306,0.5075958931800575,0.1559731818808577,0.36916013468272446,0.878831280435399,4.0370509450746574,-0.5866427998231707,0.30653309177926685,0.7192324083182937,0.00739817342218371,6.0,2026-04,evaluation_2026_h1,False,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,2026-04-17T00:00:00+00:00,1.789605679289517,0.9027214488451546,114,31,FIXED_STOP_TARGET,LEG0107-C02-20260417T0000,107.0,2.0,False,0.0
matrix_direct_1h_long_fixed_rr2_0,批量·1H确认直接成交·多头·固定 RR2.0,matrix_direct_1h_long_fixed,LONG,matrix_direct_1h_long_fixed_rr2_0_long,批量·1H确认直接成交·多头·固定 RR2.0·多头组件,2.0,1.25,48,2026-04-10T02:00:00+00:00,2026-04-10T02:00:00+00:00,2026-04-10T07:55:00+00:00,1,72124.2,71394.82481595365,73582.95036809272,71394.62481595365,729.3751840463576,-1.0002742073001194,0.09838477367693928,-1.0986589809770586,False,STOP,71,583.5001472370861,24.25238639492298,57.67293440531897,26.48474304011881,13.791654232243804,0.9190516266960509,0.1316039885117636,1.0428500776141105,0.6901562928434305,4.554926014303288,0.48822168810549726,0.39723780464591363,0.6774022673634235,0.00809023552821649,11.0,2026-04,evaluation_2026_h1,False,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,2026-04-10T02:00:00+00:00,0.17933157428576502,1.0174461871365572,3,71,FIXED_STOP_TARGET,LEG0106-C01-20260410T0200,106.0,1.0,False,0.0
matrix_direct_1h_long_fixed_rr2_0,批量·1H确认直接成交·多头·固定 RR2.0,matrix_direct_1h_long_fixed,LONG,matrix_direct_1h_long_fixed_rr2_0_long,批量·1H确认直接成交·多头·固定 RR2.0·多头组件,2.0,1.25,48,2026-04-11T10:00:00+00:00,2026-04-11T10:00:00+00:00,2026-04-11T19:10:00+00:00,1,72874.3,72445.56451193764,73731.77097612474,73731.57097612474,428.7354880623659,1.9995335119075472,0.17097473274104005,1.8285587791665072,True,TARGET,110,342.98839044989273,25.62683226412419,56.67628202024526,20.013851271535007,14.161712721180987,1.3606028850944512,0.03667199607512319,0.5689764258649023,0.9702970297029703,4.610943238998761,-2.9339006719972147,0.39021073428665504,0.49125494770714284,0.004706594813649487,1.0,2026-04,evaluation_2026_h1,False,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,2026-04-11T10:00:00+00:00,2.0970972196945916,0.9852228512946528,110,39,FIXED_STOP_TARGET,LEG0106-C02-20260411T1000,106.0,2.0,False,0.0
matrix_direct_1h_long_fixed_rr2_0,批量·1H确认直接成交·多头·固定 RR2.0,matrix_direct_1h_long_fixed,LONG,matrix_direct_1h_long_fixed_rr2_0_long,批量·1H确认直接成交·多头·固定 RR2.0·多头组件,2.0,1.25,48,2026-04-17T00:00:00+00:00,2026-04-17T00:00:00+00:00,2026-04-17T13:10:00+00:00,1,75107.0,74412.43358551842,76496.13282896316,76495.93282896317,694.5664144815844,1.999712050574528,0.10913494351876896,1.890577107055759,True,TARGET,158,555.6531315852675,17.569236373574356,56.67095826362437,24.040925998303436,17.335863786796306,0.5075958931800575,0.1559731818808577,0.36916013468272446,0.878831280435399,4.0370509450746574,-0.5866427998231707,0.30653309177926685,0.7192324083182937,0.00739817342218371,6.0,2026-04,evaluation_2026_h1,False,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,2026-04-17T00:00:00+00:00,2.2200900703655955,0.9027214488451546,158,31,FIXED_STOP_TARGET,LEG0107-C02-20260417T0000,107.0,2.0,False,0.0
matrix_direct_1h_long_fixed_rr2_5,批量·1H确认直接成交·多头·固定 RR2.5,matrix_direct_1h_long_fixed,LONG,matrix_direct_1h_long_fixed_rr2_5_long,批量·1H确认直接成交·多头·固定 RR2.5·多头组件,2.5,1.25,48,2026-04-10T02:00:00+00:00,2026-04-10T02:00:00+00:00,2026-04-10T07:55:00+00:00,1,72124.2,71394.82481595365,73947.63796011588,71394.62481595365,729.3751840463576,-1.0002742073001194,0.09838477367693928,-1.0986589809770586,False,STOP,71,583.5001472370861,24.25238639492298,57.67293440531897,26.48474304011881,13.791654232243804,0.9190516266960509,0.1316039885117636,1.0428500776141105,0.6901562928434305,4.554926014303288,0.48822168810549726,0.39723780464591363,0.6774022673634235,0.00809023552821649,11.0,2026-04,evaluation_2026_h1,False,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,2026-04-10T02:00:00+00:00,0.17933157428576502,1.0174461871365572,3,71,FIXED_STOP_TARGET,LEG0106-C01-20260410T0200,106.0,1.0,False,0.0
matrix_direct_1h_long_fixed_rr2_5,批量·1H确认直接成交·多头·固定 RR2.5,matrix_direct_1h_long_fixed,LONG,matrix_direct_1h_long_fixed_rr2_5_long,批量·1H确认直接成交·多头·固定 RR2.5·多头组件,2.5,1.25,48,2026-04-11T10:00:00+00:00,2026-04-11T10:00:00+00:00,2026-04-12T01:40:00+00:00,1,72874.3,72445.56451193764,73946.13872015591,72445.36451193765,428.7354880623659,-1.00046648809245,0.16947473274104002,-1.16994122083349,False,STOP,188,342.98839044989273,25.62683226412419,56.67628202024526,20.013851271535007,14.161712721180987,1.3606028850944512,0.03667199607512319,0.5689764258649023,0.9702970297029703,4.610943238998761,-2.9339006719972147,0.39021073428665504,0.49125494770714284,0.004706594813649487,1.0,2026-04,evaluation_2026_h1,False,IMPULSE_PULLBACK_CONFIRM,DIRECT_AFTER_CLOSED_1H_CONFIRMATION,2026-04-11T10:00:00+00:00,2.0970972196945916,2.1955262072055883,110,188,FIXED_STOP_TARGET,LEG0106-C02-20260411T1000,106.0,2.0,False,0.0
