channel_id,channel_label,exit_reason,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
matrix_local_break_15m_shared_fixed_rr1_5,批量·15M局部突破·多空共享·固定 RR1.5,TARGET,2,2,0,1.0,1.3644809100364896,0.0,999.0,999.0,2.7289618200729793,0.0,1.3644809100364896,1.3644809100364896
matrix_local_break_15m_shared_fixed_rr2_0,批量·15M局部突破·多空共享·固定 RR2.0,TARGET,1,1,0,1.0,1.899889279507761,0.0,999.0,999.0,1.899889279507761,0.0,1.899889279507761,1.899889279507761
matrix_local_break_15m_shared_fixed_rr2_5,批量·15M局部突破·多空共享·固定 RR2.5,STOP,1,0,1,0.0,0.0,1.0986107204922355,0.0,0.0,-1.0986107204922355,1.0986107204922355,-1.0986107204922355,-1.0986107204922355
matrix_pullback_reclaim_15m_long_be1_rr2_0,影子·15M回踩重确认·多头·1R后保本 RR2.0,TARGET,1,1,0,1.0,1.899889279507761,0.0,999.0,999.0,1.899889279507761,0.0,1.899889279507761,1.899889279507761
matrix_pullback_reclaim_15m_long_fixed_rr1_5,批量·15M回踩重确认·多头·固定 RR1.5,TARGET,2,2,0,1.0,1.3645283751998982,0.0,999.0,999.0,2.7290567503997964,0.0,1.3645283751998982,1.3645283751998982
matrix_pullback_reclaim_15m_long_fixed_rr2_0,批量·15M回踩重确认·多头·固定 RR2.0,TARGET,1,1,0,1.0,1.899889279507761,0.0,999.0,999.0,1.899889279507761,0.0,1.899889279507761,1.899889279507761
matrix_pullback_reclaim_15m_long_fixed_rr2_5,批量·15M回踩重确认·多头·固定 RR2.5,STOP,1,0,1,0.0,0.0,1.0986107204922355,0.0,0.0,-1.0986107204922355,1.0986107204922355,-1.0986107204922355,-1.0986107204922355
matrix_pullback_reclaim_15m_shared_fixed_rr1_5,批量·15M回踩重确认·多空共享·固定 RR1.5,STOP,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882
matrix_pullback_reclaim_15m_shared_fixed_rr1_5,批量·15M回踩重确认·多空共享·固定 RR1.5,TARGET,2,2,0,1.0,1.3645283751998982,0.0,999.0,999.0,2.7290567503997964,0.0,1.3645283751998982,1.3645283751998982
matrix_pullback_reclaim_15m_shared_fixed_rr2_0,批量·15M回踩重确认·多空共享·固定 RR2.0,STOP,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882
matrix_pullback_reclaim_15m_shared_fixed_rr2_0,批量·15M回踩重确认·多空共享·固定 RR2.0,TARGET,1,1,0,1.0,1.899889279507761,0.0,999.0,999.0,1.899889279507761,0.0,1.899889279507761,1.899889279507761
matrix_pullback_reclaim_15m_shared_fixed_rr2_5,批量·15M回踩重确认·多空共享·固定 RR2.5,STOP,3,0,3,0.0,0.0,1.1210594017933333,0.0,0.0,-3.3631782053799997,3.3631782053799997,-1.1210594017933333,-1.1233657293837833
matrix_pullback_reclaim_15m_short_be1_rr2_0,影子·15M回踩重确认·空头·1R后保本 RR2.0,BREAK_EVEN_FIRST_CONSERVATIVE,1,0,1,0.0,0.0,0.14070175550397748,0.0,0.0,-0.14070175550397748,0.14070175550397748,-0.14070175550397748,-0.14070175550397748
matrix_pullback_reclaim_15m_short_be1_rr2_0,影子·15M回踩重确认·空头·1R后保本 RR2.0,STOP,2,0,2,0.0,0.0,1.1466683267435154,0.0,0.0,-2.2933366534870308,2.2933366534870308,-1.1466683267435154,-1.1466683267435154
matrix_pullback_reclaim_15m_short_fixed_rr1_5,批量·15M回踩重确认·空头·固定 RR1.5,STOP,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882
matrix_pullback_reclaim_15m_short_fixed_rr2_0,批量·15M回踩重确认·空头·固定 RR2.0,STOP,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882
matrix_pullback_reclaim_15m_short_fixed_rr2_5,批量·15M回踩重确认·空头·固定 RR2.5,STOP,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882
