expert_id,expert,family,rank,policy_key,eligible,reasons,score,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,shrunk_win_rate,wilson_lower,active_months,positive_months,worst_month_R,max_single_month_profit_share
0,趋势回踩重新站稳多头,趋势回踩,16,fead172dc14cedec,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
1,趋势反抽失败空头,趋势回踩,1,bb4cec4ee8f476c1,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|利润过度集中,38.6235366924591,5,3,0.6,1.4775038826835054,0.7836097320272234,1.8855098683641354,2.828264802546203,2.865292183996069,1.3238284723939617,0.5730584367992139,0.5333333333333333,0.3826400903534617,2,1,-1.3238284723939617,1.0
1,趋势反抽失败空头,趋势回踩,2,376d957997acdcfa,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|利润过度集中,38.6235366924591,5,3,0.6,1.4775038826835054,0.7836097320272234,1.8855098683641354,2.828264802546203,2.865292183996069,1.3238284723939617,0.5730584367992139,0.5333333333333333,0.3826400903534617,2,1,-1.3238284723939617,1.0
1,趋势反抽失败空头,趋势回踩,3,f2448719269ecf35,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|利润过度集中,38.61864364727295,5,3,0.6,1.4773062066494156,0.7835897752097842,1.8853056195812512,2.827958429371877,2.864739069528679,1.3238284723939617,0.5729478139057358,0.5333333333333333,0.3826400903534617,2,1,-1.3238284723939617,1.0
1,趋势反抽失败空头,趋势回踩,4,c3a7c9703fc51f9d,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|利润过度集中,38.61864364727295,5,3,0.6,1.4773062066494156,0.7835897752097842,1.8853056195812512,2.827958429371877,2.864739069528679,1.3238284723939617,0.5729478139057358,0.5333333333333333,0.3826400903534617,2,1,-1.3238284723939617,1.0
1,趋势反抽失败空头,趋势回踩,5,0dae39a4910709cd,False,总交易不足|活跃月份不足|正收益月份不足|收缩后胜率不足|胜率可信下界不足|实际盈亏比不足|利润过度集中,27.383377489372176,3,2,0.6666666666666666,1.4775083936697189,1.3238284723939617,1.1160874875261204,2.232174975052241,1.6311883149454762,1.3238284723939617,0.5437294383151587,0.5384615384615384,0.3856432230609154,2,1,-1.3238284723939617,1.0
1,趋势反抽失败空头,趋势回踩,6,309764f80abddf6d,False,总交易不足|活跃月份不足|正收益月份不足|收缩后胜率不足|胜率可信下界不足|实际盈亏比不足|利润过度集中,27.383377489372176,3,2,0.6666666666666666,1.4775083936697189,1.3238284723939617,1.1160874875261204,2.232174975052241,1.6311883149454762,1.3238284723939617,0.5437294383151587,0.5384615384615384,0.3856432230609154,2,1,-1.3238284723939617,1.0
1,趋势反抽失败空头,趋势回踩,7,2f46abf18efb4f27,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|累计净R不足|利润过度集中,10.502694616534594,3,1,0.3333333333333333,1.4769200364622783,0.7835897752097842,1.8848127977000138,0.9424063988500069,-0.09025951395729026,1.3238284723939617,-0.030086504652430086,0.46153846153846156,0.13564322306091547,2,1,-1.3238284723939617,1.0
1,趋势反抽失败空头,趋势回踩,8,73e718af42ccb59b,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|累计净R不足|利润过度集中,10.502694616534594,3,1,0.3333333333333333,1.4769200364622783,0.7835897752097842,1.8848127977000138,0.9424063988500069,-0.09025951395729026,1.3238284723939617,-0.030086504652430086,0.46153846153846156,0.13564322306091547,2,1,-1.3238284723939617,1.0
1,趋势反抽失败空头,趋势回踩,9,95ecd068393313e3,False,总交易不足|活跃月份不足|正收益月份不足|原始胜率不足|收缩后胜率不足|胜率可信下界不足|盈利因子不足|实际盈亏比不足|累计净R不足,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0
