expert,family,policy_key,month,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R
区间扫高跌回空头,流动性反转,e2a58c5553e22773,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间扫高跌回空头,流动性反转,e2a58c5553e22773,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间扫高跌回空头,流动性反转,e2a58c5553e22773,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间扫高跌回空头,流动性反转,e2a58c5553e22773,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间扫高跌回空头,流动性反转,e2a58c5553e22773,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间扫高跌回空头,流动性反转,e2a58c5553e22773,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间二次测试多头,二次测试,2ec46ad95c32ad6d,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间二次测试多头,二次测试,2ec46ad95c32ad6d,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间二次测试多头,二次测试,2ec46ad95c32ad6d,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间二次测试多头,二次测试,2ec46ad95c32ad6d,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间二次测试多头,二次测试,2ec46ad95c32ad6d,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间二次测试多头,二次测试,2ec46ad95c32ad6d,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间二次测试空头,二次测试,7a871a3d8031ba65,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间二次测试空头,二次测试,7a871a3d8031ba65,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间二次测试空头,二次测试,7a871a3d8031ba65,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间二次测试空头,二次测试,7a871a3d8031ba65,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间二次测试空头,二次测试,7a871a3d8031ba65,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间二次测试空头,二次测试,7a871a3d8031ba65,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
压缩后放量突破多头,波动扩张,cade502a22f017d7,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
压缩后放量突破多头,波动扩张,cade502a22f017d7,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
压缩后放量突破多头,波动扩张,cade502a22f017d7,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
压缩后放量突破多头,波动扩张,cade502a22f017d7,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
压缩后放量突破多头,波动扩张,cade502a22f017d7,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
压缩后放量突破多头,波动扩张,cade502a22f017d7,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
压缩后放量突破空头,波动扩张,0ddadca500de7bc5,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
压缩后放量突破空头,波动扩张,0ddadca500de7bc5,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
压缩后放量突破空头,波动扩张,0ddadca500de7bc5,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
压缩后放量突破空头,波动扩张,0ddadca500de7bc5,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
压缩后放量突破空头,波动扩张,0ddadca500de7bc5,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
压缩后放量突破空头,波动扩张,0ddadca500de7bc5,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC与ETH同步确认多头,跨资产同步,8d12f83d2dbe8c16,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC与ETH同步确认多头,跨资产同步,8d12f83d2dbe8c16,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC与ETH同步确认多头,跨资产同步,8d12f83d2dbe8c16,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC与ETH同步确认多头,跨资产同步,8d12f83d2dbe8c16,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC与ETH同步确认多头,跨资产同步,8d12f83d2dbe8c16,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC与ETH同步确认多头,跨资产同步,8d12f83d2dbe8c16,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC与ETH同步确认空头,跨资产同步,e49384a07447bd51,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC与ETH同步确认空头,跨资产同步,e49384a07447bd51,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC与ETH同步确认空头,跨资产同步,e49384a07447bd51,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC与ETH同步确认空头,跨资产同步,e49384a07447bd51,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC与ETH同步确认空头,跨资产同步,e49384a07447bd51,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC与ETH同步确认空头,跨资产同步,e49384a07447bd51,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生品极端回归多头,衍生品反转,746f01cd7ec3175b,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生品极端回归多头,衍生品反转,746f01cd7ec3175b,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生品极端回归多头,衍生品反转,746f01cd7ec3175b,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生品极端回归多头,衍生品反转,746f01cd7ec3175b,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生品极端回归多头,衍生品反转,746f01cd7ec3175b,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生品极端回归多头,衍生品反转,746f01cd7ec3175b,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生品极端回归空头,衍生品反转,23f772e159b1af69,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生品极端回归空头,衍生品反转,23f772e159b1af69,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生品极端回归空头,衍生品反转,23f772e159b1af69,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生品极端回归空头,衍生品反转,23f772e159b1af69,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生品极端回归空头,衍生品反转,23f772e159b1af69,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生品极端回归空头,衍生品反转,23f772e159b1af69,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
