expert,family,month,raw_candidates,model_available,calibration_month,calibration_rows,calibration_brier,meta_brier,calibration_mean,eval_mean,after_probability,after_meta,after_cap
区间扫低收回多头,流动性反转,2025-12,42,True,2025-11,47.0,0.21683813987109823,0.21705167423047203,0.31918415040767345,0.3214731243082611,0.0,0.0,0.0
区间扫低收回多头,流动性反转,2026-01,32,True,2025-12,42.0,0.16730275331812908,0.16826274463442314,0.2142908478470589,0.2112770124117415,0.0,0.0,0.0
区间扫低收回多头,流动性反转,2026-02,58,True,2026-01,32.0,0.13058130839511628,0.1314362165875339,0.15617593620092277,0.1509981440005834,0.0,0.0,0.0
区间扫低收回多头,流动性反转,2026-03,74,True,2026-02,58.0,0.09241525977566675,0.09274451200041538,0.10343880050696504,0.1057662421171042,0.0,0.0,0.0
区间扫低收回多头,流动性反转,2026-04,34,True,2026-03,74.0,0.1615896926335394,0.1615990222274042,0.2027703949951476,0.20259853822141421,0.0,0.0,0.0
区间扫低收回多头,流动性反转,2026-05,68,True,2026-04,34.0,0.24195310810172116,0.24132114878167907,0.41174899157435685,0.4104398542479247,17.0,9.0,2.0
区间扫高跌回空头,流动性反转,2025-12,35,True,2025-11,47.0,0.1762393376598931,0.17913664426677323,0.234043525929974,0.23617065197308498,0.0,0.0,0.0
区间扫高跌回空头,流动性反转,2026-01,50,True,2025-12,35.0,0.09482128780512993,0.10103040708682616,0.11428989694938017,0.09947672729904834,0.0,0.0,0.0
区间扫高跌回空头,流动性反转,2026-02,59,True,2026-01,50.0,0.2095074766253321,0.20990281485259912,0.30000865597158105,0.29979928120543925,0.0,0.0,0.0
区间扫高跌回空头,流动性反转,2026-03,49,True,2026-02,59.0,0.2233822153610538,0.22399600526383054,0.33898396578101614,0.34360060417575533,0.0,0.0,0.0
区间扫高跌回空头,流动性反转,2026-04,49,True,2026-03,49.0,0.21003101422772577,0.21207604397826132,0.3061252920884823,0.3164450770874113,0.0,0.0,0.0
区间扫高跌回空头,流动性反转,2026-05,77,True,2026-04,49.0,0.1588442318984663,0.16196692008921038,0.20414462419433516,0.21503159035245437,0.0,0.0,0.0
区间二次测试多头,二次测试,2025-12,16,False,,,,,,,,,
区间二次测试多头,二次测试,2026-01,10,False,,,,,,,,,
区间二次测试多头,二次测试,2026-02,18,False,,,,,,,,,
区间二次测试多头,二次测试,2026-03,26,True,2026-02,18.0,0.13888712175159498,0.13880841405213534,0.16666789292845913,0.0,0.0,0.0,0.0
区间二次测试多头,二次测试,2026-04,13,True,2026-03,26.0,0.19647360655411195,0.1967059565082767,0.26923563029046627,0.272796694277619,0.0,0.0,0.0
区间二次测试多头,二次测试,2026-05,16,False,,,,,,,,,
区间二次测试空头,二次测试,2025-12,2,False,,,,,,,,,
区间二次测试空头,二次测试,2026-01,6,False,,,,,,,,,
区间二次测试空头,二次测试,2026-02,6,False,,,,,,,,,
区间二次测试空头,二次测试,2026-03,15,False,,,,,,,,,
区间二次测试空头,二次测试,2026-04,11,False,,,,,,,,,
区间二次测试空头,二次测试,2026-05,15,False,,,,,,,,,
压缩后放量突破多头,波动扩张,2025-12,141,True,2025-11,115.0,0.1464628960987046,0.14835907162802656,0.1826775476741972,0.17630494903571778,0.0,0.0,0.0
压缩后放量突破多头,波动扩张,2026-01,130,True,2025-12,141.0,0.16867872935484793,0.17127263235288442,0.21984798623345037,0.2080583025453496,0.0,0.0,0.0
压缩后放量突破多头,波动扩张,2026-02,155,True,2026-01,130.0,0.13802561384867162,0.14043396403256728,0.16922713278313237,0.17767464810970524,0.0,0.0,0.0
压缩后放量突破多头,波动扩张,2026-03,123,True,2026-02,155.0,0.15857431035203065,0.15961710645398347,0.20000076841877776,0.20032658703013975,0.0,0.0,0.0
压缩后放量突破多头,波动扩张,2026-04,152,True,2026-03,123.0,0.15704240381850174,0.1568772985422284,0.19511971741340497,0.19496613275977495,0.0,0.0,0.0
压缩后放量突破多头,波动扩张,2026-05,132,True,2026-04,152.0,0.19311593181666056,0.19810414079844327,0.2763307405059787,0.2837011649694936,2.0,0.0,0.0
压缩后放量突破空头,波动扩张,2025-12,153,True,2025-11,163.0,0.15005071281581528,0.149674080958311,0.18401426426911455,0.18642001952139514,0.0,0.0,0.0
压缩后放量突破空头,波动扩张,2026-01,156,True,2025-12,153.0,0.13528367037501476,0.13761174677751428,0.16986875167817767,0.15760133972110962,0.0,0.0,0.0
压缩后放量突破空头,波动扩张,2026-02,169,True,2026-01,156.0,0.17315970938406536,0.17379689192459247,0.22435798707777102,0.21116616771706664,0.0,0.0,0.0
压缩后放量突破空头,波动扩张,2026-03,169,True,2026-02,169.0,0.17750295883893355,0.1764551189303298,0.2307620013031877,0.23071459204013703,0.0,0.0,0.0
压缩后放量突破空头,波动扩张,2026-04,129,True,2026-03,169.0,0.1806174629206656,0.17912731835841467,0.23669427231519669,0.23676146487036678,0.0,0.0,0.0
压缩后放量突破空头,波动扩张,2026-05,158,True,2026-04,129.0,0.14647385624414994,0.1460719760273157,0.17824514537238323,0.17921955201542525,0.0,0.0,0.0
BTC与ETH同步确认多头,跨资产同步,2025-12,161,True,2025-11,126.0,0.11005679900785083,0.1107744407234993,0.1269920717212877,0.12992911876934893,0.0,0.0,0.0
BTC与ETH同步确认多头,跨资产同步,2026-01,214,True,2025-12,161.0,0.16973280141413175,0.16979968032106343,0.21739812124968844,0.21589019412154528,0.0,0.0,0.0
BTC与ETH同步确认多头,跨资产同步,2026-02,102,True,2026-01,214.0,0.193201916564171,0.19317724747676407,0.2616841764699982,0.26245937905898736,0.0,0.0,0.0
BTC与ETH同步确认多头,跨资产同步,2026-03,215,True,2026-02,102.0,0.16891743681868113,0.16877558884859745,0.21568540643603154,0.21599903293203934,0.0,0.0,0.0
BTC与ETH同步确认多头,跨资产同步,2026-04,193,True,2026-03,215.0,0.16180001139378702,0.16235931897960162,0.20465043721545303,0.19830444950553006,0.0,0.0,0.0
BTC与ETH同步确认多头,跨资产同步,2026-05,169,True,2026-04,193.0,0.17308726639204214,0.17314268452370332,0.22280311677352269,0.22548952550329684,0.0,0.0,0.0
BTC与ETH同步确认空头,跨资产同步,2025-12,206,True,2025-11,304.0,0.18502098029993308,0.18573442006831783,0.24671471392303948,0.2513712908277447,0.0,0.0,0.0
BTC与ETH同步确认空头,跨资产同步,2026-01,234,True,2025-12,206.0,0.12053451905653889,0.12085480581087259,0.1407791214050672,0.13797611364623913,0.0,0.0,0.0
BTC与ETH同步确认空头,跨资产同步,2026-02,335,True,2026-01,234.0,0.23118874653961688,0.23038956389883614,0.36325715815397136,0.35944879046534717,0.0,0.0,0.0
BTC与ETH同步确认空头,跨资产同步,2026-03,193,True,2026-02,335.0,0.20464168251407439,0.20549213388643306,0.28955279715096083,0.2788033007935045,0.0,0.0,0.0
BTC与ETH同步确认空头,跨资产同步,2026-04,137,True,2026-03,193.0,0.1756332390782351,0.17550915736198267,0.22797332583618143,0.2209386866013712,0.0,0.0,0.0
BTC与ETH同步确认空头,跨资产同步,2026-05,227,True,2026-04,137.0,0.09160109994717007,0.09174210716779335,0.10221328437501044,0.10361637576548882,0.0,0.0,0.0
衍生品极端回归多头,衍生品反转,2025-12,1,False,,,,,,,,,
衍生品极端回归多头,衍生品反转,2026-01,8,False,,,,,,,,,
衍生品极端回归多头,衍生品反转,2026-02,12,False,,,,,,,,,
衍生品极端回归多头,衍生品反转,2026-03,5,False,,,,,,,,,
衍生品极端回归多头,衍生品反转,2026-04,0,False,,,,,,,,,
衍生品极端回归多头,衍生品反转,2026-05,4,False,,,,,,,,,
衍生品极端回归空头,衍生品反转,2025-12,1,False,,,,,,,,,
衍生品极端回归空头,衍生品反转,2026-01,0,False,,,,,,,,,
衍生品极端回归空头,衍生品反转,2026-02,4,False,,,,,,,,,
衍生品极端回归空头,衍生品反转,2026-03,6,False,,,,,,,,,
衍生品极端回归空头,衍生品反转,2026-04,4,False,,,,,,,,,
衍生品极端回归空头,衍生品反转,2026-05,9,False,,,,,,,,,
趋势反抽失败空头,趋势回踩,2026-06,336,True,2026-05,274.0,0.20358551612041825,0.20246479196345135,0.2919611636310915,0.2900129133007437,0.0,0.0,0.0
区间扫低收回多头,流动性反转,2026-06,50,True,2026-05,68.0,0.2012822310422309,0.20119459729519593,0.2794872481979806,0.278205763562064,0.0,0.0,0.0
