rank,score_train_only,diagnostic_qualified,family,direction,train_trades,train_win_rate,train_ratio,test_trades,test_win_rate,test_ratio,total_net_R,max_drawdown_R,first_half_trades,first_half_win_rate,first_half_net_R,second_half_trades,second_half_win_rate,second_half_net_R,config
73,-357.1568043568052,False,趋势回踩+压缩突破,双向,26.0,0.5,1.3272126042570045,34.0,0.3235294117647059,1.5706678727267689,-1.3595800318802775,5.126508763268836,10.0,0.5,1.364666625876488,16.0,0.5,4.105293643784773,"{""family_mask"": 3, ""direction"": 0, ""rr"": 2.4, ""sl_atr"": 2.2590342573309004, ""min_stop_pct"": 0.003207168469187126, ""max_hold"": 432, ""cooldown"": 6, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 17.606394543190046, ""adx_range_max"": 18.66338851863876, ""rsi_long_min"": 51.01842173628418, ""rsi_long_max"": 75.8278128571409, ""volz_break"": 1.3451753386977054, ""body_min"": 0.3018465209066329, ""close_loc_min"": 0.6114971264805985, ""eff_min"": 0.7002587010481092, ""atr_rank_min"": 0.7041588628637014, ""squeeze_rank_max"": 0.40514928796656785, ""vwap_dev_entry"": 2.3201273016921933, ""pull_idx"": 8, ""don_idx"": 1, ""trail_trigger"": 2.0151778660580413, ""trail_lock"": 1.7518281320554296}"
74,-360.9875915583523,False,趋势回踩+压缩突破,双向,22.0,0.45454545454545453,1.7284495869165828,28.0,0.42857142857142855,1.576339151930831,9.388856551280993,3.4410917450336367,10.0,0.5,3.388763648963251,12.0,0.4166666666666667,2.6718136625419744,"{""family_mask"": 3, ""direction"": 0, ""rr"": 2.6, ""sl_atr"": 1.4983152579249293, ""min_stop_pct"": 0.006826734826799083, ""max_hold"": 576, ""cooldown"": 12, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""adx_trend_min"": 18.154323032680335, ""adx_range_max"": 24.759036354361278, ""rsi_long_min"": 46.333548584718514, ""rsi_long_max"": 63.75758943303425, ""volz_break"": 0.8821878010698012, ""body_min"": 0.6245650986755155, ""close_loc_min"": 0.7879877424144002, ""eff_min"": 0.2438727483396119, ""atr_rank_min"": 0.5206288271132119, ""squeeze_rank_max"": 0.2504860549469975, ""vwap_dev_entry"": 1.0682416673849022, ""pull_idx"": 7, ""don_idx"": 0, ""trail_trigger"": 1.9704453789255012, ""trail_lock"": 1.8145105777068857}"
75,-365.4752445580589,False,趋势回踩+压缩突破,双向,22.0,0.45454545454545453,1.742476244333262,31.0,0.3548387096774194,1.6873027275000798,4.560814981071493,3.8864541930850907,11.0,0.45454545454545453,2.247388638488313,11.0,0.45454545454545453,3.939666163146664,"{""family_mask"": 3, ""direction"": 0, ""rr"": 2.8, ""sl_atr"": 2.7484209882596287, ""min_stop_pct"": 0.007114986904882272, ""max_hold"": 576, ""cooldown"": 16, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 14.862249913028133, ""adx_range_max"": 16.247700161403614, ""rsi_long_min"": 42.47390817657889, ""rsi_long_max"": 72.05717112885587, ""volz_break"": 0.5573983255430404, ""body_min"": 0.6367094650010394, ""close_loc_min"": 0.7265826195043543, ""eff_min"": 0.2656983338930015, ""atr_rank_min"": 0.2874787864560693, ""squeeze_rank_max"": 0.23113225456520956, ""vwap_dev_entry"": 1.4657999942734175, ""pull_idx"": 6, ""don_idx"": 1, ""trail_trigger"": 2.0663260911921086, ""trail_lock"": 1.9594580137713917}"
76,-367.2154589638749,False,趋势回踩+压缩突破,双向,23.0,0.4782608695652174,1.4289296775800435,32.0,0.46875,1.504142643058056,10.322128668520271,3.509407809530556,8.0,0.625,3.9880323080002786,15.0,0.4,0.10339584521228784,"{""family_mask"": 3, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 2.07296900533212, ""min_stop_pct"": 0.005911033188005048, ""max_hold"": 144, ""cooldown"": 10, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""adx_trend_min"": 14.928455973990397, ""adx_range_max"": 18.401747750962116, ""rsi_long_min"": 48.47046846210215, ""rsi_long_max"": 63.934972828323026, ""volz_break"": -0.1331148318455007, ""body_min"": 0.37545346757251863, ""close_loc_min"": 0.8748089200909261, ""eff_min"": 0.2300428048260639, ""atr_rank_min"": 0.36531794989387123, ""squeeze_rank_max"": 0.4945704208171916, ""vwap_dev_entry"": 0.9255267063790455, ""pull_idx"": 4, ""don_idx"": 0, ""trail_trigger"": 1.9510981180667664, ""trail_lock"": 1.8918098465066602}"
77,-367.64677972944384,False,趋势回踩+压缩突破,双向,22.0,0.45454545454545453,1.6936711533329565,27.0,0.2962962962962963,1.7441344087136124,0.2213767053749136,5.749866372361855,12.0,0.4166666666666667,1.2837257825238777,10.0,0.5,5.106233274400532,"{""family_mask"": 3, ""direction"": 0, ""rr"": 3.0, ""sl_atr"": 2.0190964136744607, ""min_stop_pct"": 0.0031700702002964865, ""max_hold"": 288, ""cooldown"": 13, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 27.60867785754762, ""adx_range_max"": 22.002194643512357, ""rsi_long_min"": 50.25383040018496, ""rsi_long_max"": 72.88995014305155, ""volz_break"": 1.6087043356583521, ""body_min"": 0.3494466916235119, ""close_loc_min"": 0.7741311779264594, ""eff_min"": 0.25175147242376456, ""atr_rank_min"": 0.683380911622309, ""squeeze_rank_max"": 0.38990088152060703, ""vwap_dev_entry"": 0.5603684174438106, ""pull_idx"": 5, ""don_idx"": 1, ""trail_trigger"": 2.373993673649601, ""trail_lock"": 1.9843024217854992}"
78,-372.18566808790234,False,趋势回踩+压缩突破,双向,22.0,0.45454545454545453,1.6898406437352678,37.0,0.3783783783783784,1.591143314568818,4.769213844771702,5.710596960052717,12.0,0.4166666666666667,1.4384671855826752,10.0,0.5,4.156227429555596,"{""family_mask"": 3, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 1.2851735908429798, ""min_stop_pct"": 0.007048803104773428, ""max_hold"": 432, ""cooldown"": 8, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""adx_trend_min"": 15.184336632922742, ""adx_range_max"": 16.81432319027459, ""rsi_long_min"": 48.20896380567277, ""rsi_long_max"": 61.42408557459142, ""volz_break"": 1.2468312979205907, ""body_min"": 0.4806548631520092, ""close_loc_min"": 0.7285394396668652, ""eff_min"": 0.3055792049529297, ""atr_rank_min"": 0.3489263720714031, ""squeeze_rank_max"": 0.40239518961906295, ""vwap_dev_entry"": 1.0116469061831073, ""pull_idx"": 2, ""don_idx"": 1, ""trail_trigger"": 2.0310439489067926, ""trail_lock"": 1.7728554576295246}"
79,-372.9512340385751,False,趋势回踩+震荡反转,双向,22.0,0.45454545454545453,1.542389648924682,25.0,0.4,1.6162936005486965,5.428014903947641,5.361617174756599,7.0,0.5714285714285714,3.3968211294915194,15.0,0.4,0.6548618151781356,"{""family_mask"": 5, ""direction"": 0, ""rr"": 2.8, ""sl_atr"": 1.0689892517612007, ""min_stop_pct"": 0.00546799410495021, ""max_hold"": 432, ""cooldown"": 11, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 127, ""adx_trend_min"": 35.68944860638912, ""adx_range_max"": 23.703001583228044, ""rsi_long_min"": 42.49929066217059, ""rsi_long_max"": 69.59651899544704, ""volz_break"": 1.1888239297647503, ""body_min"": 0.2356606897256433, ""close_loc_min"": 0.6705071647644296, ""eff_min"": 0.4973485118839386, ""atr_rank_min"": 0.2096526200982422, ""squeeze_rank_max"": 0.3518647162220214, ""vwap_dev_entry"": 1.117102316279897, ""pull_idx"": 7, ""don_idx"": 1, ""trail_trigger"": 2.0850766183710707, ""trail_lock"": 1.9199179460050122}"
80,-378.29195625883125,False,趋势回踩,双向,25.0,0.48,1.377677734670754,25.0,0.32,1.3753880620904024,-2.6004210652543964,7.387988860802534,9.0,0.5555555555555556,3.4907538991184506,16.0,0.4375,1.1097770831070715,"{""family_mask"": 1, ""direction"": 0, ""rr"": 2.8, ""sl_atr"": 2.4005610587437998, ""min_stop_pct"": 0.003142569390247062, ""max_hold"": 432, ""cooldown"": 25, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 124, ""adx_trend_min"": 20.989119791302592, ""adx_range_max"": 21.58307099323566, ""rsi_long_min"": 38.2868996755646, ""rsi_long_max"": 71.17501282139892, ""volz_break"": 0.20598675925782733, ""body_min"": 0.4580931889394064, ""close_loc_min"": 0.6887160131131116, ""eff_min"": 0.42179744087028703, ""atr_rank_min"": 0.18166801600594534, ""squeeze_rank_max"": 0.26749223468000916, ""vwap_dev_entry"": 1.6376443894676742, ""pull_idx"": 8, ""don_idx"": 1, ""trail_trigger"": 2.0858664852103392, ""trail_lock"": 1.858745887350135}"
81,-379.85044670965283,False,趋势回踩+压缩突破,双向,20.0,0.5,1.3485898818853927,23.0,0.391304347826087,1.4298028160202212,3.179124782208018,3.758867875024503,11.0,0.5454545454545454,3.959309969142768,9.0,0.4444444444444444,0.6258730424021293,"{""family_mask"": 3, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 1.490222833118274, ""min_stop_pct"": 0.003105445287650728, ""max_hold"": 288, ""cooldown"": 8, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 17.682974162175185, ""adx_range_max"": 18.329765698921065, ""rsi_long_min"": 47.65726205447112, ""rsi_long_max"": 73.11569598915604, ""volz_break"": 1.2583122909214404, ""body_min"": 0.3210125120835343, ""close_loc_min"": 0.773452240195528, ""eff_min"": 0.43169707267829943, ""atr_rank_min"": 0.4178674707003268, ""squeeze_rank_max"": 0.3225737899755399, ""vwap_dev_entry"": 1.8653275916280185, ""pull_idx"": 3, ""don_idx"": 0, ""trail_trigger"": 1.940672985979981, ""trail_lock"": 1.8536608983916056}"
82,-380.47978878657364,False,趋势回踩,双向,22.0,0.45454545454545453,1.6401125154801235,36.0,0.3611111111111111,1.6422812652000618,3.099712120253672,3.382027105763683,10.0,0.5,3.4435421311302115,12.0,0.4166666666666667,1.5164836620332292,"{""family_mask"": 1, ""direction"": 0, ""rr"": 2.2, ""sl_atr"": 0.9149571917561008, ""min_stop_pct"": 0.007905384453375526, ""max_hold"": 576, ""cooldown"": 12, ""session_start"": 0, ""session_end"": 24, ""weekday_mask"": 62, ""adx_trend_min"": 14.503168534191442, ""adx_range_max"": 12.716073545472174, ""rsi_long_min"": 44.33429774111175, ""rsi_long_max"": 67.57665191811874, ""volz_break"": 0.037408879749029456, ""body_min"": 0.6561651065273812, ""close_loc_min"": 0.7218471144573133, ""eff_min"": 0.24732062152066236, ""atr_rank_min"": 0.34072528486203213, ""squeeze_rank_max"": 0.3173136706842593, ""vwap_dev_entry"": 1.4473956982678593, ""pull_idx"": 5, ""don_idx"": 1, ""trail_trigger"": 1.9315842606762257, ""trail_lock"": 1.8783125209941176}"
