expert_id,expert,family,tier,selected_research,selected_qualified,candidate_shadow_only,policy_key,selection_status,selection_reason,mature_policy_available,mature_policy_protected,selected_cluster_robust,rejection_reason,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,shrunk_win_rate,wilson_lower,active_months,positive_months,worst_month_R,max_single_month_profit_share,max_trades_single_month,valid_blocks,positive_blocks,positive_expectancy_blocks,high_win_rate_blocks,max_single_trade_profit_share,best_trade_removed_net_R,best_two_trades_removed_net_R,loo_month_min_net_R,loo_month_positive_share,cluster_robust,core_policy_selection_tier,legacy_v963_tier,final_rating_source,rating_ignores_execution_budget
10,欧美时段顺势延续多头,时段延续,REJECTED,False,False,False,792c97e8b4c0b8eb,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足|累计净R不足,6,2,0.3333333333333333,1.7493381554847112,1.0038807592707175,1.7425756389190497,0.8712878194595248,-0.5168467261134471,2.572104537519822,-0.08614112101890785,0.42857142857142855,0.09676933255921684,1,0,-0.5168467261134471,0.0,6,1,0,0,0,0.5105388025708233,-2.3030567404986813,-4.015523037082869,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
11,欧美时段顺势延续空头,时段延续,REJECTED,False,False,False,1de21fc96eaf5c68,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,盈利因子不足|累计净R不足,9,3,0.3333333333333333,1.7146748587147498,1.0981274729418182,1.5614533840240221,0.7807266920120111,-1.444740261506661,3.8287083126443413,-0.16052669572296233,0.4117647058823529,0.12058159868274292,2,0,-1.2869456596998758,0.0,8,1,0,0,0,0.3333421735928505,-3.159460594733627,-4.8741473166144385,-1.2869456596998758,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
12,区间扫低立即收回多头,流动性反转,REJECTED,False,False,False,52f3fa47b619e482,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,True,活跃月份不足|盈利因子不足|累计净R不足|最差月份亏损过大,9,1,0.1111111111111111,1.6952141234818747,0.8910096580213496,1.9025765974820168,0.2378220746852521,-5.432863140688922,6.720400710062005,-0.6036514600765469,0.29411764705882354,0.019890371327130518,1,0,-5.432863140688922,0.0,9,0,0,0,0,1.0,-7.128077264170797,-6.924240518912742,0.0,0.0,True,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
13,区间扫高立即跌回空头,流动性反转,CANDIDATE,False,False,True,77df21d40787c7a0,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|有效三个月验证块不足|正期望验证块不足|高胜率验证块不足|收缩后胜率不足|95%胜率可信下界不足|删除最佳交易后不再盈利|逐月删除稳定性不足|利润过度依赖单笔|利润过度依赖单月|参数簇不稳健,5,1,0.2,1.6971219202291914,0.20386347003926253,8.32479659010189,2.0811991475254725,0.8816680400721415,0.6115617022394493,0.1763336080144283,0.38461538461538464,0.036223160969787456,2,1,-0.20389217791760067,1.0,4,1,1,1,0,1.0,-0.8154538801570501,-0.611609351961089,-0.20389217791760067,0.5,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
14,扫低后确认K多头,流动性确认,REJECTED,False,False,False,2a8da9b9f57c9899,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足,7,2,0.2857142857142857,1.695180875533287,0.6436397978565482,2.6337415448494403,1.0534966179397762,0.17216276178383239,1.9149259267103411,0.024594680254833197,0.4,0.08221716570901548,1,1,0.0,1.0,7,0,0,0,0,0.5000107294355185,-1.5230544904172467,-3.218198989282741,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
15,扫高后确认K空头,流动性确认,REJECTED,False,False,False,2605712f51fd787a,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
16,区间二次测试不破多头,二次测试,REJECTED,False,False,False,5911315f52956132,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足,3,1,0.3333333333333333,1.6953878014577437,0.7534230715560302,2.2502467278527747,1.1251233639263873,0.18854165834568337,1.5068461431120603,0.06284721944856113,0.45454545454545453,0.061490315276160515,1,1,0.0,1.0,3,1,1,1,0,1.0,-1.5068461431120603,-1.3031404327934821,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
17,区间二次测试不破空头,二次测试,REJECTED,False,False,False,add1fc0880238799,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,盈利因子不足|累计净R不足,7,1,0.14285714285714285,1.6971255873033468,0.5524217534863003,3.0721556068219433,0.5120259344703239,-1.6174049336144551,1.8063230577248635,-0.23105784765920787,0.3333333333333333,0.02567895594897479,2,0,-1.3043699315826711,0.0,6,1,0,0,0,1.0,-3.3145305209178018,-3.1765104033017453,-1.3043699315826711,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
18,扫低后站回VWAP多头,流动性VWAP,REJECTED,False,False,False,8faa2dfdd58009bb,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
19,扫高后跌破VWAP空头,流动性VWAP,REJECTED,False,False,False,98c02f47708ca242,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
