channel_id,channel_label,direction_scope,profile,is_baseline,baseline_channel_id,trades,retention_rate_vs_baseline,win_rate,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,historical_test_net_R,best_10pct_removed_net_R,delta_trades,delta_win_rate,delta_avg_win_loss_ratio,delta_profit_factor,delta_net_R,delta_max_drawdown_R,delta_historical_test_net_R,delta_best_10pct_removed_net_R,improves_recent_period,improves_tail_robustness,improves_primary_goals
60m_split_portfolio_interaction_45,多空交互组合·多ADX45/空ADX-4,BOTH,split_portfolio_interaction_45,False,60m_split_portfolio_v104_leader,23,1.0454545454545454,0.5652173913043478,1.990204166300892,2.5872654161911597,17.731029776481567,4.438482015769575,4.543335526080376,10.533668977905593,1,0.01976284584980237,0.012619277342074797,0.21416354944057936,2.3923788885163795,0.0,0.0,2.379501836176919,False,True,True
60m_split_portfolio_interaction_47_5,多空交互组合·多ADX47.5/空ADX-4,BOTH,split_portfolio_interaction_47_5,False,60m_split_portfolio_v104_leader,24,1.0909090909090908,0.5416666666666666,1.9846877557484555,2.3455400749754474,16.57979545210766,4.498762234938208,4.543335526080376,9.382434653531682,2,-0.0037878787878787845,0.007102866789638229,-0.02756179177513296,1.2411445641424734,0.06028021916863313,0.0,1.2282675118030077,False,True,False
60m_split_portfolio_interaction_50,多空交互组合·多ADX50/空ADX-4,BOTH,split_portfolio_interaction_50,False,60m_split_portfolio_v104_leader,24,1.0909090909090908,0.5416666666666666,1.9846877557484555,2.3455400749754474,16.57979545210766,4.498762234938208,4.543335526080376,9.382434653531682,2,-0.0037878787878787845,0.007102866789638229,-0.02756179177513296,1.2411445641424734,0.06028021916863313,0.0,1.2282675118030077,False,True,False
60m_split_portfolio_v104_leader,多空组合冻结基线·多ADX45/空原始,BOTH,split_portfolio_v104_leader,True,60m_split_portfolio_v104_leader,22,1.0,0.5454545454545454,1.9775848889588172,2.3731018667505803,15.338650887965187,4.438482015769575,4.543335526080376,8.154167141728674,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True
60m_split_portfolio_long47_reference,多空对照组合·多ADX47.5/空原始,BOTH,split_portfolio_long47_reference,False,60m_split_portfolio_v104_leader,23,1.0454545454545454,0.5217391304347826,1.9721034562824562,2.1513855886717703,14.187416563591277,4.498762234938208,4.543335526080376,7.002932817354762,1,-0.02371541501976282,-0.005481432676361031,-0.22171627807881,-1.1512343243739096,0.06028021916863313,0.0,-1.1512343243739123,False,False,False
60m_split_portfolio_long50_reference,多空对照组合·多ADX50/空原始,BOTH,split_portfolio_long50_reference,False,60m_split_portfolio_v104_leader,23,1.0454545454545454,0.5217391304347826,1.9721034562824562,2.1513855886717703,14.187416563591277,4.498762234938208,4.543335526080376,7.002932817354762,1,-0.02371541501976282,-0.005481432676361031,-0.22171627807881,-1.1512343243739096,0.06028021916863313,0.0,-1.1512343243739123,False,False,False
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,LONG,long_extension_adx45,True,60m_long_extension_adx45_rr2_5,15,1.0,0.5333333333333333,1.908665164481471,2.1813316165502523,9.27233992874864,3.315568851439348,4.543335526080376,4.483487959363781,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True
60m_short_persistence_adx_relax_frozen_rr2_5,空头冻结优化·ADX衰减≥-4 RR2.5,SHORT,short_persistence_adx_relax_frozen,False,60m_short_persistence_reference_rr2_5,8,1.1428571428571428,0.625,2.127875513059647,3.5464591884327454,8.458689847732927,1.1229131643302268,0.0,6.0642324599061945,1,0.0535714285714286,0.00819413567759364,0.720217351923341,2.3923788885163795,0.0,0.0,2.3923788885163804,False,True,True
60m_long_extension_adx47_5_rr2_5,多头独立策略·延伸保护+ADX≤47.5 RR2.5,LONG,long_extension_adx47_5,False,60m_long_extension_adx45_rr2_5,16,1.0666666666666667,0.5,1.9023157974151619,1.9023157974151619,8.121105604374732,3.4226750579970253,4.543335526080376,3.33225363498987,1,-0.033333333333333326,-0.006349367066309064,-0.27901581913509044,-1.1512343243739078,0.10710620655767711,0.0,-1.1512343243739105,False,False,False
60m_long_extension_adx50_rr2_5,多头独立策略·延伸保护+ADX≤50 RR2.5,LONG,long_extension_adx50,False,60m_long_extension_adx45_rr2_5,16,1.0666666666666667,0.5,1.9023157974151619,1.9023157974151619,8.121105604374732,3.4226750579970253,4.543335526080376,3.33225363498987,1,-0.033333333333333326,-0.006349367066309064,-0.27901581913509044,-1.1512343243739078,0.10710620655767711,0.0,-1.1512343243739105,False,False,False
60m_short_persistence_reference_rr2_5,空头冻结参考·趋势持续性 RR2.5,SHORT,short_persistence_reference,True,60m_short_persistence_reference_rr2_5,7,1.0,0.5714285714285714,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.0,3.671853571389814,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True
