channel_id,long_component_id,short_component_id,long_component_signals,short_component_signals,conflict_timestamps,portfolio_signals
60m_split_portfolio_v104_leader,60m_long_extension_adx45_rr2_5,60m_short_persistence_reference_rr2_5,16,7,0,23
60m_split_portfolio_interaction_45,60m_long_extension_adx45_rr2_5,60m_short_persistence_adx_relax_frozen_rr2_5,16,8,0,24
60m_split_portfolio_long47_reference,60m_long_extension_adx47_5_rr2_5,60m_short_persistence_reference_rr2_5,17,7,0,24
60m_split_portfolio_interaction_47_5,60m_long_extension_adx47_5_rr2_5,60m_short_persistence_adx_relax_frozen_rr2_5,17,8,0,25
60m_split_portfolio_long50_reference,60m_long_extension_adx50_rr2_5,60m_short_persistence_reference_rr2_5,17,7,0,24
60m_split_portfolio_interaction_50,60m_long_extension_adx50_rr2_5,60m_short_persistence_adx_relax_frozen_rr2_5,17,8,0,25
