channel_id,channel_label,phase,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,development,8,4,4,0.5,2.3048141132334976,1.1169600772200146,2.0634704500539676,2.0634704500539676,4.751416144053932,3.315568851439348,0.5939270180067415,0.5178410279876087
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,validation,3,1,2,0.3333333333333333,2.2620480367303997,1.1422298890580331,1.9803789573356823,0.9901894786678411,-0.022411741385666595,1.179994594507375,-0.007470580461888865,-1.1044651836086912
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,historical_test,4,3,1,0.75,1.8800310202923713,1.0967575347967387,1.714171966587671,5.142515899763013,4.543335526080376,1.0967575347967387,1.135833881520094,1.7065088319340984
60m_long_extension_adx47_5_rr2_5,多头独立策略·延伸保护+ADX≤47.5 RR2.5,development,8,4,4,0.5,2.3048141132334976,1.1169600772200146,2.0634704500539676,2.0634704500539676,4.751416144053932,3.315568851439348,0.5939270180067415,0.5178410279876087
60m_long_extension_adx47_5_rr2_5,多头独立策略·延伸保护+ADX≤47.5 RR2.5,validation,4,1,3,0.25,2.2620480367303997,1.1452313674966588,1.975188683204662,0.6583962277348873,-1.1736460657595766,2.255699507982601,-0.29341151643989416,-1.1278497539913006
60m_long_extension_adx47_5_rr2_5,多头独立策略·延伸保护+ADX≤47.5 RR2.5,historical_test,4,3,1,0.75,1.8800310202923713,1.0967575347967387,1.714171966587671,5.142515899763013,4.543335526080376,1.0967575347967387,1.135833881520094,1.7065088319340984
60m_long_extension_adx50_rr2_5,多头独立策略·延伸保护+ADX≤50 RR2.5,development,8,4,4,0.5,2.3048141132334976,1.1169600772200146,2.0634704500539676,2.0634704500539676,4.751416144053932,3.315568851439348,0.5939270180067415,0.5178410279876087
60m_long_extension_adx50_rr2_5,多头独立策略·延伸保护+ADX≤50 RR2.5,validation,4,1,3,0.25,2.2620480367303997,1.1452313674966588,1.975188683204662,0.6583962277348873,-1.1736460657595766,2.255699507982601,-0.29341151643989416,-1.1278497539913006
60m_long_extension_adx50_rr2_5,多头独立策略·延伸保护+ADX≤50 RR2.5,historical_test,4,3,1,0.75,1.8800310202923713,1.0967575347967387,1.714171966587671,5.142515899763013,4.543335526080376,1.0967575347967387,1.135833881520094,1.7065088319340984
60m_short_persistence_reference_rr2_5,空头冻结参考·趋势持续性 RR2.5,development,4,3,1,0.75,2.382629009766586,1.1229131643302268,2.121828370573721,6.365485111721163,6.024973864969532,1.1229131643302268,1.506243466242383,2.3767148207365127
60m_short_persistence_reference_rr2_5,空头冻结参考·趋势持续性 RR2.5,validation,3,1,2,0.3333333333333333,2.240169625334335,1.0994162655436595,2.0375991292311606,1.0187995646155803,0.041337094247015926,1.1080412615724222,0.013779031415671975,-1.0907912695148967
60m_short_persistence_reference_rr2_5,空头冻结参考·趋势持续性 RR2.5,historical_test,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
