channel_id,channel_label,source_component_id,source_component_label,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,15,8,7,0.5333333333333333,2.140174693817688,1.121293945970409,1.908665164481471,2.1813316165502523,9.27233992874864,3.315568851439348,0.6181559952499093,1.2448320277977196
60m_long_extension_adx47_5_rr2_5,多头独立策略·延伸保护+ADX≤47.5 RR2.5,60m_long_extension_adx47_5_rr2_5,多头独立策略·延伸保护+ADX≤47.5 RR2.5,16,8,8,0.5,2.140174693817688,1.1250364932708468,1.9023157974151619,1.9023157974151619,8.121105604374732,3.4226750579970253,0.5075691002734207,0.07403724650049048
60m_long_extension_adx50_rr2_5,多头独立策略·延伸保护+ADX≤50 RR2.5,60m_long_extension_adx50_rr2_5,多头独立策略·延伸保护+ADX≤50 RR2.5,16,8,8,0.5,2.140174693817688,1.1250364932708468,1.9023157974151619,1.9023157974151619,8.121105604374732,3.4226750579970253,0.5075691002734207,0.07403724650049048
60m_short_persistence_adx_relax_frozen_rr2_5,空头冻结优化·ADX衰减≥-4 RR2.5,60m_short_persistence_adx_relax_frozen_rr2_5,空头冻结优化·ADX衰减≥-4 RR2.5,8,5,3,0.625,2.3560871086300947,1.107248565139182,2.127875513059647,3.5464591884327454,8.458689847732927,1.1229131643302268,1.0573362309666159,2.3070487153152204
60m_short_persistence_reference_rr2_5,空头冻结参考·趋势持续性 RR2.5,60m_short_persistence_reference_rr2_5,空头冻结参考·趋势持续性 RR2.5,7,4,3,0.5714285714285714,2.3470141636585233,1.107248565139182,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.8666158513166496,2.240169625334335
60m_split_portfolio_interaction_45,多空交互组合·多ADX45/空ADX-4,60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,15,8,7,0.5333333333333333,2.140174693817688,1.121293945970409,1.908665164481471,2.1813316165502523,9.27233992874864,3.315568851439348,0.6181559952499093,1.2448320277977196
60m_split_portfolio_interaction_45,多空交互组合·多ADX45/空ADX-4,60m_short_persistence_adx_relax_frozen_rr2_5,空头冻结优化·ADX衰减≥-4 RR2.5,8,5,3,0.625,2.3560871086300947,1.107248565139182,2.127875513059647,3.5464591884327454,8.458689847732927,1.1229131643302268,1.0573362309666159,2.3070487153152204
60m_split_portfolio_interaction_47_5,多空交互组合·多ADX47.5/空ADX-4,60m_long_extension_adx47_5_rr2_5,多头独立策略·延伸保护+ADX≤47.5 RR2.5,16,8,8,0.5,2.140174693817688,1.1250364932708468,1.9023157974151619,1.9023157974151619,8.121105604374732,3.4226750579970253,0.5075691002734207,0.07403724650049048
60m_split_portfolio_interaction_47_5,多空交互组合·多ADX47.5/空ADX-4,60m_short_persistence_adx_relax_frozen_rr2_5,空头冻结优化·ADX衰减≥-4 RR2.5,8,5,3,0.625,2.3560871086300947,1.107248565139182,2.127875513059647,3.5464591884327454,8.458689847732927,1.1229131643302268,1.0573362309666159,2.3070487153152204
60m_split_portfolio_interaction_50,多空交互组合·多ADX50/空ADX-4,60m_long_extension_adx50_rr2_5,多头独立策略·延伸保护+ADX≤50 RR2.5,16,8,8,0.5,2.140174693817688,1.1250364932708468,1.9023157974151619,1.9023157974151619,8.121105604374732,3.4226750579970253,0.5075691002734207,0.07403724650049048
