channel_id,channel_label,role,signals,long_signals,short_signals
60m_long_shadow_v10_7,V10.7多头影子观察·冻结ADX≤45 RR2.5,SHADOW_ONLY,0,0,0
60m_short_primary_v10_7,V10.7空头主观察·冻结ADX衰减≥-4 RR2.5,PRIMARY_FORWARD_OBSERVATION,0,0,0
60m_legacy_portfolio_shadow_v10_7,V10.7原多空组合影子观察·共享单一仓位,SHADOW_ONLY,0,0,0
