channel_id,channel_label,timeframe_minutes,family,profile,reward_risk_target,stop_atr_multiple,max_holding_hours,is_baseline,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R,active_months,positive_months,positive_phases,best_10pct_removed_net_R,max_single_positive_month_share,research_candidate,benchmark_score
60m_trend_pullback_quality_rr3_0,1小时趋势回踩·质量过滤 RR3.0,60,trend_pullback,quality,3.0,1.25,36,False,56,22,34,0.39285714285714285,2.4887046064649034,1.110155020596698,2.241763141446001,1.4505526209356479,17.006230641940142,5.56272171101273,0.3036826900346454,-1.0937744021558178,17,12,2,-0.3092301115555154,0.2634413523952642,False,44.177013041751486
60m_trend_pullback_quality_rr2_5,1小时趋势回踩·质量过滤 RR2.5,60,trend_pullback,quality,2.5,1.25,36,False,57,23,34,0.40350877192982454,2.1748692150746494,1.1090287008947874,1.9610576473989534,1.3265978202992919,12.315016116294172,6.195208822679795,0.2160529143209504,-1.0907912695148967,17,11,2,-2.0216963442470224,0.2561448117255557,False,35.65354733372292
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,60,trend_pullback,confirmation,3.0,1.15,48,False,32,11,21,0.34375,2.5641949454747865,1.141019949686609,2.2472831839435106,1.1771483344466007,4.244725456803863,7.862713996513014,0.13264767052512072,-1.0891283127918339,15,5,1,-7.32497271290204,0.37622013246784625,False,17.432163778716262
60m_trend_pullback_quality_rr2_0,1小时趋势回踩·质量过滤 RR2.0,60,trend_pullback,quality,2.0,1.25,36,False,57,23,34,0.40350877192982454,1.7467423603924777,1.1090287008947874,1.575019978277541,1.0654546911877485,2.4680984586042247,7.6949588226798005,0.043299972957968856,-1.0907912695148967,17,8,2,-8.887700924892805,0.28187422583938976,False,16.102500682817926
60m_trend_pullback_confirmation_rr2_5,1小时趋势回踩·二次确认 RR2.5,60,trend_pullback,confirmation,2.5,1.15,48,False,32,11,21,0.34375,2.307670441378862,1.141019949686609,2.022462834249904,1.0593852941309019,1.4229559117486899,7.862713996513014,0.04446737224214656,-1.0891283127918339,15,6,1,-8.22199757761989,0.36197425755349344,False,12.131844414996912
60m_trend_pullback_confirmation_rr2_0,1小时趋势回踩·二次确认 RR2.0,60,trend_pullback,confirmation,2.0,1.15,48,False,32,12,20,0.375,1.8190550259729152,1.145197719996315,1.5884200555156263,0.9530520333093758,-1.0752940882513133,7.5107104799092745,-0.03360294025785354,-1.0891283127918339,15,6,1,-8.7792641411413,0.3847055183157318,False,7.237816785388759
60m_range_reversal_confirmation_rr2_0,1小时区间反转·二次确认 RR2.0,60,range_reversal,confirmation,2.0,1.05,36,False,1,0,1,0.0,0.0,1.134023180399876,0.0,0.0,-1.134023180399876,1.134023180399876,-1.134023180399876,-1.134023180399876,1,0,0,0.0,1.0,False,-27.21395697815809
60m_range_reversal_confirmation_rr2_5,1小时区间反转·二次确认 RR2.5,60,range_reversal,confirmation,2.5,1.05,36,False,1,0,1,0.0,0.0,1.134023180399876,0.0,0.0,-1.134023180399876,1.134023180399876,-1.134023180399876,-1.134023180399876,1,0,0,0.0,1.0,False,-27.21395697815809
60m_range_reversal_confirmation_rr3_0,1小时区间反转·二次确认 RR3.0,60,range_reversal,confirmation,3.0,1.05,36,False,1,0,1,0.0,0.0,1.134023180399876,0.0,0.0,-1.134023180399876,1.134023180399876,-1.134023180399876,-1.134023180399876,1,0,0,0.0,1.0,False,-27.21395697815809
60m_range_baseline_rr2_0,1小时区间反转基线 RR2.0,60,range_reversal,baseline,2.0,1.1,24,True,260,94,166,0.36153846153846153,1.7118097153065803,1.161706766804143,1.473529951121634,0.8344085265387566,-31.933210050669125,38.02673960000595,-0.12282003865641972,-1.120090576332452,18,8,1,-81.22092644009966,0.23487191067576174,False,-71.65793338469898
60m_trend_baseline_rr2_0,1小时趋势回踩基线 RR2.0,60,trend_pullback,baseline,2.0,1.2,24,True,410,146,264,0.35609756097560974,1.6895698632090719,1.1059970874464662,1.5276440439006604,0.8448334485208198,-45.30603105734257,58.7673115985327,-0.11050251477400627,-1.092251118144803,18,6,0,-123.33673237763603,0.2604639299064559,False,-115.55633506906352
60m_range_reversal_quality_rr2_0,1小时区间反转·质量过滤 RR2.0,60,range_reversal,quality,2.0,1.15,30,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,False,-1000000000.0
60m_range_reversal_quality_rr2_5,1小时区间反转·质量过滤 RR2.5,60,range_reversal,quality,2.5,1.15,30,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,False,-1000000000.0
60m_range_reversal_quality_rr3_0,1小时区间反转·质量过滤 RR3.0,60,range_reversal,quality,3.0,1.15,30,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,False,-1000000000.0
