expert_id,expert,policy_key,tier,rating_source,month,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,sample_state,effective_win_rate,month_validation_passed
1,趋势反抽失败空头,da51c7f197a1b096,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
