expert,family,policy_key,tier,month,raw_candidates,model_available,calibration_month,calibration_rows,calibration_brier,meta_brier,avg_win_r,avg_loss_r,sample_uncertainty_penalty,calibration_mean,calibration_utility_mean,eval_mean,eval_utility_mean,after_rank,meta_support,meta_neutral,meta_reject,after_soft_meta,after_positive_utility,after_cap
区间二次测试不破空头,二次测试,add1fc0880238799,REJECTED,2025-09,100,True,2025-08,91.0,0.18880697454767734,0.18885546123820154,1.6974368944905505,0.8251542213503974,0.057655666019705516,0.2527509667257385,-0.2886455786177838,0.25368452344663717,-0.28687702971838247,18.0,0.0,0.0,18.0,0.0,0.0,0.0
区间二次测试不破空头,二次测试,add1fc0880238799,REJECTED,2025-10,79,True,2025-09,100.0,0.19329803176369392,0.1967179323431635,1.6015342334391103,0.9545800189129967,0.05500000000000001,0.2700189022087232,-0.36332644402028386,0.26393707558457485,-0.37504390833726003,16.0,0.0,0.0,16.0,0.0,0.0,0.0
区间二次测试不破空头,二次测试,add1fc0880238799,REJECTED,2025-11,116,True,2025-10,79.0,0.12753891425591732,0.12874913319337897,1.697436170180554,0.9426892121875202,0.06187983455093132,0.15186571812104474,-0.6393111732882373,0.1539395380340007,-0.6352250957329246,29.0,0.0,0.0,29.0,0.0,0.0,0.0
区间二次测试不破空头,二次测试,add1fc0880238799,REJECTED,2025-12,102,True,2025-11,116.0,0.17849279399795334,0.178404896476749,1.6977010964719628,0.7446704041826938,0.05106621799868927,0.23273391912789962,-0.26949185814302645,0.23355451284582096,-0.26825423134476595,24.0,0.0,0.0,24.0,0.0,0.0,0.0
区间二次测试不破空头,二次测试,add1fc0880238799,REJECTED,2026-01,83,True,2025-12,102.0,0.15749962356628852,0.1574257862116547,1.6977957051201717,0.8932410195432939,0.05445811486371709,0.1960523158009086,-0.47939371646274054,0.19745323560777828,-0.476005255033517,20.0,0.0,0.0,20.0,0.0,0.0,0.0
区间二次测试不破空头,二次测试,add1fc0880238799,REJECTED,2026-02,163,True,2026-01,83.0,0.14679267897176101,0.14701035135673624,1.6972755071879555,0.8561061099857773,0.060370342994329695,0.18069500231511054,-0.493383787904685,0.17175946057031075,-0.5111938736610456,21.0,0.0,0.0,21.0,0.0,0.0,0.0
区间二次测试不破空头,二次测试,add1fc0880238799,REJECTED,2026-03,143,True,2026-02,163.0,0.21023670319023438,0.21399185031321707,1.7099778760981854,0.8776499177814713,0.04307932474933766,0.3128775135206716,-0.1569495669273272,0.31661097236732644,-0.14959263229682576,31.0,0.0,31.0,0.0,31.0,3.0,3.0
区间二次测试不破空头,二次测试,add1fc0880238799,REJECTED,2026-04,117,True,2026-03,143.0,0.20438632135742255,0.2071061872959215,1.7017224120674612,0.8570608043942335,0.04599331055038999,0.29371132201109085,-0.19677395772215678,0.2955769244009252,-0.19298469944538205,24.0,0.0,4.0,20.0,4.0,1.0,1.0
区间二次测试不破空头,二次测试,add1fc0880238799,REJECTED,2026-05,158,True,2026-04,117.0,0.14725781760041196,0.1471822148503499,1.6433819140878263,0.9426657773449817,0.05084751798731267,0.17946403007265432,-0.5677683162751347,0.17972360446181676,-0.5675208617736488,37.0,0.0,0.0,37.0,0.0,0.0,0.0
扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,2025-05,4,False,,,,,,,,,,,,,,,,,,
扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,2025-06,8,False,,,,,,,,,,,,,,,,,,
扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,2025-07,1,False,,,,,,,,,,,,,,,,,,
扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,2025-08,6,False,,,,,,,,,,,,,,,,,,
扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,2025-09,6,False,,,,,,,,,,,,,,,,,,
扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,2025-10,1,False,,,,,,,,,,,,,,,,,,
扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,2025-11,5,False,,,,,,,,,,,,,,,,,,
扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,2025-12,9,False,,,,,,,,,,,,,,,,,,
扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,2026-01,7,False,,,,,,,,,,,,,,,,,,
扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,2026-02,6,False,,,,,,,,,,,,,,,,,,
扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,2026-03,8,False,,,,,,,,,,,,,,,,,,
扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,2026-04,3,False,,,,,,,,,,,,,,,,,,
扫低后站回VWAP多头,流动性VWAP,8faa2dfdd58009bb,REJECTED,2026-05,4,False,,,,,,,,,,,,,,,,,,
扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,2025-05,9,False,,,,,,,,,,,,,,,,,,
扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,2025-06,7,False,,,,,,,,,,,,,,,,,,
扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,2025-07,1,False,,,,,,,,,,,,,,,,,,
扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,2025-08,5,False,,,,,,,,,,,,,,,,,,
扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,2025-09,6,False,,,,,,,,,,,,,,,,,,
扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,2025-10,4,False,,,,,,,,,,,,,,,,,,
扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,2025-11,9,False,,,,,,,,,,,,,,,,,,
扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,2025-12,5,False,,,,,,,,,,,,,,,,,,
扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,2026-01,5,False,,,,,,,,,,,,,,,,,,
扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,2026-02,1,False,,,,,,,,,,,,,,,,,,
扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,2026-03,11,False,,,,,,,,,,,,,,,,,,
扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,2026-04,5,False,,,,,,,,,,,,,,,,,,
扫高后跌破VWAP空头,流动性VWAP,98c02f47708ca242,REJECTED,2026-05,10,False,,,,,,,,,,,,,,,,,,
BTC弱于ETH背离修复多头,跨资产背离,afac444025613291,REJECTED,2025-05,19,True,2025-04,30.0,0.17819712325981976,0.19330380134941544,1.516999517935536,0.8704292109798654,0.10041580220928047,0.2666667212577665,-0.3763663145618161,0.2520061075470413,-0.40322714294761286,3.0,0.0,0.0,3.0,0.0,0.0,0.0
