channel_id,channel_label,direction_scope,profile,is_baseline,baseline_channel_id,trades,retention_rate_vs_baseline,win_rate,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,historical_test_net_R,best_10pct_removed_net_R,delta_trades,delta_win_rate,delta_avg_win_loss_ratio,delta_profit_factor,delta_net_R,delta_max_drawdown_R,delta_historical_test_net_R,delta_best_10pct_removed_net_R,improves_recent_period,improves_tail_robustness,improves_primary_goals
60m_split_portfolio_long_extension_adx,多空分离组合·仅优化多头延伸+ADX,BOTH,split_portfolio_long_extension_adx,False,60m_split_portfolio_frozen,22,0.6470588235294118,0.5454545454545454,1.9775848889588172,2.3731018667505803,15.338650887965187,4.438482015769575,4.543335526080376,8.154167141728674,-12,0.07486631016042777,0.1081710276439729,0.711400656692941,1.9008267882677021,0.0,4.55589487596457,4.279154235419702,True,True,True
60m_long_extension_adx_cap_rr2_5,多头独立策略·延伸保护+ADX上限 RR2.5,LONG,long_extension_adx_cap,False,60m_long_quality_baseline_rr2_5,15,0.5555555555555556,0.5333333333333333,1.908665164481471,2.1813316165502523,9.27233992874864,3.315568851439348,4.543335526080376,4.483487959363781,-12,0.0888888888888889,0.11620332443348325,0.7473621445118623,1.9008267882677021,-0.11227439764581071,4.55589487596457,4.217822674770773,True,True,True
60m_short_persistence_adx_relax_rr2_5,空头独立策略·仅放宽ADX衰减 RR2.5,SHORT,short_persistence_adx_relax,False,60m_short_persistence_baseline_rr2_5,8,1.1428571428571428,0.625,2.127875513059647,3.5464591884327454,8.458689847732927,1.1229131643302268,0.0,6.0642324599061945,1,0.0535714285714286,0.00819413567759364,0.720217351923341,2.3923788885163795,0.0,0.0,2.3923788885163804,False,True,False
60m_split_portfolio_short_adx,多空分离组合·仅放宽空头ADX衰减,BOTH,split_portfolio_short_adx,False,60m_split_portfolio_frozen,35,1.0294117647058822,0.4857142857142857,1.8841828203855504,1.7795059970307976,15.830202988213864,4.438482015769575,-0.012559349884194049,6.253340353460972,1,0.015126050420168069,0.014768959070706078,0.11780478697315822,2.3923788885163795,0.0,0.0,2.378327447151999,False,True,False
60m_split_portfolio_long_extension,多空分离组合·仅优化多头延伸保护,BOTH,split_portfolio_long_extension,False,60m_split_portfolio_frozen,27,0.7941176470588235,0.48148148148148145,1.8440349657654356,1.7123181824964762,11.16115510518889,5.656201883467051,3.4428134307360443,3.976671358952376,-7,0.010893246187363814,-0.025378895549408753,0.05061697243883678,-2.2766689945085954,1.2177198676974763,3.4553727806202383,0.10165845264340279,True,True,False
60m_short_persistence_baseline_rr2_5,空头冻结基线·趋势持续性 RR2.5,SHORT,short_persistence_baseline,True,60m_short_persistence_baseline_rr2_5,7,1.0,0.5714285714285714,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.0,3.671853571389814,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
60m_short_persistence_age_relax_rr2_5,空头独立策略·仅放宽趋势年龄 RR2.5,SHORT,short_persistence_age_relax,False,60m_short_persistence_baseline_rr2_5,7,1.0,0.5714285714285714,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.0,3.671853571389814,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
60m_short_persistence_slope_relax_rr2_5,空头独立策略·仅放宽EMA50斜率 RR2.5,SHORT,short_persistence_slope_relax,False,60m_short_persistence_baseline_rr2_5,7,1.0,0.5714285714285714,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.0,3.671853571389814,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
60m_split_portfolio_frozen,多空分离组合·冻结基线,BOTH,split_portfolio_frozen,True,60m_split_portfolio_frozen,34,1.0,0.47058823529411764,1.8694138613148443,1.6617012100576394,13.437824099697485,4.438482015769575,-0.012559349884194049,3.875012906308973,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
60m_split_portfolio_short_age,多空分离组合·仅放宽空头趋势年龄,BOTH,split_portfolio_short_age,False,60m_split_portfolio_frozen,34,1.0,0.47058823529411764,1.8694138613148443,1.6617012100576394,13.437824099697485,4.438482015769575,-0.012559349884194049,3.875012906308973,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
60m_split_portfolio_short_slope,多空分离组合·仅放宽空头EMA50斜率,BOTH,split_portfolio_short_slope,False,60m_split_portfolio_frozen,34,1.0,0.47058823529411764,1.8694138613148443,1.6617012100576394,13.437824099697485,4.438482015769575,-0.012559349884194049,3.875012906308973,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
60m_long_extension_guard_rr2_5,多头独立策略·回踩延伸保护 RR2.5,LONG,long_extension_guard,False,60m_long_quality_baseline_rr2_5,20,0.7407407407407407,0.45,1.7265565299694967,1.4126371608841337,5.094844145972342,4.580114706525869,3.4428134307360443,0.30599217658748223,-7,0.005555555555555591,-0.06590531007849099,-0.021332311154256267,-2.2766689945085954,1.15227145744071,3.4553727806202383,0.040326891994475034,True,True,False
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,LONG,long_quality_baseline,True,60m_long_quality_baseline_rr2_5,27,1.0,0.4444444444444444,1.7924618400479877,1.43396947203839,7.371513140480937,3.427843249085159,-0.012559349884194049,0.2656652845930072,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
