channel_id,channel_label,timeframe_minutes,profile,direction_scope,is_portfolio,is_baseline,configured_stop_atr_multiple,configured_reward_risk,configured_max_holding_hours,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R,active_months,positive_months,positive_phases,positive_rolling_quarters,worst_rolling_quarter_net_R,historical_test_trades,historical_test_win_rate,historical_test_profit_factor,historical_test_net_R,best_10pct_removed_net_R,max_single_positive_month_share,research_candidate,benchmark_score
60m_split_portfolio_long_extension_adx,多空分离组合·仅优化多头延伸+ADX,60,split_portfolio_long_extension_adx,BOTH,True,False,,,,22,12,10,0.5454545454545454,2.2091211837646334,1.117080331721041,1.9775848889588172,2.3731018667505803,15.338650887965187,4.438482015769575,0.6972114039984176,1.6904490078272656,13,9,3,12,-2.195256453123588,4,0.75,5.142515899763013,4.543335526080376,8.154167141728674,0.20420191612612587,False,78.87909036515461
60m_long_extension_adx_cap_rr2_5,多头独立策略·延伸保护+ADX上限 RR2.5,60,long_extension_adx_cap,LONG,False,False,1.25,2.5,36.0,15,8,7,0.5333333333333333,2.140174693817688,1.121293945970409,1.908665164481471,2.1813316165502523,9.27233992874864,3.315568851439348,0.6181559952499093,1.2448320277977196,10,6,2,11,-1.1522714574407105,4,0.75,5.142515899763013,4.543335526080376,4.483487959363781,0.3207628666382164,False,66.34274066689785
60m_short_persistence_adx_relax_rr2_5,空头独立策略·仅放宽ADX衰减 RR2.5,60,short_persistence_adx_relax,SHORT,False,False,1.25,2.5,48.0,8,5,3,0.625,2.3560871086300947,1.107248565139182,2.127875513059647,3.5464591884327454,8.458689847732927,1.1229131643302268,1.0573362309666159,2.3070487153152204,8,5,2,10,-1.1229131643302268,0,0.0,0.0,0.0,6.0642324599061945,0.20325711889480583,False,64.04466071583698
60m_split_portfolio_short_adx,多空分离组合·仅放宽空头ADX衰减,60,split_portfolio_short_adx,BOTH,True,False,,,,35,17,18,0.4857142857142857,2.1257762841838326,1.1282218801617383,1.8841828203855504,1.7795059970307976,15.830202988213864,4.438482015769575,0.45229151394896755,-1.0790133321907893,16,10,2,11,-2.027957493536713,8,0.375,0.997778149270193,-0.012559349884194049,6.253340353460972,0.27286162027039595,False,57.643650127409806
60m_split_portfolio_long_extension,多空分离组合·仅优化多头延伸保护,60,split_portfolio_long_extension,BOTH,True,False,,,,27,13,14,0.48148148148148145,2.0638409690302697,1.1191983923003301,1.8440349657654356,1.7123181824964762,11.16115510518889,5.656201883467051,0.4133761150069959,-1.0887781067471263,13,8,2,10,-4.503930426026342,5,0.6,2.566852658855718,3.4428134307360443,3.976671358952376,0.2248247130418363,False,56.972798871345184
60m_short_persistence_baseline_rr2_5,空头冻结基线·趋势持续性 RR2.5,60,short_persistence_baseline,SHORT,False,True,1.25,2.5,48.0,7,4,3,0.5714285714285714,2.3470141636585233,1.107248565139182,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.8666158513166496,2.240169625334335,7,4,2,9,-1.1229131643302268,0,0.0,0.0,0.0,3.671853571389814,0.25505357241797116,False,52.787139488838896
60m_short_persistence_age_relax_rr2_5,空头独立策略·仅放宽趋势年龄 RR2.5,60,short_persistence_age_relax,SHORT,False,False,1.25,2.5,48.0,7,4,3,0.5714285714285714,2.3470141636585233,1.107248565139182,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.8666158513166496,2.240169625334335,7,4,2,9,-1.1229131643302268,0,0.0,0.0,0.0,3.671853571389814,0.25505357241797116,False,52.787139488838896
60m_short_persistence_slope_relax_rr2_5,空头独立策略·仅放宽EMA50斜率 RR2.5,60,short_persistence_slope_relax,SHORT,False,False,1.25,2.5,48.0,7,4,3,0.5714285714285714,2.3470141636585233,1.107248565139182,2.1196813773820535,2.8262418365094044,6.066310959216548,1.1229131643302268,0.8666158513166496,2.240169625334335,7,4,2,9,-1.1229131643302268,0,0.0,0.0,0.0,3.671853571389814,0.25505357241797116,False,52.787139488838896
60m_split_portfolio_frozen,多空分离组合·冻结基线,60,split_portfolio_frozen,BOTH,True,True,,,,34,16,18,0.47058823529411764,2.109113621413049,1.1282218801617383,1.8694138613148443,1.6617012100576394,13.437824099697485,4.438482015769575,0.3952301205793378,-1.0838957194689578,15,9,2,11,-3.2404834584231477,8,0.375,0.997778149270193,-0.012559349884194049,3.875012906308973,0.3006414484430794,False,50.90006674646562
60m_split_portfolio_short_age,多空分离组合·仅放宽空头趋势年龄,60,split_portfolio_short_age,BOTH,True,False,,,,34,16,18,0.47058823529411764,2.109113621413049,1.1282218801617383,1.8694138613148443,1.6617012100576394,13.437824099697485,4.438482015769575,0.3952301205793378,-1.0838957194689578,15,9,2,11,-3.2404834584231477,8,0.375,0.997778149270193,-0.012559349884194049,3.875012906308973,0.3006414484430794,False,50.90006674646562
60m_split_portfolio_short_slope,多空分离组合·仅放宽空头EMA50斜率,60,split_portfolio_short_slope,BOTH,True,False,,,,34,16,18,0.47058823529411764,2.109113621413049,1.1282218801617383,1.8694138613148443,1.6617012100576394,13.437824099697485,4.438482015769575,0.3952301205793378,-1.0838957194689578,15,9,2,11,-3.2404834584231477,8,0.375,0.997778149270193,-0.012559349884194049,3.875012906308973,0.3006414484430794,False,50.90006674646562
60m_long_extension_guard_rr2_5,多头独立策略·回踩延伸保护 RR2.5,60,long_extension_guard,LONG,False,False,1.25,2.5,36.0,20,9,11,0.45,1.9379862158621575,1.1224574360715522,1.7265565299694967,1.4126371608841337,5.094844145972342,4.580114706525869,0.2547422072986171,-1.0927678207719325,11,5,2,11,-3.4609454303434637,5,0.6,2.566852658855718,3.4428134307360443,0.30599217658748223,0.36840794373866825,False,44.37101066250732
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,60,long_quality_baseline,LONG,False,True,1.25,2.5,36.0,27,12,15,0.4444444444444444,2.0298134406645576,1.1324165431662498,1.7924618400479877,1.43396947203839,7.371513140480937,3.427843249085159,0.27301900520299766,-1.0887781067471263,13,6,2,12,-2.1324421968507252,8,0.375,0.997778149270193,-0.012559349884194049,0.2656652845930072,0.43199322016849745,False,39.2790006500163
