expert_id,expert,policy_key,tier,net_R,best_trade_removed_net_R,best_two_trades_removed_net_R
0,趋势回踩重新站稳多头,e024946a7a7bbea6,CANDIDATE,1.9537796720642875,0.24103220940179104,-1.4714228460204355
1,趋势反抽失败空头,da51c7f197a1b096,CANDIDATE,0.24152566590524627,-1.4732158032082507,-1.2870177022047269
2,EMA21回踩收回多头,57c6d8ed313f7b81,REJECTED,0.0,0.0,0.0
3,EMA21反抽受阻空头,4916a4f4be16d2e4,REJECTED,0.0,0.0,0.0
4,VWAP重新站回多头,acb95ebbfdc22945,REJECTED,1.3400731784242343,-0.37258497680291947,-0.1863037470263188
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,-1.2867426162505466,0.0,0.0
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,0.0,0.0,0.0
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,-3.78412086684498,-2.57351882221661,-1.286771640723197
8,缩量回踩恢复多头,612581c35b84da3c,REJECTED,0.0,0.0,0.0
9,缩量反抽恢复空头,b55421f3522a3f16,REJECTED,0.0,0.0,0.0
10,欧美时段顺势延续多头,792c97e8b4c0b8eb,REJECTED,0.2690477970211407,-1.4434184995630477,-1.256824068753823
11,欧美时段顺势延续空头,1de21fc96eaf5c68,REJECTED,0.2417284893765701,-1.4729918438503955,-1.2867753638267083
12,区间扫低立即收回多头,52f3fa47b619e482,REJECTED,1.2875375693730833,-0.40767655410879156,-0.203839808850737
13,区间扫高立即跌回空头,77df21d40787c7a0,REJECTED,-0.015032102713468581,-1.71215402294266,-1.5083088058524872
14,扫低后确认K多头,2a8da9b9f57c9899,REJECTED,0.18807457252178275,-1.5071426796792964,-1.3032730625724
15,扫高后确认K空头,2605712f51fd787a,REJECTED,0.0,0.0,0.0
16,区间二次测试不破多头,5911315f52956132,REJECTED,0.1885416583456836,-1.50684614311206,-1.303140432793482
17,区间二次测试不破空头,add1fc0880238799,REJECTED,-1.1155015299438122,-2.8126274217854608,-2.608789890175193
18,扫低后站回VWAP多头,8faa2dfdd58009bb,REJECTED,0.0,0.0,0.0
19,扫高后跌破VWAP空头,98c02f47708ca242,REJECTED,0.0,0.0,0.0
20,BTC弱于ETH背离修复多头,afac444025613291,REJECTED,0.0,0.0,0.0
21,BTC强于ETH背离修复空头,fca571982b7c88a0,CANDIDATE,3.063763752600745,1.1732667666423648,-0.6886998364144441
22,压缩后首次放量突破多头,637dd7099e42148f,REJECTED,0.0,0.0,0.0
23,压缩后首次放量突破空头,59bcc3e64f2c7f94,REJECTED,-2.199027344995242,-2.028340247570049,-1.27125706778116
24,向下假突破回区间多头,d5f361a753574b48,REJECTED,-1.3031140960605154,0.0,0.0
25,向上假突破回区间空头,5f2fe4ee3fec03dd,REJECTED,0.0,0.0,0.0
26,资金费率极端回归多头,fcc89570f6af5d59,REJECTED,0.0,0.0,0.0
27,资金费率极端回归空头,ab1a7bf6d11e9bd8,REJECTED,-2.8117204682920818,-2.6081864154442838,-1.3040993432837082
28,合约溢价极端修复多头,48c0a571f023845e,REJECTED,-0.203638438206116,0.0,0.0
29,合约溢价极端修复空头,9cc0c5de692aa62f,REJECTED,0.0,0.0,0.0
30,欧美开盘区间突破多头,f9b0b97528e653e7,REJECTED,-2.2218262147012777,-3.717390674321532,-5.212933457781536
31,欧美开盘区间突破空头,8f89911d444a7852,REJECTED,0.0,0.0,0.0
32,BTC强于ETH且溢价回落空头,ad7bf81694ad15d4,REJECTED,0.0,0.0,0.0
33,BTC强于ETH且主动卖盘空头,16e8ea0e0b751d8b,REJECTED,0.3504269374053345,-1.3640307960146372,-1.2870389854294844
34,BTC强于ETH欧美盘修复空头,d9d64c6080c7757b,REJECTED,-3.8445548068298567,-2.5737489669362423,-1.2868746698079492
35,ETH先跌BTC滞后补跌空头,1988519d498cd703,REJECTED,-2.568922511268218,-1.2870814550267895,0.0
36,BTC弱于ETH且溢价回升多头,d9882e2d61ed9961,REJECTED,0.0,0.0,0.0
37,ETH先涨BTC滞后补涨多头,6387acc3c2ec918d,REJECTED,1.7125413489195278,0.0,0.0
38,跨资产背离后VWAP失守空头,47d7edd201629376,REJECTED,0.0,0.0,0.0
39,跨资产背离后VWAP收回多头,1d3bb2983569000d,REJECTED,0.0,0.0,0.0
